year,wikidata,known,unknown,accuracy upper bound,wikidata upper bound
1920,9398,2006,2410,0.8255393079484581,0.6803243086723614
1921,9766,2925,2444,0.8385199867855962,0.6452593326726132
1922,8558,2316,877,0.9253680537826567,0.7282784443877117
1923,6714,2560,577,0.941427266267384,0.6815551720637498
1924,6094,2633,545,0.941220880069025,0.6572476272648835
1925,6458,1623,730,0.9171490182726137,0.7329474520485757
1926,6830,2313,1002,0.9012321340561853,0.6732380482996551
1927,6391,2871,831,0.9176657089071634,0.63321113643119
1928,6829,2896,767,0.9268966831871902,0.650876858558902
1929,6269,3624,688,0.9349777903789812,0.5924770815612891
1930,7182,4088,889,0.9268854346574554,0.5906735751295337
1931,6290,3166,636,0.9369797859690844,0.6232659532302814
1932,7888,4100,887,0.9311067961165048,0.6126601941747573
1933,6145,2874,708,0.9272129125115658,0.631746684486481
1934,5658,3259,575,0.9394226717235566,0.5960809102402023
1935,4397,2744,610,0.9213004773577603,0.5672816410785705
1936,5432,3402,789,0.9180089369219578,0.5644809311025668
1937,5410,1975,428,0.9452195059516191,0.6924356841162166
1938,5209,1688,402,0.9449239621866009,0.7136594053979998
1939,6692,1972,539,0.9414321416929262,0.7271541888514614
1940,5211,1861,514,0.9322436066438176,0.6869232797258107
1941,4224,2326,494,0.9298693923906871,0.5996592844974447
1942,5027,2415,542,0.9321142284569138,0.6296342685370742
1943,5074,2578,641,0.92270589653925,0.6118413119498373
1944,5131,2239,638,0.9203296703296703,0.6407342657342657
1945,6559,2430,1799,0.8332406377456433,0.6079903596588803
1946,6858,2326,1248,0.8803680981595092,0.6574003067484663
1947,5512,1620,882,0.8899426004492139,0.6877963563763414
1948,10292,3039,1442,0.9023894943477967,0.6966763690516483
1949,7741,2483,920,0.9174443646805456,0.6946338837042355
1950,8471,2408,1108,0.9075665304079419,0.7066822390923501
1951,9844,2755,1091,0.9203067932797663,0.7190650109569029
1952,8515,2739,1381,0.8907004352987733,0.6739216462208152
1953,7726,3295,1141,0.9061831935536918,0.6352573589870087
1954,8938,3886,670,0.950348302949459,0.6623684600563213
1955,8587,3900,616,0.9529878653743418,0.6553461039456613
1956,9324,4132,918,0.9361346876304438,0.6486712119103938
1957,8623,3471,825,0.93614056815543,0.667466522176639
1958,9600,3767,859,0.9396176015745817,0.6748207507380852
1959,9338,4441,677,0.9531682346430548,0.6459601549529607
1960,9540,4779,785,0.9480270127118644,0.6316207627118644
1961,8975,3905,917,0.9335362760020294,0.6505037326955135
1962,8518,5406,1195,0.9209603809775779,0.5633970500694491
1963,9263,4957,1338,0.9139992286926341,0.5953850109268544
1964,10430,6280,1717,0.9068215119118684,0.566017257285505
1965,10631,5107,2612,0.8576566757493188,0.5793460490463215
1966,10235,7468,1547,0.9196363636363636,0.5316883116883117
1967,13070,8989,1763,0.9259927797833934,0.5486525060868105
1968,12107,7653,1625,0.9240121580547113,0.5661444938040683
1969,14154,7211,1036,0.9537520646399714,0.6318467925539039
1970,15766,7206,1141,0.9526811263633724,0.6538381785758719
1971,12281,6351,1297,0.9349189623162226,0.616237643634904
1972,13561,6421,1456,0.9320832167179774,0.6325683365985633
1973,13307,5432,2252,0.8927159258729932,0.633938354532895
1974,10561,5391,1634,0.907085181394291,0.6005345160923462
1975,10586,4736,2367,0.8661880264571202,0.5984510147549325
1976,7164,4058,1992,0.8492507946117754,0.5421522627516271
1977,9668,2723,1736,0.8771147448148935,0.6843632759963191
1978,15597,1101,1481,0.9185323725177402,0.8579679850376808
