wiki_id,start,end,government,url
Q3046743,2006-10-06,2014-10-03,Regeringen Reinfeldt,http://www.wikidata.org/entity/Q3046743
Q4570153,1986-03-12,1990-02-27,Regeringen Carlsson I,http://www.wikidata.org/entity/Q4570153
Q4570314,1945-07-31,1946-10-06,Regeringen Hansson IV,http://www.wikidata.org/entity/Q4570314
Q4570330,1996-03-22,2006-10-06,Regeringen Persson,http://www.wikidata.org/entity/Q4570330
Q4570354,1920-03-10,1920-10-27,Regeringen Branting I,http://www.wikidata.org/entity/Q4570354
Q4570378,1921-10-13,1923-04-19,Regeringen Branting II,http://www.wikidata.org/entity/Q4570378
Q4570967,1939-12-13,1945-07-31,Regeringen Hansson III,http://www.wikidata.org/entity/Q4570967
Q4907240,1994-10-07,1996-03-22,Regeringen Carlsson III,http://www.wikidata.org/entity/Q4907240
Q4907653,1991-10-04,1994-10-07,Regeringen Carl Bildt,http://www.wikidata.org/entity/Q4907653
Q4957676,1924-10-14,1925-01-24,Regeringen Branting III,http://www.wikidata.org/entity/Q4957676
Q5217837,1982-10-08,1986-03-12,Regeringen Palme II,http://www.wikidata.org/entity/Q5217837
Q5306179,1978-10-18,1979-10-12,Regeringen Ullsten,http://www.wikidata.org/entity/Q5306179
Q5306186,1981-05-22,1982-10-08,Regeringen Fälldin III,http://www.wikidata.org/entity/Q5306186
Q5306190,1979-10-12,1981-05-22,Regeringen Fälldin II,http://www.wikidata.org/entity/Q5306190
Q5306200,1976-10-08,1978-10-18,Regeringen Fälldin I,http://www.wikidata.org/entity/Q5306200
Q10650416,1990-02-27,1991-10-04,Regeringen Carlsson II,http://www.wikidata.org/entity/Q10650416
Q10650420,1917-10-19,1920-03-10,Regeringen Edén,http://www.wikidata.org/entity/Q10650420
Q10650424,1946-10-11,1951-10-01,Regeringen Erlander I,http://www.wikidata.org/entity/Q10650424
Q10650438,1936-09-28,1939-12-13,Regeringen Hansson II,http://www.wikidata.org/entity/Q10650438
Q10650456,1969-10-14,1976-10-08,Regeringen Palme I,http://www.wikidata.org/entity/Q10650456
Q18176361,2014-10-03,2019-01-19,Regeringen Löfven I,http://www.wikidata.org/entity/Q18176361
Q60736270,2019-01-21,2021-07-09,Regeringen Löfven II,http://www.wikidata.org/entity/Q60736270
Q107443672,2021-07-09,2021-11-30,Regeringen Löfven III,http://www.wikidata.org/entity/Q107443672
Q109705067,2021-11-30,,Regeringen Andersson,http://www.wikidata.org/entity/Q109705067
