chair_id,parliament_year,start,end,swerik_id
a0ba03a77de7412b9e23a2429df2d1dd,199192,,,i-122QwSSpyGJQiTJjmrUJCM
a0ba03a77de7412b9e23a2429df2d1dd,199293,,,i-122QwSSpyGJQiTJjmrUJCM
656687207e5c4b56b01d68476ba64177,1945,,,i-13PgYkuYe6x5jwCDMxQFhz
656687207e5c4b56b01d68476ba64177,1946,,,i-13PgYkuYe6x5jwCDMxQFhz
7aa101a802ef4e5297b70acfc49c33b8,1953,,,i-13PgYkuYe6x5jwCDMxQFhz
7aa101a802ef4e5297b70acfc49c33b8,1954,,,i-13PgYkuYe6x5jwCDMxQFhz
7aa101a802ef4e5297b70acfc49c33b8,1955,,,i-13PgYkuYe6x5jwCDMxQFhz
7aa101a802ef4e5297b70acfc49c33b8,1956,,,i-13PgYkuYe6x5jwCDMxQFhz
7aa101a802ef4e5297b70acfc49c33b8,1957,,,i-13PgYkuYe6x5jwCDMxQFhz
7aa101a802ef4e5297b70acfc49c33b8,1958,,,i-13PgYkuYe6x5jwCDMxQFhz
7aa101a802ef4e5297b70acfc49c33b8,1959,,,i-13PgYkuYe6x5jwCDMxQFhz
7aa101a802ef4e5297b70acfc49c33b8,1960,,,i-13PgYkuYe6x5jwCDMxQFhz
7aa101a802ef4e5297b70acfc49c33b8,1961,,,i-13PgYkuYe6x5jwCDMxQFhz
7aa101a802ef4e5297b70acfc49c33b8,1962,,,i-13PgYkuYe6x5jwCDMxQFhz
7aa101a802ef4e5297b70acfc49c33b8,1963,,,i-13PgYkuYe6x5jwCDMxQFhz
7aa101a802ef4e5297b70acfc49c33b8,1964,,,i-13PgYkuYe6x5jwCDMxQFhz
7da3e780909a48e384fd19d784df840d,1947,,,i-13PgYkuYe6x5jwCDMxQFhz
7da3e780909a48e384fd19d784df840d,1948,,,i-13PgYkuYe6x5jwCDMxQFhz
c8d0e1ef88a74e0d96f22bb0249006e6,1949,,,i-13PgYkuYe6x5jwCDMxQFhz
c8d0e1ef88a74e0d96f22bb0249006e6,1950,,,i-13PgYkuYe6x5jwCDMxQFhz
c8d0e1ef88a74e0d96f22bb0249006e6,1951,,,i-13PgYkuYe6x5jwCDMxQFhz
c8d0e1ef88a74e0d96f22bb0249006e6,1952,,,i-13PgYkuYe6x5jwCDMxQFhz
078afadbea754274b81232b99a33f0d7,198586,,,i-13QQP8owbbh9DWwyjxnTSS
078afadbea754274b81232b99a33f0d7,198687,,,i-13QQP8owbbh9DWwyjxnTSS
078afadbea754274b81232b99a33f0d7,198788,,,i-13QQP8owbbh9DWwyjxnTSS
109143f207e04d46adf08b17164524f7,199192,,1992-01-09,i-13QQP8owbbh9DWwyjxnTSS
10d82e739e064ec48a210a8e01bdf524,198283,,,i-13QQP8owbbh9DWwyjxnTSS
10d82e739e064ec48a210a8e01bdf524,198384,,,i-13QQP8owbbh9DWwyjxnTSS
10d82e739e064ec48a210a8e01bdf524,198485,,,i-13QQP8owbbh9DWwyjxnTSS
71e1554396744469b1bcf67ee0e2647f,197980,,,i-13QQP8owbbh9DWwyjxnTSS
71e1554396744469b1bcf67ee0e2647f,198081,,,i-13QQP8owbbh9DWwyjxnTSS
71e1554396744469b1bcf67ee0e2647f,198182,,,i-13QQP8owbbh9DWwyjxnTSS
faf274f72c874b0bb46f4e701b0a0451,198889,,,i-13QQP8owbbh9DWwyjxnTSS
faf274f72c874b0bb46f4e701b0a0451,198990,,,i-13QQP8owbbh9DWwyjxnTSS
faf274f72c874b0bb46f4e701b0a0451,199091,,,i-13QQP8owbbh9DWwyjxnTSS
1849745858fd4ad6bccb7d4bf4f310c7,1921,,,i-14itFAMq9exF2LvnaCtHAn
92091d6f14934540949feab09806fad7,1918,,,i-14itFAMq9exF2LvnaCtHAn
84bad0b33a654dc9ab62ea03c635eea7,1962,,,i-16dpFQGNcr7HGwnHCoAdKk
84bad0b33a654dc9ab62ea03c635eea7,1963,,,i-16dpFQGNcr7HGwnHCoAdKk
c7df14b6abdb463dab2aadae45e29913,1960,,,i-16dpFQGNcr7HGwnHCoAdKk
c7df14b6abdb463dab2aadae45e29913,1961,,,i-16dpFQGNcr7HGwnHCoAdKk
c7df14b6abdb463dab2aadae45e29913,1968,,,i-16dpFQGNcr7HGwnHCoAdKk
c7df14b6abdb463dab2aadae45e29913,1969,,,i-16dpFQGNcr7HGwnHCoAdKk
c7df14b6abdb463dab2aadae45e29913,1970,,,i-16dpFQGNcr7HGwnHCoAdKk
1b322ba02bb9449986dd0d619f9fb6ca,1935,,,i-17q5suLEPiC6SEzqci5C4s
1b322ba02bb9449986dd0d619f9fb6ca,1936,,,i-17q5suLEPiC6SEzqci5C4s
28d32f3a8fca46a19cb9c2fdc83eca44,1926,,,i-17q5suLEPiC6SEzqci5C4s
28d32f3a8fca46a19cb9c2fdc83eca44,1927,,,i-17q5suLEPiC6SEzqci5C4s
28d32f3a8fca46a19cb9c2fdc83eca44,1929,,,i-17q5suLEPiC6SEzqci5C4s
