wiki_id,location,person_id
Q53660,Stockholm,Q53660
Q6027656,Göteborg,Q6027656
Q53620,Stockholm,Q53620
Q53707,Lund,Q53707
Q6168210,Stockholm,Q6168210
Q5563972,Stockholm,Q5563972
Q53747,Stjärnhov,Q53747
Q4353489,Stockholm,Q4353489
Q4353489,Uppsala,Q4353489
Q179493,Stockholm,Q179493
Q5955664,Nevishög,Q5955664
Q6018174,Stockholm,Q6018174
Q6209474,Ystad,Q6209474
Q53740,Tyresö,Q53740
Q6180686,Oxie,Q6180686
Q6180686,Toftaröd,Q6180686
Q6180686,Kämpinge,Q6180686
Q1555406,Rasjön,Q1555406
Q1555406,Falun,Q1555406
Q4570928,Stockholm,Q4570928
Q3893038,Stockholm,Q3893038
Q6257291,Stockholm,Q6257291
Q6255333,Strömstad,Q6255333
Q1145662,Göteborg,Q1145662
Q6011492,Tånga,Q6011492
Q152452,Ålsten,Q152452
Q152452,Äppelviken,Q152452
Q241035,Stockholm,Q241035
Q4356302,Uppsala,Q4356302
Q4731015,Malmö,Q4731015
Q6014287,Trångsund,Q6014287
Q5715273,Kinna,Q5715273
Q1346478,Stockholm,Q1346478
Q354112,Spånga,Q354112
Q4352320,Ronneby,Q4352320
Q263366,Stockholm,Q263366
Q490785,Nässjö,Q490785
Q16649624,Västerås,Q16649624
Q5582047,By,Q5582047
Q4753755,Valdemarsvik,Q4753755
Q53713,Vällingby,Q53713
Q5744372,Stockholm,Q5744372
Q5571772,Stockholm,Q5571772
Q5571772,Klippan,Q5571772
Q1347731,Enskede,Q1347731
Q1358123,Karlshamn,Q1358123
Q6022267,Enskede,Q6022267
Q5557473,Stockholm,Q5557473
Q5624121,Linköping,Q5624121
Q4971112,Hölö,Q4971112
Q6228037,Stockholm,Q6228037
Q53626,Hanaskog,Q53626
Q6255176,Stockholm,Q6255176
Q3742570,Dahla,Q3742570
Q6009920,Kristianstad,Q6009920
Q6033276,Sollentuna,Q6033276
Q6045408,Röstånga,Q6045408
Q6042992,Skabersjö,Q6042992
Q6157673,Knislinge,Q6157673
Q6190872,Ånhammar,Q6190872
Q5801470,Bromma,Q5801470
Q5938659,Ulriksdal,Q5938659
Q6085444,Malmö,Q6085444
Q53642,Eskilstuna,Q53642
Q5708826,Sundborn,Q5708826
Q5882484,Mörrum,Q5882484
Q5882484,Visby,Q5882484
Q5968584,Falun,Q5968584
Q5968584,Stockholm,Q5968584
Q6046940,Södertälje,Q6046940
Q5360742,Stockholm,Q5360742
Q6186446,Ystad,Q6186446
Q4723287,Påboda,Q4723287
Q5799761,Luleå,Q5799761
Q5799761,Stockholm,Q5799761
Q5811763,Falun,Q5811763
Q6020901,Äppelviken,Q6020901
Q6020901,Österfärnebo,Q6020901
Q53310,Uppsala,Q53310
Q6169057,Karlstad,Q6169057
Q6169057,Umeå,Q6169057
