person_id,end,role,start
Q1291317,,första kammarens vice talman,1878-01-01
Q1375199,2014-09-29,Sveriges riksdags talman,2006-10-02
Q1555429,1876-01-01,första kammarens talman,1867-01-01
Q1555429,1891-01-01,första kammarens talman,1881-01-01
Q1606431,1970-01-01,andra kammarens talman,1969-01-01
Q1606431,1979-10-01,Sveriges riksdags talman,1971-01-11
Q16649624,1923-01-01,andra kammarens talman,1922-01-01
Q16649624,1927-01-01,andra kammarens talman,1927-01-01
Q18246296,1960-07-17,andra kammarens talman,1958-06-18
Q2408431,1991-09-30,Sveriges riksdags talman,1988-10-03
Q2940262,1915-01-01,första kammarens talman,1912-01-01
Q2944347,,första kammarens vice talman,1875-01-01
Q3054681,1877-01-01,första kammarens talman,1877-01-01
Q330757,1912-01-01,första kammarens vice talman,1909-01-01
Q3369220,2018-09-24,Sveriges riksdags talman,2014-09-29
Q3424655,1970-01-01,första kammarens talman,1965-01-01
Q3893038,1918-01-01,andra kammarens vice talman,1918-01-01
Q3893038,1921-01-01,andra kammarens talman,1918-01-01
Q3893038,1927-01-01,andra kammarens talman,1924-01-01
Q4356302,2002-09-30,Sveriges riksdags talman,1994-10-03
Q4755577,,Sveriges riksdags talman,2018-09-24
Q4830361,1951-01-01,andre vice talman i första kammaren,1950-01-01
Q4830361,1970-01-01,förste vice talman i första kammaren,1952-01-01
Q4894168,1932-01-01,andra kammarens talman,1928-01-01
Q4895712,1970-01-01,andra kammarens förste vice talman,1965-01-01
Q517762,1994-10-03,Sveriges riksdags talman,1991-09-30
Q525663,1872-01-01,andra kammarens talman,1867-01-01
Q525663,1880-01-01,första kammarens talman,1878-01-01
Q52951,1880-01-01,andra kammarens talman,1876-01-01
Q52964,1874-01-01,andra kammarens vice talman,1873-01-01
Q53286,1905-01-01,första kammarens vice talman,1899-01-01
Q53286,1908-01-01,första kammarens vice talman,1906-01-01
Q53286,1911-01-01,första kammarens talman,1909-01-01
Q53292,1910-01-01,andra kammarens vice talman,1909-01-01
Q5359581,1895-01-01,första kammarens vice talman,1891-01-01
Q5359581,1908-01-01,första kammarens talman,1896-01-01
Q5388930,1952-01-01,andre vice talman i första kammaren,1952-01-01
Q5547641,,första kammarens vice talman,1867-01-01
Q5561113,1875-01-01,andra kammarens talman,1873-01-01
Q5570408,1932-01-01,andra kammarens andre vice talman,1931-01-01
Q5570408,1934-01-01,andra kammarens förste vice talman,1933-01-01
Q5573639,1959-01-01,första kammarens talman,1956-01-01
Q5581542,1912-01-01,andra kammarens vice talman,1912-01-01
Q5581542,1913-11-16,andra kammarens talman,1913-01-15
Q5601098,1912-01-01,andra kammarens vice talman,1910-01-01
Q5603515,1948-01-01,andra kammarens andre vice talman,1943-01-01
Q5603515,1949-01-01,andra kammarens förste vice talman,1949-01-01
Q5604447,1899-01-01,första kammarens vice talman,1896-01-01
Q5604541,1970-01-01,andra kammarens andre vice talman,1965-01-01
Q5616733,1894-01-01,andra kammarens vice talman,1891-01-01
Q5616733,1897-01-01,andra kammarens vice talman,1897-01-01
Q5618809,1902-01-01,andra kammarens talman,1894-01-01
Q5628179,1891-01-01,första kammarens vice talman,1879-01-01
Q5628179,1895-01-01,första kammarens talman,1891-01-01
Q5744409,1915-01-01,första kammarens vice talman,1913-01-01
Q5747245,1874-01-01,första kammarens vice talman,1873-01-01
Q5748259,1872-01-01,första kammarens vice talman,1868-01-01
Q5748259,,första kammarens vice talman,1875-01-01
Q5774246,1939-01-01,andre vice talman i första kammaren,1929-01-01
Q5774246,1951-01-01,förste vice talman i första kammaren,1939-01-01
Q5786143,1928-01-01,första kammarens talman,1916-01-01
Q5786333,1921-01-01,andra kammarens vice talman,1918-01-01
Q5786333,1923-01-01,andra kammarens förste vice talman,1921-01-01
Q5786333,1931-01-01,andra kammarens förste vice talman,1925-01-01
Q5803390,1893-01-01,andra kammarens talman,1892-01-01
Q5822171,1884-01-01,andra kammarens vice talman,1880-04-21
Q5882484,1936-01-01,andra kammarens andre vice talman,1935-01-01
Q5882484,1940-01-01,andra kammarens förste vice talman,1937-01-01
Q5886385,1970-01-01,andre vice talman i första kammaren,1959-01-01
Q5932922,1920-01-01,första kammarens vice talman,1919-01-01
Q5932922,1928-01-01,förste vice talman i första kammaren,1921-01-01
Q5938123,1887-01-01,andra kammarens vice talman,1885-01-01
Q5938123,1890-01-01,andra kammarens vice talman,1889-01-01
Q5962251,1958-01-01,andre vice talman i första kammaren,1953-01-01
Q5971892,1934-01-01,andra kammarens andre vice talman,1933-01-01
Q5971892,1936-01-01,andra kammarens förste vice talman,1935-01-01
Q5972050,1940-01-01,andra kammarens andre vice talman,1937-01-01
Q5972050,1948-01-01,andra kammarens förste vice talman,1940-01-01
Q5975041,1872-01-01,andra kammarens vice talman,1867-01-01
Q6009015,1924-01-01,andra kammarens förste vice talman,1923-01-01
Q6010330,1957-01-01,andra kammarens talman,1953-01-01
Q6010694,1955-01-01,första kammarens talman,1937-01-01
Q6011346,1928-01-01,andre vice talman i första kammaren,1921-01-01
Q6011346,1930-01-01,förste vice talman i första kammaren,1929-01-01
Q6011618,1931-01-01,andra kammarens andre vice talman,1921-01-01
Q6011618,1932-01-01,andra kammarens förste vice talman,1931-01-01
Q6011953,1888-01-01,andra kammarens vice talman,1887-01-01
Q6022267,1918-01-01,första kammarens vice talman,1916-01-01
Q6026474,1956-01-01,andra kammarens andre vice talman,1949-01-01
Q6027656,1939-01-01,förste vice talman i första kammaren,1931-01-01
Q6039716,1908-01-01,andra kammarens vice talman,1903-01-01
Q6042759,1917-01-01,andra kammarens vice talman,1913-01-01
Q6042759,1918-03-08,andra kammarens talman,1918-01-01
Q6080191,1877-01-01,första kammarens vice talman,1876-01-01
Q6085615,1891-01-01,andra kammarens talman,1890-01-01
Q6151901,1960-01-01,andra kammarens andre vice talman,1957-01-01
Q6151901,1964-01-01,andra kammarens förste vice talman,1961-01-01
Q6173314,1964-01-01,andra kammarens andre vice talman,1961-01-01
Q6180020,1949-01-01,andra kammarens andre vice talman,1949-01-01
Q6180020,1960-01-01,andra kammarens förste vice talman,1949-01-01
Q6195774,1964-01-01,första kammarens talman,1959-01-01
Q6199757,1902-01-01,andra kammarens vice talman,1898-01-01
Q6199757,1912-01-01,andra kammarens talman,1903-01-01
Q6201372,1952-01-01,andra kammarens talman,1933-01-01
Q6206899,1968-01-01,andra kammarens talman,1960-01-01
Q6223681,1936-01-01,första kammarens talman,1928-01-01
Q6240063,1917-01-01,andra kammarens talman,1914-01-01
Q6240991,1880-01-01,andra kammarens vice talman,1875-01-01
Q6240991,1890-01-01,andra kammarens talman,1880-01-01
Q6255057,1950-01-01,andre vice talman i första kammaren,1939-01-01
Q6255176,,första kammarens vice talman,1905-01-01
Q6257544,1896-01-01,andra kammarens vice talman,1895-01-01
Q6257968,1943-01-01,andra kammarens andre vice talman,1940-01-01
Q707581,1988-10-03,Sveriges riksdags talman,1979-10-01
Q879773,2006-10-02,Sveriges riksdags talman,2002-09-30
