role,government,wiki_id,start,end,name,gender,born,dead,party,alias,id
utbildningsminister,Regeringen Carlsson I,Q4098206,1985-10-17,1989-01-29,Lennart Bodström,man,1928-04-20,2015-04-30,Socialdemokraterna,,lennart_bodstrom_utbildningsminister_w
ungdomsminister,Regeringen Carlsson I,Q5969868,1986-10-10,1988-10-04,Ulf Lönnqvist,man,1936-06-26,,Socialdemokraterna,,ulf_lonnqvist_ungdomsminister_w
konsumentminister,Regeringen Reinfeldt,Q241851,2006-10-06,2010-10-05,Nyamko Sabuni,kvinna,1969-03-31,,Liberalerna,,nyamko_sabuni_konsumentminister_w
utbildningsminister,Regeringen Reinfeldt,Q946818,2006-10-06,2007-09-07,Lars Leijonborg,man,1949-11-21,,Liberalerna,,lars_leijonborg_utbildningsminister_w
ungdomsminister,Regeringen Carlsson I,Q237522,1988-10-04,1991-10-04,Margot Wallström,kvinna,1954-09-28,,Socialdemokraterna,,margot_wallstrom_ungdomsminister_w
kulturminister,Regeringen Reinfeldt,Q297821,2006-10-24,2014-10-03,Lena Adelsohn Liljeroth,kvinna,1955-11-24,,Moderaterna,,lena_adelsohn_liljeroth_kulturminister_w
Statsministerns ställföretädare,Regeringen Reinfeldt,Q911372,2010-10-05,2014-10-03,Jan Björklund,man,1962-04-18,,Liberalerna,,jan_bjorklund_statsministerns_stallforetadare_w
socialförsäkringsminister,Regeringen Reinfeldt,Q445997,2006-10-06,2010-10-05,Cristina Husmark Pehrsson,kvinna,1947-04-15,,Moderaterna,,cristina_husmark_pehrsson_socialforsakringsminister_w
arbetsmarknadsminister,Regeringen Carlsson I,Q1796120,1982-10-08,1987-10-19,Anna-Greta Leijon,kvinna,1939-06-30,,Socialdemokraterna,,anna-greta_leijon_arbetsmarknadsminister_w
biståndsminister,Regeringen Reinfeldt,Q458162,2006-10-06,2013-09-17,Gunilla Carlsson,kvinna,1963-05-11,,Moderaterna,,gunilla_carlsson_bistandsminister_w
minister för nordiskt samarbete,Regeringen Reinfeldt,Q445997,2006-10-06,2010-10-05,Cristina Husmark Pehrsson,kvinna,1947-04-15,,Moderaterna,,cristina_husmark_pehrsson_minister_for_nordiskt_samarbete_w
samfundsminister,Regeringen Carlsson I,Q237522,1988-10-04,1991-10-04,Margot Wallström,kvinna,1954-09-28,,Socialdemokraterna,,margot_wallstrom_samfundsminister_w
idrottsminister,Regeringen Reinfeldt,Q297821,2006-10-24,2014-10-03,Lena Adelsohn Liljeroth,kvinna,1955-11-24,,Moderaterna,,lena_adelsohn_liljeroth_idrottsminister_w
jordbruksminister,Regeringen Carlsson I,Q5799722,1986-10-10,1991-10-04,Mats Hellström,man,1942-01-12,,Socialdemokraterna,,mats_hellstrom_jordbruksminister_w
näringsminister,Regeringen Carlsson I,Q5991125,1990-01-12,1991-10-04,Rune Molin,man,1931-02-11,2011-08-26,,,rune_molin_naringsminister_w
socialförsäkringsminister,Regeringen Reinfeldt,Q1780398,2010-10-05,2014-10-03,Ulf Kristersson,man,1963-12-29,,Moderaterna,,ulf_kristersson_socialforsakringsminister_w
demokratiminister,Regeringen Reinfeldt,Q241851,2006-10-06,2010-10-05,Nyamko Sabuni,kvinna,1969-03-31,,Liberalerna,,nyamko_sabuni_demokratiminister_w
justitieminister,Regeringen Carlsson I,Q1796120,1987-10-19,1988-06-07,Anna-Greta Leijon,kvinna,1939-06-30,,Socialdemokraterna,,anna-greta_leijon_justitieminister_w
handelsminister,Regeringen Reinfeldt,Q457877,2007-09-12,2014-10-03,Ewa Björling,kvinna,1961-05-03,,Moderaterna,,ewa_bjorling_handelsminister_w
jordbruksminister,Regeringen Carlsson I,Q5967249,1982-10-08,1986-10-09,Svante Lundkvist,man,1919-07-20,1991-07-09,Socialdemokraterna,,svante_lundkvist_jordbruksminister_w
bostadsminister,Regeringen Reinfeldt,Q571725,2006-10-06,2010-10-05,Mats Odell,man,1947-04-30,,Kristdemokraterna,,mats_odell_bostadsminister_w
kulturminister,Regeringen Reinfeldt,Q447653,2006-10-06,2006-10-16,Cecilia Stegö Chilò,kvinna,1959-03-25,,Moderaterna,,cecilia_stego_chilo_kulturminister_w
försvarsminister,Regeringen Reinfeldt,Q984112,2007-09-05,2012-03-29,Sten Tolgfors,man,1966-07-17,,Moderaterna,,sten_tolgfors_forsvarsminister_w
miljöminister,Regeringen Reinfeldt,Q535342,2011-09-29,2014-10-03,Lena Ek,kvinna,1958-01-16,,Centerpartiet,,lena_ek_miljominister_w
biståndsminister,Regeringen Carlsson I,Q460919,1985-10-17,1991-10-04,Lena Hjelm-Wallén,kvinna,1943-01-14,,Socialdemokraterna,,lena_hjelm-wallen_bistandsminister_w
integrationsminister,Regeringen Reinfeldt,Q4588714,2010-10-05,2014-10-03,Erik Ullenhag,man,1972-07-20,,Liberalerna,,erik_ullenhag_integrationsminister_w
idrottsminister,Regeringen Reinfeldt,Q447653,2006-10-06,2006-10-16,Cecilia Stegö Chilò,kvinna,1959-03-25,,Moderaterna,,cecilia_stego_chilo_idrottsminister_w
biträdande utbildningsminister,Regeringen Reinfeldt,Q241851,2010-10-05,2013-01-21,Nyamko Sabuni,kvinna,1969-03-31,,Liberalerna,,nyamko_sabuni_bitradande_utbildningsminister_w
infrastrukturminister,Regeringen Reinfeldt,Q271235,2006-10-06,2010-10-05,Åsa Torstensson,kvinna,1958-03-25,,Centerpartiet,,asa_torstensson_infrastrukturminister_w
minister för nordiskt samarbete,Regeringen Carlsson I,Q5799722,1982-10-08,1986-10-10,Mats Hellström,man,1942-01-12,,Socialdemokraterna,,mats_hellstrom_minister_for_nordiskt_samarbete_w
samfundsminister,Regeringen Reinfeldt,Q297821,2006-10-24,2010-10-05,Lena Adelsohn Liljeroth,kvinna,1955-11-24,,Moderaterna,,lena_adelsohn_liljeroth_samfundsminister_w
arbetsmarknadsminister,Regeringen Reinfeldt,Q772089,2010-10-05,2013-09-17,Hillevi Engström,kvinna,1963-04-15,,Moderaterna,,hillevi_engstrom_arbetsmarknadsminister_w
skolminister,Regeringen Reinfeldt,Q911372,2006-10-06,2007-09-12,Jan Björklund,man,1962-04-18,,Liberalerna,,jan_bjorklund_skolminister_w
bostadsminister,Regeringen Reinfeldt,Q966884,2010-10-05,2014-10-03,Stefan Attefall,man,1960-08-21,,Kristdemokraterna,,stefan_attefall_bostadsminister_w
minister för nordiskt samarbete,Regeringen Carlsson I,Q5967249,1982-10-08,1986-10-10,Svante Lundkvist,man,1919-07-20,1991-07-09,Socialdemokraterna,,svante_lundkvist_minister_for_nordiskt_samarbete_w
Statsministerns ställföretädare,Regeringen Carlsson I,Q5967249,1986-03-13,1986-10-09,Svante Lundkvist,man,1919-07-20,1991-07-09,Socialdemokraterna,,svante_lundkvist_statsministerns_stallforetadare_w
arbetsmarknadsminister,Regeringen Reinfeldt,Q3504785,2006-10-06,2010-07-07,Sven Otto Littorin,man,1966-05-20,,Moderaterna,,sven_otto_littorin_arbetsmarknadsminister_w
konsumentminister,Regeringen Reinfeldt,Q429001,2010-10-05,2014-10-03,Birgitta Ohlsson,kvinna,1975-07-20,,Liberalerna,,birgitta_ohlsson_konsumentminister_w
