year,first chamber,second chamber,unicameral,comments
1867,125.0,191,,från Stjernquist s. 107
1868,,191,,
1869,127.0,191,,
1870,126.0,191,,
1871,126.0,191,,
1871 urt,126.0,191,,
1872,126.0,191,,
1873,128.0,194,,
1874,128.0,194,,
1875,129.0,195,,
1876,131.0,199,,
1877,132.0,199,,
1878,133.0,199,,
1879,136.0,204,,
1880,136.0,204,,
1881,137.0,204,,
1882,137.0,206,,
1883,138.0,206,,
1884,139.0,206,,
1885,138.0,214,,
1886,140.0,214,,
1887,143.0,214,,
1888,144.0,222,,
1889,145.0,222,,
1890,145.0,222,,
1891,147.0,228,,
1892,147.0,228,,
1892 urt,148.0,228,,
1893,148.0,228,,
1894,148.0,228,,
