year,chamber,protocol_spec,n_mps,source
1867,ak,,190,stjernquist1996:107
1867,fk,,125,stjernquist1996:107
1868,ak,,191,stjernquist1996:107
1868,fk,,125,inferred
1869,ak,,191,stjernquist1996:107
1869,fk,,127,stjernquist1996:107
1870,ak,,191,stjernquist1996:107
1870,fk,,126,stjernquist1996:107
1871,ak,,191,stjernquist1996:107
1871,fk,,126,stjernquist1996:107
1871,ak,urtima,191,stjernquist1996:107
1871,fk,urtima,126,stjernquist1996:107
1872,ak,,191,stjernquist1996:107
1872,fk,,126,stjernquist1996:107
1873,ak,,194,stjernquist1996:107
1873,fk,,128,stjernquist1996:107
1874,ak,,194,stjernquist1996:107
1874,fk,,128,stjernquist1996:107
1875,ak,,195,stjernquist1996:107
1875,fk,,129,stjernquist1996:107
1876,ak,,199,stjernquist1996:107
1876,fk,,131,stjernquist1996:107
1877,ak,,199,stjernquist1996:107
1877,fk,,132,stjernquist1996:107
1878,ak,,199,stjernquist1996:107
1878,fk,,133,stjernquist1996:107
1879,ak,,204,stjernquist1996:107
1879,fk,,136,stjernquist1996:107
1880,ak,,204,stjernquist1996:107
1880,fk,,136,stjernquist1996:107
1881,ak,,204,stjernquist1996:107
1881,fk,,137,stjernquist1996:107
1882,ak,,206,stjernquist1996:107
1882,fk,,137,stjernquist1996:107
1883,ak,,206,stjernquist1996:107
1883,fk,,138,stjernquist1996:107
1884,ak,,206,stjernquist1996:107
1884,fk,,139,stjernquist1996:107
1885,ak,,214,stjernquist1996:107
1885,fk,,138,stjernquist1996:107
1886,ak,,214,stjernquist1996:107
1886,fk,,140,stjernquist1996:107
1887,ak,janmar,214,stjernquist1996:122
1887,fk,janmar,143,stjernquist1996:122
1887,ak,majjul,221,stjernquist1996:122
1887,fk,majjul,143,stjernquist1996:122
1888,ak,,222,stjernquist1996:122
1888,fk,,144,stjernquist1996:122
1889,ak,,222,stjernquist1996:107
1889,fk,,145,stjernquist1996:107
1890,ak,,222,stjernquist1996:107
1890,fk,,145,stjernquist1996:107
1891,ak,,228,stjernquist1996:107
1891,fk,,147,stjernquist1996:107
1892,ak,,228,stjernquist1996:107
1892,fk,,147,stjernquist1996:107
1892,ak,urtima,228,stjernquist1996:107
1892,fk,urtima,148,stjernquist1996:107
1893,ak,,228,stjernquist1996:107
1893,fk,,148,stjernquist1996:107
1894,ak,,228,stjernquist1996:107
1894,fk,,148,stjernquist1996:107
1895,ak,,230,stjernquist1996:107
1895,fk,,150,stjernquist1996:107
1896,ak,,230,inferred
1896,fk,,150,inferred
1897,ak,,230,inferred
1897,fk,,150,inferred
1898,ak,,230,inferred
1898,fk,,150,inferred
1899,ak,,230,inferred
1899,fk,,150,inferred
1900,ak,,230,stjernquist1996:122
1900,fk,,150,stjernquist1996:122
1901,ak,,230,inferred
1901,fk,,150,inferred
1902,ak,,230,inferred
1902,fk,,150,inferred
1903,ak,,230,stjernquist1996:122
1903,fk,,150,stjernquist1996:122
1904,ak,,230,inferred
1904,fk,,150,inferred
1905,ak,,230,inferred
1905,fk,,150,inferred
1905,ak,urtima,230,inferred
1905,fk,urtima,150,inferred
1905,ak,urtima2,230,inferred
1905,fk,urtima2,150,inferred
1906,ak,,230,stjernquist1996:122
1906,fk,,150,stjernquist1996:122
1907,ak,,230,inferred
1907,fk,,150,inferred
1908,ak,,230,inferred
1908,fk,,150,inferred
1909,,,230,inferred
1909,ak,,230,stjernquist1996:122
1909,fk,,150,stjernquist1996:122
1910,ak,,230,inferred
1910,fk,,150,inferred
1911,ak,,230,inferred
1911,fk,,150,inferred
1912,ak,,230,stjernquist1996:123
1912,fk,,150,stjernquist1996:123
1913,ak,,230,inferred
1913,fk,,150,inferred
1914,ak,a,230,inferred
1914,fk,a,150,inferred
1914,ak,b,230,stjernquist1996:123
1914,fk,b,150,stjernquist1996:123
1915,ak,,230,stjernquist1996:123
1915,fk,,150,stjernquist1996:123
1916,ak,,230,inferred
1916,fk,,150,inferred
1917,ak,,230,inferred
1917,fk,,150,inferred
1918,ak,,230,stjernquist1996:123
1918,fk,,150,stjernquist1996:123
1918,ak,urtima,230,inferred
1918,fk,urtima,150,inferred
1919,ak,,230,inferred
1919,fk,,150,inferred
1919,ak,urtima,230,inferred
1919,fk,urtima,150,inferred
1920,ak,,230,inferred
1920,fk,,150,inferred
1921,ak,,230,stjernquist1996:123
1921,fk,,150,stjernquist1996:123
1922,ak,,230,stjernquist1996:123
1922,fk,,150,stjernquist1996:123
1923,ak,,230,inferred
1923,fk,,150,inferred
1924,ak,,230,inferred
1924,fk,,150,inferred
1925,ak,,230,stjernquist1996:123
1925,fk,,150,stjernquist1996:123
1926,ak,,230,inferred
1926,fk,,150,inferred
1927,ak,,230,inferred
1927,fk,,150,inferred
1928,ak,,230,inferred
1928,fk,,150,inferred
1929,ak,,230,stjernquist1996:123
1929,fk,,150,stjernquist1996:123
1930,ak,,230,inferred
1930,fk,,150,inferred
1931,ak,,230,inferred
1931,fk,,150,inferred
1932,ak,,230,inferred
1932,fk,,150,inferred
1933,ak,,230,stjernquist1996:123
1933,fk,,150,stjernquist1996:123
1934,ak,,230,inferred
1934,fk,,150,inferred
1935,ak,,230,inferred
1935,fk,,150,inferred
1936,ak,,230,inferred
1936,fk,,150,inferred
1937,ak,,230,stjernquist1996:123
1937,fk,,150,stjernquist1996:123
1938,ak,,230,inferred
1938,fk,,150,inferred
1939,ak,,230,inferred
1939,fk,,150,inferred
1939,ak,urtima,230,inferred
1939,fk,urtima,150,inferred
1940,ak,,230,inferred
