role,wiki_id,start,end,name,gender,born,dead,party,alias,id
andra kammarens andre vice talman,Q6257968,1940-01-01,1943-01-01,Ivar Österström,man,1887-08-26,1943-12-16,,Österström i Härnösand,ak_2_vice_talman_ivar_osterstrom_w
andra kammarens förste vice talman,Q6180020,1949-01-01,1960-01-01,Martin Skoglund,man,1892-09-02,1976-12-06,Moderaterna,Skoglund i Doverstorp,ak_1_vice_talman_martin_skoglund_w
andre vice talman i första kammaren,Q5886385,1959-01-01,1970-01-01,Ivar Johansson,man,1899-08-28,1994-12-22,Centerpartiet,Johansson i Mysinge,fk_2_vice_talman_ivar_johansson_w
andra kammarens andre vice talman,Q5603515,1943-01-01,1948-01-01,Oscar Carlström,man,1879-08-12,1950-01-22,Liberalerna,Carlström i Helgagård,ak_2_vice_talman_oscar_carlstrom_w
andra kammarens andre vice talman,Q6011618,1921-01-01,1931-01-01,Per Nilsson i Bonarp,man,1865-06-29,1933-11-11,,Nilsson i Bonarp,ak_2_vice_talman_per_nilsson_i_bonarp_w
andra kammarens förste vice talman,Q6151901,1961-01-01,1964-01-01,Oscar Malmborg,man,1892-06-15,1968-06-11,Liberalerna,Malmborg i Skövde,ak_1_vice_talman_oscar_malmborg_w
andre vice talman i första kammaren,Q5388930,1952-01-01,1952-01-01,Erik von Heland,man,1894-05-03,1973-09-08,Centerpartiet,von Heland i Arhammar,fk_2_vice_talman_erik_von_heland_w
andra kammarens förste vice talman,Q5882484,1937-01-01,1940-01-01,Ola Jeppsson,man,1887-02-08,1941-06-17,,Jeppsson i Mörrum,ak_1_vice_talman_ola_jeppsson_w
andra kammarens förste vice talman,Q5882484,1937-01-01,1940-01-01,Ola Jeppsson,man,1887-02-08,1941-06-17,,Jeppsson i Visby,ak_1_vice_talman_ola_jeppsson_w
andra kammarens andre vice talman,Q5570408,1931-01-01,1932-01-01,Sven Bengtsson,man,1866-12-09,1936-12-16,,Bengtsson i Norup,ak_2_vice_talman_sven_bengtsson_w
