titel,name,party,start,end,chamber,id,loc
1_vice_talman,Herman Lamm,Liberala samplingspartiet,1921,1928,Första kammaren,herman_lamm_1_vice_talman,
2_vice_talman,August Nilsson,s,1921,1928,Första kammaren,august_nilsson_2_vice_talman,i Kabbarp
1_vice_talman,August Nilsson,s,1929,1931,Första kammaren,august_nilsson_1_vice_talman,i Kabbarp
2_vice_talman,Petrus Nilsson,c,1929,1931,Första kammaren,petrus_nilsson_2_vice_talman,i Gränebo
1_vice_talman,Olof Olsson,s,1931,1939,Första kammaren,olof_olsson_1_vice_talman,i Göteborg
2_vice_talman,Petrus Nilsson,c,1931,1939,Första kammaren,petrus_nilsson_2_vice_talman,i Gränebo
1_vice_talman,Petrus Nilsson,c,1939,1950,Första kammaren,petrus_nilsson_1_vice_talman,i Gränebo
2_vice_talman,Harald Åkerberg,s,1939,1950,Första kammaren,harald_akerberg_2_vice_talman,
1_vice_talman,Petrus Nilsson,c,1950,1951,Första kammaren,petrus_nilsson_1_vice_talman,i Gränebo
2_vice_talman,Axel Strand,s,1950,1951,Första kammaren,axel_strand_2_vice_talman,
1_vice_talman,Axel Strand,s,1952,1952,Första kammaren,axel_strand_1_vice_talman,
2_vice_talman,Erik von Heland,c,1952,1952,Första kammaren,erik_von_heland_2_vice_talman,
1_vice_talman,Axel Strand,s,1953,1958,Första kammaren,axel_strand_1_vice_talman,
2_vice_talman,Gunnar Lodenius,c,1953,1958,Första kammaren,gunnar_lodenius_2_vice_talman,
1_vice_talman,Axel Strand,s,1959,1970,Första kammaren,axel_strand_1_vice_talman,
2_vice_talman,Ivar Johansson,c,1959,1970,Första kammaren,ivar_johansson_2_vice_talman,
1_vice_talman,Raoul Hamilton,l,1921,1923,Andra kammaren,raoul_hamilton_1_vice_talman,
2_vice_talman,Per Nilsson,m,1921,1923,Andra kammaren,per_nilsson_2_vice_talman,i Bonarp
1_vice_talman,Erik Nilson,Sveriges liberala parti,1923,1924,Andra kammaren,erik_nilson_1_vice_talman,
2_vice_talman,Per Nilsson,m,1923,1924,Andra kammaren,per_nilsson_2_vice_talman,i Bonarp
1_vice_talman,Raoul Hamilton,l,1925,1931,Andra kammaren,raoul_hamilton_1_vice_talman,
2_vice_talman,Per Nilsson,m,1925,1931,Andra kammaren,per_nilsson_2_vice_talman,i Bonarp
1_vice_talman,Per Nilsson,m,1931,1932,Andra kammaren,per_nilsson_1_vice_talman,i Bonarp
2_vice_talman,Sven Bengtsson,l,1931,1932,Andra kammaren,sven_bengtsson_2_vice_talman,i Norup
1_vice_talman,Sven Bengtsson,l,1933,1934,Andra kammaren,sven_bengtsson_1_vice_talman,i Norup
2_vice_talman,Otto Magnusson,m,1933,1934,Andra kammaren,otto_magnusson_2_vice_talman,
1_vice_talman,Otto Magnusson,m,1935,1936,Andra kammaren,otto_magnusson_1_vice_talman,
2_vice_talman,Ola Jeppsson,l,1935,1936,Andra kammaren,ola_jeppsson_2_vice_talman,
1_vice_talman,Ola Jeppsson,l,1937,1940,Andra kammaren,ola_jeppsson_1_vice_talman,
2_vice_talman,Karl Magnusson,m,1937,1940,Andra kammaren,karl_magnusson_2_vice_talman,i Skövde
1_vice_talman,Karl Magnusson,m,1940,1943,Andra kammaren,karl_magnusson_1_vice_talman,i Skövde
2_vice_talman,Ivar Österström,l,1940,1943,Andra kammaren,ivar_osterstrom_2_vice_talman,
1_vice_talman,Karl Magnusson,m,1943,1948,Andra kammaren,karl_magnusson_1_vice_talman,i Skövde
2_vice_talman,Oscar Carlström,l,1943,1948,Andra kammaren,oscar_carlstrom_2_vice_talman,
1_vice_talman,Oscar Carlström,l,1949,1949,Andra kammaren,oscar_carlstrom_1_vice_talman,
2_vice_talman,Martin Skoglund,m,1949,1949,Andra kammaren,martin_skoglund_2_vice_talman,
1_vice_talman,Martin Skoglund,m,1949,1956,Andra kammaren,martin_skoglund_1_vice_talman,
2_vice_talman,Anders Olsson,l,1949,1956,Andra kammaren,anders_olsson_2_vice_talman,
1_vice_talman,Martin Skoglund,m,1957,1960,Andra kammaren,martin_skoglund_1_vice_talman,
2_vice_talman,Oscar Malmborg,l,1957,1960,Andra kammaren,oscar_malmborg_2_vice_talman,
1_vice_talman,Oscar Malmborg,l,1961,1964,Andra kammaren,oscar_malmborg_1_vice_talman,
2_vice_talman,Torgil von Seth,m,1961,1964,Andra kammaren,torgil_von_seth_2_vice_talman,
1_vice_talman,Bertil von Friesen,l,1965,1970,Andra kammaren,bertil_von_friesen_1_vice_talman,
2_vice_talman,Leif Cassel,m,1965,1970,Andra kammaren,leif_cassel_2_vice_talman,
1_vice_talman,Torsten Bengtson,c,1971,1973,Enkammarriksdagen,torsten_bengtson_1_vice_talman,
2_vice_talman,Cecilia Nettelbrandt,l,1971,1973,Enkammarriksdagen,cecilia_nettelbrandt_2_vice_talman,
3_vice_talman,Ivar Virgin,m,1971,1973,Enkammarriksdagen,ivar_virgin_3_vice_talman,
1_vice_talman,Torsten Bengtson,c,1974,1976,Enkammarriksdagen,torsten_bengtson_1_vice_talman,
2_vice_talman,Ivar Virgin,m,1974,1976,Enkammarriksdagen,ivar_virgin_2_vice_talman,
3_vice_talman,Cecilia Nettelbrandt,l,1974,1976,Enkammarriksdagen,cecilia_nettelbrandt_3_vice_talman,
1_vice_talman,Torsten Bengtson,c,1976,1979,Enkammarriksdagen,torsten_bengtson_1_vice_talman,
2_vice_talman,Tage Magnusson,m,1976,1979,Enkammarriksdagen,tage_magnusson_2_vice_talman,
3_vice_talman,Karl Erik Eriksson,l,1976,1979,Enkammarriksdagen,karl_erik_eriksson_3_vice_talman,
1_vice_talman,Ingegerd Troedsson,m,1979,1982,Enkammarriksdagen,ingegerd_troedsson_1_vice_talman,
2_vice_talman,Thorsten Larsson,c,1979,1982,Enkammarriksdagen,thorsten_larsson_2_vice_talman,
3_vice_talman,Karl Erik Eriksson,l,1979,1982,Enkammarriksdagen,karl_erik_eriksson_3_vice_talman,
1_vice_talman,Ingegerd Troedsson,m,1982,1985,Enkammarriksdagen,ingegerd_troedsson_1_vice_talman,
2_vice_talman,Anders Dahlgren,c,1982,1985,Enkammarriksdagen,anders_dahlgren_2_vice_talman,
3_vice_talman,Karl Erik Eriksson,l,1982,1985,Enkammarriksdagen,karl_erik_eriksson_3_vice_talman,
1_vice_talman,Ingegerd Troedsson,m,1985,1988,Enkammarriksdagen,ingegerd_troedsson_1_vice_talman,
2_vice_talman,Karl Erik Eriksson,l,1985,1988,Enkammarriksdagen,karl_erik_eriksson_2_vice_talman,
2_vice_talman,Christer Eirefelt,l,1988,1988,Enkammarriksdagen,christer_eirefelt_2_vice_talman,
3_vice_talman,Anders Dahlgren,c,1985,1986,Enkammarriksdagen,anders_dahlgren_3_vice_talman,
2_vice_talman,Bertil Fiskesjö,c,1986,1988,Enkammarriksdagen,bertil_fiskesjo_2_vice_talman,
1_vice_talman,Ingegerd Troedsson,m,1988,1991,Enkammarriksdagen,ingegerd_troedsson_1_vice_talman,
