Time,name,vice_no,chamber
1921 – 1928,Herman Lamm,1,FK
1921 – 1928,August Nilsson i Kabbarp,2,FK
1929 – 1931,August Nilsson i Kabbarp,1,FK
1929 – 1931,Petrus Nilsson i Gränebo,2,FK
1931 – 1939,Olof Olsson i Göteborg,1,FK
1931 – 1939,Petrus Nilsson i Gränebo,2,FK
1939 – 1950,Petrus Nilsson i Gränebo,1,FK
1939 – 1950,Harald Åkerberg,2,FK
1950 – 1951,Petrus Nilsson i Gränebo,1,FK
1950 – 1951,Axel Strand,2,FK
1952,Axel Strand,1,FK
1952,Erik von Heland,2,FK
1953 – 1958,Axel Strand,1,FK
1953 – 1958,Gunnar Lodenius,2,FK
1959 – 1970,Axel Strand,1,FK
1959 – 1970,Ivar Johansson,2,FK
1921 – 1923,Raoul Hamilton,1,AK
1921 – 1923,Per Nilsson i Bonarp,2,AK
1923 – 1924,Erik Nilson,1,AK
1923 – 1924,Per Nilsson i Bonarp,2,AK
1925 – 1931,Raoul Hamilton,1,AK
1925 – 1931,Per Nilsson i Bonarp,2,AK
1931 – 1932,Per Nilsson i Bonarp,1,AK
1931 – 1932,Sven Bengtsson i Norup,2,AK
1933 – 1934,Sven Bengtsson i Norup,1,AK
1933 – 1934,Otto Magnusson,2,AK
1935 – 1936,Otto Magnusson,1,AK
1935 – 1936,Ola Jeppsson,2,AK
1937 – 1940,Ola Jeppsson,1,AK
1937 – 1940,Karl Magnusson i Skövde,2,AK
1940 – 1943,Karl Magnusson i Skövde,1,AK
1940 – 1943,Ivar Österström,2,AK
1943 – 1948,Karl Magnusson i Skövde,1,AK
1943 – 1948,Oscar Carlström,2,AK
1949,Oscar Carlström,1,AK
1949,Martin Skoglund,2,AK
1949 – 1956,Martin Skoglund,1,AK
1949 – 1956,Anders Olsson,2,AK
1957 – 1960,Martin Skoglund,1,AK
1957 – 1960,Oscar Malmborg,2,AK
1961 – 1964,Oscar Malmborg,1,AK
1961 – 1964,Torgil von Seth,2,AK
1965 – 1970,Bertil von Friesen,1,AK
1965 – 1970,Leif Cassel,2,AK
1971–1973,Torsten Bengtson,1,
1971–1973,Cecilia Nettelbrandt,2,
1971–1973,Ivar Virgin,3,
1974–1976,Torsten Bengtson,1,
1974–1976,Ivar Virgin,2,
1974–1976,Cecilia Nettelbrandt,3,
1976–1979,Torsten Bengtson,1,
1976–1979,Tage Magnusson,2,
1976–1979,Karl Erik Eriksson,3,
1979–1982,Ingegerd Troedsson,1,
1979–1982,Thorsten Larsson,2,
1979–1982,Karl Erik Eriksson,3,
1982–1985,Ingegerd Troedsson,1,
1982–1985,Anders Dahlgren,2,
1982–1985,Karl Erik Eriksson,3,
1985–1988,Ingegerd Troedsson,1,
1985–1988,Karl Erik Eriksson(1985-1988); Christer Eirefelt (1988),2,
1985–1988,Anders Dahlgren (1985-1986); Bertil Fiskesjö(1986–1988),3,
1988–1991,Ingegerd Troedsson,1,
1988–1991,Christer Eirefelt,2,
1988–1991,Bertil Fiskesjö,3,
1991–1994,Stig Alemyr,1,
1991–1994,Christer Eirefelt,2,
1991–1994,Bertil Fiskesjö,3,
1994–1998,Anders Björck,1,
1994–1998,Görel Thurdin,2,
1994–1998,Christer Eirefelt,3,
1998–2002,Anders Björck,1,
1998–2002,Eva Zetterberg,2,
1998–2002,Rose-Marie Frebran,3,
2002–2006,Anders Björck (2002); Per Westerberg (2003–2006),1,
2002–2006,Kerstin Heinemann,2,
2002–2006,Helena Höij,3,
2006–2010,Jan Björkman,1,
2006–2010,Birgitta Sellén,2,
2006–2010,Liselott Hagberg,3,
2010–2014,Susanne Eberstein,1,
2010–2014,Ulf Holm,2,
2010–2014,Liselott Hagberg (2010–2012); Jan Ertsborn(2012–2014),3,
2014–2018,Tobias Billström (2014–2017); Ewa Thalén Finné(2017–2018),1,
2014–2018,Björn Söder,2,
2014–2018,Esabelle Dingizian,3,
2018–2022,Åsa Lindestam,1,
2018–2022,Lotta Johnsson Fornarve,2,
2018–2022,Kerstin Lundgren,3,
