wiki_id,name,party,url,party_abbrev
Q3373674,Helene Petersson,Socialdemokraterna,http://www.wikidata.org/entity/Q3373674,S
Q3374562,Hans Hoff,Socialdemokraterna,http://www.wikidata.org/entity/Q3374562,S
Q3374627,Eva Sonidsson,Socialdemokraterna,http://www.wikidata.org/entity/Q3374627,S
Q3492112,Aron Modig,Kristdemokraterna,http://www.wikidata.org/entity/Q3492112,KD
Q4563096,Jennie Nilsson,Socialdemokraterna,http://www.wikidata.org/entity/Q4563096,S
Q4588714,Erik Ullenhag,Liberalerna,http://www.wikidata.org/entity/Q4588714,L
Q4609260,Siv Holma,Vänsterpartiet,http://www.wikidata.org/entity/Q4609260,V
Q4724776,Ali Esbati,Vänsterpartiet,http://www.wikidata.org/entity/Q4724776,V
Q4765508,Anita Brodén,Liberalerna,http://www.wikidata.org/entity/Q4765508,L
Q4765556,Anita Johansson,Socialdemokraterna,http://www.wikidata.org/entity/Q4765556,S
Q4767056,Anna Grönlund Krantz,Liberalerna,http://www.wikidata.org/entity/Q4767056,L
Q4822657,Mehmet Kaplan,Miljöpartiet,http://www.wikidata.org/entity/Q4822657,MP
Q4887773,Bengt-Anders Johansson,Moderaterna,http://www.wikidata.org/entity/Q4887773,M
Q4891898,Berit Jóhannesson,Vänsterpartiet,http://www.wikidata.org/entity/Q4891898,V
Q4895693,Bertil Kjellberg,Moderaterna,http://www.wikidata.org/entity/Q4895693,M
Q4898916,Betty Malmberg,Moderaterna,http://www.wikidata.org/entity/Q4898916,M
Q4916299,Birgitta Sellén,Centerpartiet,http://www.wikidata.org/entity/Q4916299,C
Q4935892,Marianne Andersson,Centerpartiet,http://www.wikidata.org/entity/Q4935892,C
Q4936554,Marita Aronson,Liberalerna,http://www.wikidata.org/entity/Q4936554,L
Q4938501,Mona Berglund Nilsson,Socialdemokraterna,http://www.wikidata.org/entity/Q4938501,S
Q4938662,Britta Bergström,Liberalerna,http://www.wikidata.org/entity/Q4938662,L
Q4939220,Laila Bjurling,Socialdemokraterna,http://www.wikidata.org/entity/Q4939220,S
Q4939380,Maud Björnemalm,Socialdemokraterna,http://www.wikidata.org/entity/Q4939380,S
Q4939382,Elisabeth Björnsdotter Rahm,Moderaterna,http://www.wikidata.org/entity/Q4939382,M
Q4942814,Annika Nordgren Christensen,Miljöpartiet,http://www.wikidata.org/entity/Q4942814,MP
Q4945406,Anne-Katrine Dunker,Moderaterna,http://www.wikidata.org/entity/Q4945406,M
Q4946072,Maud Ekendahl,Moderaterna,http://www.wikidata.org/entity/Q4946072,M
Q4946153,Kerstin Ekman,Liberalerna,http://www.wikidata.org/entity/Q4946153,L
Q4946778,Barbro Engman,Socialdemokraterna,http://www.wikidata.org/entity/Q4946778,S
Q4948781,Vivianne Franzén,Ny demokrati,http://www.wikidata.org/entity/Q4948781,NYD
Q4949486,Margareta Gard,Moderaterna,http://www.wikidata.org/entity/Q4949486,M
Q4951500,Inger Gustafsson,Liberalerna,http://www.wikidata.org/entity/Q4951500,L
Q4952005,Caroline Hagström,Kristdemokraterna,http://www.wikidata.org/entity/Q4952005,KD
Q4952607,Ing-Marie Hansson,Socialdemokraterna,http://www.wikidata.org/entity/Q4952607,S
Q4953078,Gertrud Hedberg,Liberalerna,http://www.wikidata.org/entity/Q4953078,L
Q4953319,Kerstin Heinemann,Liberalerna,http://www.wikidata.org/entity/Q4953319,L
Q4953330,Chris Heister,Moderaterna,http://www.wikidata.org/entity/Q4953330,M
Q4953552,Ingrid Hemmingsson,Moderaterna,http://www.wikidata.org/entity/Q4953552,M
Q4954609,Mary Holmqvist,Socialdemokraterna,http://www.wikidata.org/entity/Q4954609,S
Q4956996,Inga-Britt Johansson,Socialdemokraterna,http://www.wikidata.org/entity/Q4956996,S
