year,known,unknown,accuracy_upper_bound
1890,12199,2217,0.8462125416204217
1891,11584,1857,0.8618406368573767
1892,12807,2804,0.8203830632246493
1893,10468,2042,0.8367705835331735
1894,13238,1977,0.8700624383831745
1895,12509,1661,0.8827805222300635
1896,13416,1684,0.888476821192053
1897,12978,1550,0.8933094713656388
1898,13975,1569,0.8990607308286156
1899,10664,1369,0.8862295354441951
1900,12479,1376,0.900685673042223
1901,11632,1572,0.8809451681308694
1902,13383,1825,0.8799973698053656
1903,14727,1628,0.9004585753592174
1904,15583,2126,0.8799480490146253
1905,15425,1852,0.8928054639115587
1906,15795,1655,0.9051575931232092
1907,17236,2129,0.8900593854892848
1908,19166,2405,0.888507718696398
1909,18566,2564,0.8786559394226219
1910,26156,2806,0.9031144257993232
1911,27154,2338,0.9207242642072426
1912,27784,2157,0.92795831802545
1913,30982,2006,0.939190008487935
1914,25095,3455,0.878984238178634
1915,23492,2996,0.8868921775898521
1916,23276,2594,0.8997294163123308
1917,31281,3896,0.8892458140262103
1918,36077,4774,0.8831362757337642
1919,34983,4557,0.8847496206373293
1920,12753,1789,0.8769770320451107
1921,14280,1726,0.8921654379607648
1922,10884,1068,0.9106425702811245
1923,9549,683,0.9332486317435497
1924,9028,421,0.9554450206371045
1925,8443,672,0.9262753702687877
1926,9756,708,0.9323394495412844
1927,10071,516,0.9512609804477189
1928,10294,522,0.9517381656804734
1929,9732,906,0.9148336153412295
1930,11087,1000,0.9172664846529329
1931,9580,747,0.9276653432749105
1932,11820,1300,0.9009146341463414
1933,9353,812,0.920118052139695
1934,9348,857,0.9160215580597746
1935,7350,852,0.8961228968544257
1936,9439,979,0.9060280284123632
1937,7936,527,0.9377289377289377
1938,7347,569,0.9281202627589692
1939,9298,861,0.9152475637365882
1940,7668,781,0.907563025210084
1941,7012,653,0.9148075668623614
1942,8142,665,0.9244918814579312
1943,8376,894,0.9035598705501618
1944,8033,842,0.9051267605633803
1945,10801,1254,0.8959767731231854
1946,10258,1214,0.8941771269177127
1947,7962,755,0.913387633360101
1948,14062,1474,0.9051235839340885
1949,10793,995,0.915592127587377
1950,11531,978,0.921816292269566
1951,13300,1070,0.9255393180236604
1952,12130,936,0.9283636920251033
1953,12009,925,0.9284830678830988
1954,13848,1071,0.928212346672029
1955,12978,1141,0.9191869112543382
1956,14021,1215,0.9202546600157522
1957,13041,884,0.9365170556552962
1958,14222,1186,0.9230269989615784
1959,14091,1203,0.9213417026284818
1960,14828,1105,0.9306470846670433
1961,13874,924,0.9375591296121097
1962,14905,1023,0.9357734806629834
1963,15833,1155,0.932010831174947
1964,17676,1704,0.9120743034055727
1965,17387,1366,0.927158321335253
1966,18357,1580,0.9207503636454832
1967,22725,1780,0.9273617629055295
1968,20477,1596,0.9276944683550038
1969,21747,1651,0.9294384135396188
1970,22872,1976,0.9204764971023824
1971,17077,1021,0.9435849265112167
1972,19394,1257,0.9391312769357416
1973,18255,1367,0.9303332993578636
1974,16049,1211,0.929837775202781
1975,14632,1314,0.9175968895020695
1976,10813,1112,0.9067505241090147
1977,12963,1089,0.9225021349274125
1978,16649,897,0.9488772369770888
1979,21595,1237,0.9458216538192011
1980,21756,1406,0.939297124600639
1981,18951,962,0.9516898508512027
1982,19506,918,0.9550528789659224
1983,21963,920,0.9597954813617096
1984,21652,946,0.9581378883086998
1985,20504,1164,0.9462802289089902
1986,19885,1291,0.9390347563279184
1987,20955,1132,0.9487481323855662
1988,21094,967,0.956166991523503
1989,23962,973,0.9609785442149589
1990,58057,1728,0.9710964288701179
1991,105764,2917,0.973159981965569
1992,117702,3322,0.9725508989952406
1993,127179,1699,0.9868169897111997
1994,108281,1732,0.9842564060611019
1995,93978,3461,0.9644803415470191
1996,88654,3164,0.9655405258228235
1997,96296,2702,0.9727065193236227
1998,92023,2566,0.9728721098647835
1999,98666,5662,0.945728855149145
2000,105945,5113,0.9539609933548236
2001,107811,3787,0.9660657001021523
2002,102896,4623,0.9570029483161115
2003,97058,2839,0.9715807281499945
2004,81175,1639,0.9802086603714348
2005,83064,1659,0.9804185404199568
2006,75380,1402,0.9817405120991899
2007,92482,1603,0.9829622150183345
2008,99299,1574,0.9843962209907507
2009,86453,1557,0.9823088285422111
2010,75476,1145,0.985056316153535
2011,75015,1120,0.9852892887633808
2012,81130,1061,0.987091044031585
2013,88644,1091,0.9878419791608626
2014,83320,1083,0.9871687025342701
2015,88024,1726,0.9807688022284122
2016,83816,1398,0.9835942450771
2017,81247,1852,0.9777133298836328
2018,65040,1548,0.9767525680302758
2019,69063,1094,0.984406402782331
2020,69198,806,0.9884863722073024
2021,93724,1469,0.9845681930394041
2022,42889,488,0.9887497982801946
