year,known,unknown,accuracy_upper_bound
1920,11869,1945,0.8592008107716809
1921,12075,3060,0.7978196233894945
1922,10469,1282,0.890902901880691
1923,8743,1108,0.8875241092274896
1924,7816,1456,0.8429680759275238
1925,7811,1000,0.8865055044830326
1926,8987,1158,0.8858551010349927
1927,8361,1732,0.8283959179629447
1928,8763,1729,0.8352077773541746
1929,8341,2240,0.788299782629241
1930,9577,2582,0.7876470104449379
1931,7950,2142,0.7877526753864447
1932,10378,2497,0.8060582524271844
1933,7937,1790,0.8159761488639868
1934,7408,2084,0.7804466919511167
1935,5916,1835,0.7632563540188363
1936,7453,2170,0.774498597111088
1937,7088,725,0.9072059388199155
1938,6540,759,0.896013152486642
1939,8174,1029,0.888188634141041
1940,6584,1002,0.8679145794885315
1941,6137,907,0.8712379329926179
1942,7079,905,0.8866482965931863
1943,7221,1072,0.8707343542746895
1944,6946,1062,0.8673826173826173
1945,9405,1383,0.8718020022246941
1946,9062,1370,0.8686733128834356
1947,7175,839,0.8953082106313951
1948,13088,1685,0.8859405672510662
1949,9779,1365,0.8775125628140703
1950,10632,1355,0.8869608742804705
1951,12211,1479,0.8919649379108838
1952,10841,1794,0.858013454689355
1953,10103,2059,0.830702187140273
1954,11629,1865,0.8617904253742404
1955,11301,1802,0.8624742425398764
1956,11968,2406,0.832614442743843
1957,11117,1802,0.8605155197770725
1958,12632,1594,0.8879516378461971
1959,12789,1667,0.8846845600442723
1960,12859,2245,0.851363877118644
1961,11805,1992,0.8556207871276365
1962,12583,2536,0.8322640386268934
1963,13283,2275,0.853772978531945
1964,15081,3346,0.818418624843979
1965,14918,3432,0.8129700272479564
1966,15599,3651,0.8103376623376624
1967,18738,5084,0.7865838300730418
1968,17469,3916,0.8168809913490764
1969,19318,3083,0.8623722155260926
1970,20833,3280,0.8639737900717456
1971,17591,2338,0.882683526519143
1972,19185,2253,0.8949062412538483
1973,18627,2364,0.8873803058453623
1974,15249,2337,0.8671102012964859
1975,15436,2253,0.8726327095935327
1976,11136,2078,0.8427425457847737
1977,12534,1593,0.8872372053514547
1978,17232,947,0.9479069255734639
1979,22719,1270,0.9470590687398391
1980,22985,1339,0.9449514882420654
1981,18969,1332,0.934387468597606
1982,19445,1170,0.9432452097986903
1983,22126,1365,0.9418926397343663
1984,21984,1345,0.9423464357666423
1985,20654,1691,0.9243231147907809
1986,20262,1433,0.9339479142659599
1987,20894,1370,0.9384656845131153
1988,21447,1214,0.9464277834164423
1989,22554,1797,0.9262042626586177
1990,56358,4030,0.9332648870636551
1991,101690,7853,0.9283112567667491
1992,112185,9540,0.9216266173752311
1993,121622,9021,0.9309492280489579
1994,104397,7277,0.9348371151745258
1995,94422,3402,0.9652232580961727
1996,88975,4137,0.9555696365667153
1997,94454,5079,0.9489716978288608
1998,91045,4376,0.9541400739879062
1999,98443,7469,0.9294791902711685
2000,105409,8004,0.9294260799026567
2001,108932,5420,0.9526024905554779
2002,104041,6820,0.93848152190581
2003,96976,5331,0.9478921285933514
2004,80466,2197,0.9734222082431075
2005,82329,2319,0.9726041962007371
2006,74731,1862,0.9756896844359145
2007,92232,1674,0.9821736630247269
2008,99142,1405,0.9860264353983709
2009,86246,1345,0.9846445411058213
2010,74587,1640,0.9784853136027917
2011,73071,2512,0.9667650132966408
2012,79252,2328,0.9714635940181418
2013,86261,2684,0.9698240485693406
2014,82449,1784,0.9788206522384338
2015,88900,2062,0.9773311932455311
2016,84448,2104,0.9756909141325446
2017,82767,2130,0.974910774232305
2018,65688,1847,0.9726512178870216
2019,71234,965,0.9866341639080873
2020,71111,1267,0.9824946807040813
2021,95784,2142,0.9781263402977759
2022,542,37,0.9360967184801382
