pattern,txt,replacement,elem_id,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,i-65a0e6eb56f9111e,prot-201516--45
fcfff492e00727b6,Stockholm,Helsingfors,i-ca983b5185068890,prot-201516--45
fcfff492e00727b6,Stockholm,Helsingfors,i-c43ab8213357a7b2,prot-201516--45
fcfff492e00727b6,Stockholm,Helsingfors,i-c6b7d078fa33802d,prot-201516--45
fcfff492e00727b6,Stockholm,Helsingfors,i-594d58bce5860ddf,prot-201516--45
fcfff492e00727b6,Stockholm,Helsingfors,i-6245f4c747650bd5,prot-201516--45
fcfff492e00727b6,Stockholm,Helsingfors,i-dbd8b0f92d84108d,prot-201516--45
fcfff492e00727b6,Stockholm,Helsingfors,i-e9c61d27eb3a038d,prot-201516--45
fcfff492e00727b6,Stockholm,Helsingfors,i-700af3752d950047,prot-201516--45
fcfff492e00727b6,Stockholm,Helsingfors,i-448b3a4afaa8109c,prot-201516--45
fcfff492e00727b6,Stockholm,Helsingfors,i-7ef34791adb6110c,prot-201516--45
fcfff492e00727b6,Stockholm,Helsingfors,i-68f749af07158dfa,prot-201516--45
