Titel,Namn,Namn,Tillträdde,Avgick,Parti,Ref
Statsminister,,Nils Edén*,19 oktober 1917,10 mars 1920,Liberala samlingspartiet,[1]
Justitieminister,,Eliel Löfgren*,19 oktober 1917,10 mars 1920,Liberala samlingspartiet,[2]
Utrikesminister,,Johannes Hellner*,19 oktober 1917,10 mars 1920,Partilös,[3]
Krigsminister,,Erik Nilson*,19 oktober 1917,10 mars 1920,Liberala samlingspartiet,[4]
Sjöminister,,Erik Palmstierna*,19 oktober 1917,10 mars 1920,Socialdemokraterna,[4]
Finansminister,,Hjalmar Branting*,19 oktober 1917,5 januari 1918,Socialdemokraterna,[5]
Finansminister,,Fredrik Vilhelm Thorsson*,5 januari 1918,30 juni 1920[n 1],Socialdemokraterna,[5]
Ecklesiastikminister,,Värner Rydén*,19 oktober 1917,28 november 1919,Socialdemokraterna,[6]
Ecklesiastikminister,,Olof Olsson*,28 november 1919,27 oktober 1920[n 1],Socialdemokraterna,[6]
Jordbruksminister,,Alfred Petersson*,19 oktober 1917,10 mars 1920,Liberala samlingspartiet
Civilminister,,Axel Schotte*,19 oktober 1917,28 november 1919,Liberala samlingspartiet
Civilminister,,Fredrik Holmquist*,28 november 1919,10 mars 1920,Liberala samlingspartiet
Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd
Konsultativa statsråd,,Bror Petrén,19 oktober 1917,10 mars 1920,Liberala samlingspartiet
Konsultativa statsråd,,Östen Undén,19 oktober 1917,10 mars 1920,Socialdemokraterna
