Ämbete,Minister,Minister,Tillträdde,Avgick,Parti
Statsminister,,Tage Erlander,1 oktober 1951,31 oktober 1957,Socialdemokraterna
Utrikesminister,,Östen Undén,1 oktober 1951,31 oktober 1957,Socialdemokraterna
Justitieminister,,Herman Zetterberg,1 oktober 1951,20 september 1957,Socialdemokraterna
Justitieminister,,Ingvar Lindell,20 september 1957,31 oktober 1957,Socialdemokraterna
Finansminister,,Per Edvin Sköld,1 oktober 1951,12 september 1955,Socialdemokraterna
Finansminister,,Gunnar Sträng,12 september 1955,31 oktober 1957,Socialdemokraterna
Försvarsminister,,Torsten Nilsson,1 oktober 1951,22 mars 1957,Socialdemokraterna
Försvarsminister,,Sven Andersson,22 mars 1957,31 oktober 1957,Socialdemokraterna
Socialminister,,Gunnar Sträng,1 oktober 1951,12 september 1955,Socialdemokraterna
Socialminister,,John Ericsson i Kinna,12 september 1955,22 mars 1957,Socialdemokraterna
Socialminister,,Torsten Nilsson,22 mars 1957,31 oktober 1957,Socialdemokraterna
Kommunikationsminister,,Sven Andersson,1 oktober 1951,22 mars 1957,Socialdemokraterna
Kommunikationsminister,,Sture Henriksson,22 mars 1957,22 april 1957,Socialdemokraterna
Kommunikationsminister,,Gösta Skoglund,26 april 1957,31 oktober 1957,Socialdemokraterna
Ecklesiastikminister,,Ivar Persson i Skabersjö,1 oktober 1951,31 oktober 1957,Bondeförbundet
Jordbruksminister,,Sam Norup,1 oktober 1951,1 februari 1957,Bondeförbundet
Jordbruksminister,,Bernhard Näsgård,1 februari 1957,8 juli 1957,Bondeförbundet
Jordbruksminister,,Nils G. Hansson,29 juli 1957,31 oktober 1957,Bondeförbundet
Handelsminister,,John Ericsson i Kinna,1 oktober 1951,12 september 1955,Socialdemokraterna
Handelsminister,,Gunnar Lange,12 september 1955,31 oktober 1957,Socialdemokraterna
Inrikesminister,,Gunnar Hedlund,1 oktober 1951,31 oktober 1957,Bondeförbundet
Civilminister,,John Lingman,1 oktober 1951,29 november 1954,Socialdemokraterna
Civilminister,,Gunnar Lange,29 november 1954,12 september 1955,Socialdemokraterna
Civilminister,,Sigurd Lindholm,12 september 1955,31 oktober 1957,Socialdemokraterna
Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd,Konsultativa statsråd
Juristkonsult,,Nils Quensel,1 oktober 1951,31 oktober 1951,Partilös
Juristkonsult,,Ingvar Lindell,1 november 1951,20 september 1957,Socialdemokraterna
Juristkonsult,,Ragnar Edenman,1 oktober 1957,31 oktober 1957,Socialdemokraterna
Juristkonsult,,Gunnar Danielson,1 oktober 1951,31 mars 1952,Partilös
Juristkonsult,,Allan Nordenstam,1 april 1952,1 februari 1957,Partilös
Juristkonsult,,Herman Kling,1 februari 1957,31 oktober 1957,Socialdemokraterna
Utrikeshandelsminister,,Dag Hammarskjöld,1 oktober 1951,8 april 1953,Partilös
Konsument- och biståndsminister,,Ulla Lindström,4 juni 1954,31 oktober 1957,Socialdemokraterna
Vägminister,,Hjalmar Nilson,1 oktober 1951,1 februari 1957,Bondeförbundet
Vägminister,,Lars Eliasson,1 februari 1957,31 oktober 1957,Bondeförbundet
