Riksdagsledamot,Yrke,Parti,Parti,Valkrets,Anmärkningar
Yngve Holmberg,direktör,,Moderata samlingspartiet,Stockholms kommun,
Gösta Bohman,direktör,,Moderata samlingspartiet,Stockholms kommun,
Astrid Kristensson,direktör,,Moderata samlingspartiet,Stockholms kommun,
Allan Hernelius,f.d. chefredaktör,,Moderata samlingspartiet,Stockholms kommun,
Bertil Lidgard,direktör,,Moderata samlingspartiet,Stockholms kommun,
Anders Wijkman,sekreterare,,Moderata samlingspartiet,Stockholms kommun,
Bengt Sjönell,direktör,,Centerpartiet,Stockholms kommun,
Olof Johansson,förbundsordförande,,Centerpartiet,Stockholms kommun,
Karin Andersson,socionom,,Centerpartiet,Stockholms kommun,
Paul Grabö,direktör,,Centerpartiet,Stockholms kommun,
Gunnar Helén,landshövding,,Folkpartiet,Stockholms kommun,
Kerstin Anér,radioproducent,,Folkpartiet,Stockholms kommun,
Olle Dahlén,pol. mag.,,Folkpartiet,Stockholms kommun,
Per Ahlmark,fil. kand.,,Folkpartiet,Stockholms kommun,
Ola Ullsten,socionom,,Folkpartiet,Stockholms kommun,
Jan-Erik Wikström,förlagschef,,Folkpartiet,Stockholms kommun,
Daniel Wiklund,avdelningsdirektör,,Folkpartiet,Stockholms kommun,
Olof Palme,statsminister,,Socialdemokraterna,Stockholms kommun,
Torsten Nilsson,utrikesminister,,Socialdemokraterna,Stockholms kommun,
Nancy Eriksson,fru,,Socialdemokraterna,Stockholms kommun,
Knut Johansson,förbundsombud,,Socialdemokraterna,Stockholms kommun,
Sten Andersson,partisekreterare,,Socialdemokraterna,Stockholms kommun,
Gertrud Sigurdsen,sekreterare,,Socialdemokraterna,Stockholms kommun,
Hans Hagnell,"fil. lic., pol mag.",,Socialdemokraterna,Stockholms kommun,
Lennart Geijer,statsråd,,Socialdemokraterna,Stockholms kommun,
Anita Gradin,departementssekreterare,,Socialdemokraterna,Stockholms kommun,
Oskar Lindkvist,ombudsman,,Socialdemokraterna,Stockholms kommun,
Yngve Persson,förbundsombud,,Socialdemokraterna,Stockholms kommun,
Inga Thorsson,ambassadör,,Socialdemokraterna,Stockholms kommun,
Mats Hellström,sekreterare,,Socialdemokraterna,Stockholms kommun,
Bertil Zachrisson,chefredaktör,,Socialdemokraterna,Stockholms kommun,
Maj-Britt Theorin,sekreterare,,Socialdemokraterna,Stockholms kommun,
C-H Hermansson,partiordförande,,Vänsterpartiet kommunisterna,Stockholms kommun,
Sune Olsson,betongarbetare,,Vänsterpartiet kommunisterna,Stockholms kommun,
Karin Nordlander,föreståndare,,Vänsterpartiet kommunisterna,Stockholms kommun,
John Takman,överläkare,,Vänsterpartiet kommunisterna,Stockholms kommun,
Staffan Burenstam Linder,docent,,Moderata samlingspartiet,Stockholms län,
Britt Mogård,ämneslärare,,Moderata samlingspartiet,Stockholms län,
Allan Åkerlind,byggnadsarbetare,,Moderata samlingspartiet,Stockholms län,
Alf Wennerfors,utbildningschef,,Moderata samlingspartiet,Stockholms län,
Erik Grebäck,agronom,,Centerpartiet,Stockholms län,
Per Olof Sundman,författare,,Centerpartiet,Stockholms län,
Elvy Olsson,fru,,Centerpartiet,Stockholms län,
Karin Söder,folkskollärare,,Centerpartiet,Stockholms län,
Cecilia Nettelbrandt,förbundsjurist,,Folkpartiet,Stockholms län,
Ingemar Mundebo,avdelningsdirektör,,Folkpartiet,Stockholms län,
Gabriel Romanus,redaktör,,Folkpartiet,Stockholms län,
Karl-Erik Strömberg,skoldirektör,,Folkpartiet,Stockholms län,
Sören Norrby,ingenjör,,Folkpartiet,Stockholms län,
David Wirmark,partisekreterare,,Folkpartiet,Stockholms län,
Arne Geijer,LO:s ordförande,,Socialdemokraterna,Stockholms län,
Krister Wickman,statsråd,,Socialdemokraterna,Stockholms län,
Essen Lindahl,direktör,,Socialdemokraterna,Stockholms län,
Anna-Lisa Lewén-Eliasson,fru,,Socialdemokraterna,Stockholms län,
Ingvar Carlsson,statsråd,,Socialdemokraterna,Stockholms län,
Sture Palm,redaktör,,Socialdemokraterna,Stockholms län,
Åke Wictorsson,planeringschef,,Socialdemokraterna,Stockholms län,
Lars Gustafsson,lektor,,Socialdemokraterna,Stockholms län,
Lennart Andersson,ombudsman,,Socialdemokraterna,Stockholms län,
Ivar Nordberg,ombudsman,,Socialdemokraterna,Stockholms län,
Lilly Bergander,kontorist,,Socialdemokraterna,Stockholms län,
