district,start,end,name,start_old,end_old,year
Stockholms stad,1954,1961,"Knut Ewerlöf, direktör, h",1956,1962,1959
Stockholms stad,1954,1961,"Ebon Andersson, bibliotekarie, h",1956,1962,1959
Stockholms stad,1954,1961,"John Bergvall, f.d. borgarråd, fp",1956,1962,1959
Stockholms stad,1954,1961,"Ingrid Gärde Widemar, fru, fp",1956,1962,1959
Stockholms stad,1954,1961,"Nils Aastrup, direktör, fp",1956,1962,1959
Stockholms stad,1954,1961,"Birger Lundström, partisekreterare, fp",1956,1962,1959
Stockholms stad,1954,1961,"David Ollén, redaktör, fp",1956,1962,1959
Stockholms stad,1954,1961,"Per-Olof Hansson, redaktör, fp",1956,1962,1959
Stockholms stad,1954,1961,"Axel Strand, f.d. ordf. i LO, s",1956,1962,1959
Stockholms stad,1954,1961,"Georg Branting, advokat, s",1956,1962,1959
Stockholms stad,1954,1961,"Valter Åman, direktör, s",1956,1962,1959
Stockholms stad,1954,1961,"Ulla Lindström, fru, s",1956,1962,1959
Stockholms stad,1954,1961,"Bertil Mogård, prost, s",1956,1962,1959
Stockholms stad,1954,1961,"Carl Albert Andersson, direktör, s",1956,1962,1959
Stockholms stad,1954,1961,"Knut Johansson, förbundsordförande, s",1956,1962,1959
Stockholms stad,1954,1961,"Bo Siegbahn, t.f. byråchef, s",1956,1962,1959
Stockholm och Uppsala län,1955,1962,"Emanuel Birke, grosshandlare, h",1956,1962,1959
Stockholm och Uppsala län,1955,1962,"Gunnar Lodenius, hemmansägare, c (till 1959)",1956,1962,1959
Stockholm och Uppsala län,1955,1962,"Ferdinand Nilsson, lantbrukare, c (från 1959)",1956,1962,1959
Stockholm och Uppsala län,1955,1962,"Martin Söderquist, aktuarie, fp",1956,1962,1959
Stockholm och Uppsala län,1955,1962,"Ruth Hamrin-Thorell, redaktör fp",1956,1962,1959
Stockholm och Uppsala län,1955,1962,"Erik Alexandersson, häradshövding, fp",1956,1962,1959
Stockholm och Uppsala län,1955,1962,"Annie Wallentheim, fru, s",1956,1962,1959
Stockholm och Uppsala län,1955,1962,"Einar Eriksson, direktör, s",1956,1962,1959
Stockholm och Uppsala län,1955,1962,"Erik Jansson, ombudsman, s",1956,1962,1959
Stockholm och Uppsala län,1955,1962,"Arne Geijer, LO:s ordförande, s",1956,1962,1959
Stockholm och Uppsala län,1955,1962,"Edvin Thun, tjänsteman, s",1956,1962,1959
Stockholm och Uppsala län,1955,1962,"Gunnar Andersson i Gustavsberg, föreståndare, s (avled 1959)",1956,1962,1959
Södermanlands och Västmanlands län,1956,1963,"Georg Carlsson, hemmansägare, c",1956,1962,1959
Södermanlands och Västmanlands län,1956,1963,"Hugo Osvald, professor, fp",1956,1962,1959
Södermanlands och Västmanlands län,1956,1963,"Johan Persson, hemmansägare, fp",1956,1962,1959
Södermanlands och Västmanlands län,1956,1963,"Gustav Fahlander, f.d. folkskoleinspektör, s",1956,1962,1959
Södermanlands och Västmanlands län,1956,1963,"Bertil Andersson, lantarbetare, s",1956,1962,1959
Södermanlands och Västmanlands län,1956,1963,"Sven Andersson, f.d. partisekreterare, s",1956,1962,1959
Södermanlands och Västmanlands län,1956,1963,"Sten Söderberg, ombudsman, s",1956,1962,1959
Södermanlands och Västmanlands län,1956,1963,"Nils Ståhle, bankkamrer, s",1956,1962,1959
Södermanlands och Västmanlands län,1956,1963,"Bengt Gustavsson, ombudsman, s",1956,1962,1959
Östergötlands län,1957,1963,"Carl Eskilsson, lantbrukare, h",1956,1962,1959
Östergötlands län,1957,1963,"Ivar Johansson, hemmansägare, c",1956,1962,1959
Östergötlands län,1957,1963,"Johan Sunne, folkskollärare, fp",1956,1962,1959
Östergötlands län,1957,1963,"Bengt Elmgren, överlärare, s",1956,1962,1959
Östergötlands län,1957,1963,"Nils Strandler, f.d. folkskollärare, s",1956,1962,1959
Östergötlands län,1957,1963,"Lars Larsson i Lotorp, typograf, s",1956,1962,1959
Östergötlands län,1957,1963,"Erik Wärnberg, trävaruhandlare, s",1956,1962,1959
Jönköpings län,1958,1965,"Gunnar Svärd, partisekreterare, h",1956,1962,1959
Jönköpings län,1958,1965,"Torsten Bengtsson, redaktör, c",1956,1962,1959
Jönköpings län,1958,1965,"Rudolf Boman, lantbrukare, fp",1956,1962,1959
Jönköpings län,1958,1965,"Göran Karlsson, redaktör, s",1956,1962,1959
Jönköpings län,1958,1965,"Tage Johansson, assistent, s",1956,1962,1959
Jönköpings län,1958,1965,"Olof Palme, kanslisekreterare, s",1956,1962,1959
Kronobergs och Hallands län,1959,1966,"Ebbe Ohlsson, lantbrukare, h",1956,1962,1959
Kronobergs och Hallands län,1959,1966,"Gärda Svensson, fru, bf",1956,1962,1959
Kronobergs och Hallands län,1959,1966,"Torsten Mattsson, sågverksägare, c",1956,1962,1959
Kronobergs och Hallands län,1959,1966,"Nils Nestrup, adjunkt, fp",1956,1962,1959
Kronobergs och Hallands län,1959,1966,"Rune Johansson, bagare, s",1956,1962,1959
Kronobergs och Hallands län,1959,1966,"Eric Mossberger, ombudsman, s",1956,1962,1959
Kronobergs och Hallands län,1959,1966,"Ragnar Persson, f.d. läderarbetare, s",1956,1962,1959
Kalmar och Gotlands län,1952,1959,"Axel Mannerskantz, godsägare, h",1956,1962,1959
Kalmar och Gotlands län,1952,1959,"Nils Theodor Larsson, lantbrukare, c",1956,1962,1959
Kalmar och Gotlands län,1952,1959,"Nils Franzén, lantbrukare, c",1956,1962,1959
Kalmar och Gotlands län,1952,1959,"Georg Pettersson, skyddsassistent, s",1956,1962,1959
Kalmar och Gotlands län,1952,1959,"Arvid Hellebladh, kommunalkamrer, s",1956,1962,1959
Kalmar och Gotlands län,1952,1959,"Bertil Petersson, ombudsman, s",1956,1962,1959
Blekinge och Kristianstads län,1956,1963,"Yngve Nilsson, lantbrukare, h",1956,1962,1959
Blekinge och Kristianstads län,1956,1963,"Gustaf Elofsson, lantbrukare, c",1956,1962,1959
Blekinge och Kristianstads län,1956,1963,"Tor Wolgast, folkhögskollärare, c",1956,1962,1959
Blekinge och Kristianstads län,1956,1963,"Nils Hansson i Ronneby, länsjägmästare, fp",1956,1962,1959
Blekinge och Kristianstads län,1956,1963,"Sten Åkesson, lantbrukare, fp",1956,1962,1959
Blekinge och Kristianstads län,1956,1963,"Nils Elowsson, redaktör, s",1956,1962,1959
Blekinge och Kristianstads län,1956,1963,"Rikard Svensson, byggnadssnickare, s",1956,1962,1959
Blekinge och Kristianstads län,1956,1963,"Svante Kristiansson, fotograf, s",1956,1962,1959
Blekinge och Kristianstads län,1956,1963,"Gunnar Berg, chefredaktör, s",1956,1962,1959
Malmöhus län,1956,1963,"Erik Hagberg, direktör, h",1956,1962,1959
Malmöhus län,1956,1963,"John-Arvid Arvidson, lantbrukare, h",1956,1962,1959
Malmöhus län,1956,1963,"Ivar Persson, afronom, c",1956,1962,1959
Malmöhus län,1956,1963,"Sigfrid Larsson i Svalöv, rektor, c",1956,1962,1959
Malmöhus län,1956,1963,"Gunnar Edström, överlärare, fp",1956,1962,1959
Malmöhus län,1956,1963,"Rudolf Anderberg, f.d. stationsmästare, s",1956,1962,1959
Malmöhus län,1956,1963,"Eric Holmqvist, sekreterare, s",1956,1962,1959
Malmöhus län,1956,1963,"Emil Ahlkvist, cementgjutare, s",1956,1962,1959
Malmöhus län,1956,1963,"Axel E. Svensson, ombudsman, s",1956,1962,1959
Malmöhus län,1956,1963,"Gunnar Lange, kansliråd, s",1956,1962,1959
Malmöhus län,1956,1963,"Ingeborg Carlqvist, fru, s",1956,1962,1959
Malmöhus län,1956,1963,"Alvar Mårtensson, telearbetare, s",1956,1962,1959
Göteborg,1959,1966,"Henry Hansson, civilingenjör, h",1956,1962,1959
Göteborg,1959,1966,"Carl Schmidt, civilingenjör, fp",1956,1962,1959
Göteborg,1959,1966,"Ingrid Segerstedt-Wiberg, fru, s",1956,1962,1959
Göteborg,1959,1966,"Erik Boheman, f.d. ambassadör, s",1956,1962,1959
Göteborg,1959,1966,"Per Bergman, ombudsman, s",1956,1962,1959
Göteborg,1959,1966,"Sven Aspling, partisekreterare, s",1956,1962,1959
Göteborg,1959,1966,"Lisa Mattsson, journalist, s",1956,1962,1959
Göteborg,1959,1966,"Gunnar Öhman, redaktör, k",1956,1962,1959
Bohuslän,1958,1965,"Per-Eric Ringaby, lantbrukare, h",1956,1962,1959
Bohuslän,1958,1965,"Herbert Hermansson, bf",1956,1962,1959
Bohuslän,1958,1965,"Gunnar Spetz, lantbrukare, fp",1956,1962,1959
Bohuslän,1958,1965,"Einar Dahl, överlärare, s",1956,1962,1959
Bohuslän,1958,1965,"Nils Magnusson, lantbrukare, s",1956,1962,1959
Älvsborgs län,1954,1961,"Ragnar Sveningsson, lantbrukare, h",1956,1962,1959
Älvsborgs län,1954,1961,"Torsten Andersson, redaktör, c",1956,1962,1959
Älvsborgs län,1954,1961,"Robert Johansson, lantbrukare, c",1956,1962,1959
Älvsborgs län,1954,1961,"Anders Johansson, lantbrukare, fp",1956,1962,1959
Älvsborgs län,1954,1961,"Johan Kronstrand, f.d. fabrikör, fp",1956,1962,1959
Älvsborgs län,1954,1961,"Gunnar Sträng, f.d. förbundsordförande, s",1956,1962,1959
Älvsborgs län,1954,1961,"Knut Hesselbom, elverkschef, s",1956,1962,1959
Älvsborgs län,1954,1961,"Fritiof Boo, s",1956,1962,1959
Skaraborgs län,1952,1959,"Fritiof Domö, f.d. landshövding, h",1956,1962,1959
Skaraborgs län,1952,1959,"Nils Johansson, lantbrukare, c",1956,1962,1959
Skaraborgs län,1952,1959,"Josef Nord, lantbrukare, fp",1956,1962,1959
Skaraborgs län,1952,1959,"Birger Andersson, redaktör, s",1956,1962,1959
Skaraborgs län,1952,1959,"Justus Lindgren, småbrukare, s",1956,1962,1959
Värmlands län,1958,1965,"Rolf Kaijser, lasarettsläkare, h",1956,1962,1959
Värmlands län,1958,1965,"Bertil Jonasson, lantbrukare, c",1956,1962,1959
Värmlands län,1958,1965,"Eric Källqvist, rektor, fp",1956,1962,1959
Värmlands län,1958,1965,"Östen Undén, f.d. universitetskansler, s",1956,1962,1959
Värmlands län,1958,1965,"Dagmar Ranmark, fröken, s",1956,1962,1959
Värmlands län,1958,1965,"Oscar Carlsson, f.d. pappersarbetare, s",1956,1962,1959
Örebro län,1959,1966,"Gustaf Sundelin, fp",1956,1962,1959
Örebro län,1959,1966,"Gunnar Pettersson, jordbruksinstruktör, fp",1956,1962,1959
Örebro län,1959,1966,"Lars Lindahl, reparatör, s",1956,1962,1959
Örebro län,1959,1966,"Fridolf Wirmark, ombudsman, s",1956,1962,1959
Örebro län,1959,1966,"Åke Larsson, assistent, s",1956,1962,1959
Kopparbergs län,1952,1959,"Erik Carlsson, bonde, c",1956,1962,1959
Kopparbergs län,1952,1959,"Erik Lindblom, fp",1956,1962,1959
Kopparbergs län,1952,1959,"Einar Persson, s",1956,1962,1959
Kopparbergs län,1952,1959,"Karl Damström, järnbruksarbetare, s",1956,1962,1959
Kopparbergs län,1952,1959,"Gustaf Snygg, uppsyningsman, s",1956,1962,1959
Kopparbergs län,1952,1959,"Sven Aspling, partisekreterare, s",1956,1962,1959
Gävleborgs län,1953,1960,"Axel E. Andersson, hemmansägare, c",1956,1962,1959
Gävleborgs län,1953,1960,"Einar Danmans, fp",1956,1962,1959
Gävleborgs län,1953,1960,"Rickard Sandler, f.d. landshövding, s",1956,1962,1959
