id,type,tag,box,content
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_0-block_0",Text,1,"277,137,255,31","100 Yr 14\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_1-block_1",Text,1,"747,141,546,37","Onsdagen den 3 april 1963 cm.\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_2-block_2",Text,1,"276,223,914,41","Anslag till främjande av bostadsförsörjningen m. m.\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_3-block_3",Text,1,"269,274,737,462","Rörande punkten 2, fortsatte herr talmannen,\n hade yrkats 1:0) att utskottets\nhemställan skulle bifallas; 2:0), av herr\nJacobsson, Per, att det förslag skulle antagas,\n som innefattades i den av herr\nAxel Johannes Andersson m. fl. vid utlåtandet\n avgivna, med 2 a betecknade reservationen;\n samt 3:0), av herr Gustafsson,\n Nils-Eric, att kammaren skulle godkänna\n det förslag, som innehölles i reservationen\n 2 b av herr Sundin m. fl.\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_4-block_4",Text,1,"266,770,735,206","Sedermera gjorde herr talmannen propositioner\n enligt berörda yrkanden och\nförklarade sig finna propositionen på bifall\n till utskottets hemställan vara med\növervägande ja besvarad.\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_5-block_5",Text,1,"261,1006,738,495","Herr Gustafsson, Nils-Eric, begärde votering,\n i anledning varav herr talmannen\nupptog vartdera av de båda återstående\nyrkandena med hemställan, huruvida\nkammaren ville antaga detsamma till\nkontraproposition i den förestående omröstningen;\n och förklarade herr talmannen\n sig anse de härå avgivna svaren hava\nutfallit med övervägande ja för deras mening,\n som ville till kontraproposition antaga\n bifall till herr Per Jacobssons yrkande.\n\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_6-block_6",Text,1,"258,1540,735,249","Herr Gustafsson, Nils-Eric, äskade\nemellertid votering om kontrapropositionens\n innehåll, i anledning varav uppsattes\n samt efter given varsel upplästes\noch godkändes en omröstningsproposition\n av följande lydelse:\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_6-block_7",Text,1,"256,1801,735,288","Den, som till kontraproposition i huvudvoteringen\n angående statsutskottets\nutlåtande nr 42 punkten 2 antager godkännande\n av det förslag, som innefattas\ni den av herr Axel Johannes Andersson\nm, fl. vid utlåtandet avgivna, med 2 a\nbetecknade reservationen, röstar\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_6-block_8",Text,1,"593,2110,51,28","Ja;\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_6-block_9",Text,1,"294,2149,392,35","Den, det ej vill, röstar\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_6-block_10",Text,1,"583,2194,71,35","Nej;\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_6-block_11",Text,1,"251,2250,734,160","Vinner Nej, har till kontraproposition\ni nämnda votering antagits godkännande\nav det förslag, som innefattas i reservationen\n 2 b av herr Sundin m, fl,\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_7-block_12",Text,1,"253,2434,730,84","Sedan denna voteringsproposition ånyo\nupplästs, verkställdes till en början om-\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_9-block_14",Text,1,"1202,289,573,124","genom uppresning. Herr talförklarade,\n att enligt hans uppflertalet\n röstat för ja-proposi-\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_8-block_13",Text,1,"1042,282,147,158","röstning\nmannen\nfattning\ntionen.\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_10-block_15",Text,1,"1041,469,730,207","Då emellertid herr Gustafsson, NilsEric,\n begärde rösträkning, verkställdes\nnu votering medelst omröstningsapparat;\n och befunnos vid omröstningens slut\nrösterna hava utfallit sålunda:\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_10-block_16",Text,1,"1297,696,190,78","Ja — 28;\nNej — 22.\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_11-block_17",Text,1,"1039,793,729,79","Därjämte hade 90 ledamöter tillkännagivit,\n att de avstode från att rösta.\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_12-block_18",Text,1,"1038,895,729,127","I följd därav uppsattes, upplästes och\ngodkändes för huvudvoteringen en så\nlydande omröstningsproposition:\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_12-block_19",Text,1,"1036,1030,730,120","Den, som bifaller vad statsutskottet\nhemställt i sitt utlåtande nr 42 punkten\n2, röstar\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_12-block_20",Text,1,"1373,1163,50,33","Ja;\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_12-block_21",Text,1,"1075,1200,413,38","Den, det ej vill, röstar\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_12-block_22",Text,1,"1362,1247,71,35","Nej;\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_12-block_23",Text,1,"1032,1302,731,162","Vinner Nej, antages det förslag, som\ninnefattas i den av herr Axel Johannes\nAndersson m. fl. vid utlåtandet avgivna,\nmed 2 a betecknade reservationen.\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_13-block_24",Text,1,"1030,1488,732,239","Sedan denna voteringsproposition ånyo\nupplästs, verkställdes till en början omröstning\n genom uppresning. Herr talmannen\n förklarade, att enligt hans uppfattning\n flertalet röstat för ja-propositionen.\n\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_14-block_25",Text,1,"1029,1767,730,202","Då emellertid herr Jacobsson, Per, begärde\n rösträkning, verkställdes nu votering\n medelst omröstningsapparat; och\nbefunnos vid omröstningens slut rösterna\n hava utfallit sålunda:\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_14-block_26",Text,1,"1283,1991,192,77","Ja — 94;\nNej — 37.\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_15-block_27",Text,1,"1027,2089,729,77","Därjämte hade 9 ledamöter tillkännagivit,\n att de avstode från att rösta.\n"
"https://betalab.kb.se/prot-1963--fk--14#1-100-cblock_16-block_28",Text,1,"1023,2190,733,332","Härefter gjorde herr talmannen i enlighet\n med de angående punkten 3 framkomna\n yrkandena propositioner, först på\nbifall till utskottets hemställan med godkännande\n av vad utskottet anfört samt\nvidare på bifall till utskottets hemställan\n med den ändring i vad utskottet anfört,\n som innefattades i den av fröken\n"
