id,type,tag,box,content
"https://betalab.kb.se/prot-198889--104#1-89-cblock_2-block_2",Text,1,"76,143,160,29","26 april 1989\n"
"https://betalab.kb.se/prot-198889--104#1-89-cblock_1-block_1",Text,1,"77,106,410,26","Prot. 1988/89:104 11$ Föredrogs\n"
"https://betalab.kb.se/prot-198889--104#1-89-cblock_3-block_3",Text,1,"75,196,220,24","Anslag till skolväsen-\n"
"https://betalab.kb.se/prot-198889--104#1-89-cblock_4-block_4",Text,1,"75,230,98,21","det, m.m.\n"
"https://betalab.kb.se/prot-198889--104#1-89-cblock_6-block_6",Text,1,"325,139,373,25","utbildningsutskottets betänkanden\n"
"https://betalab.kb.se/prot-198889--104#1-89-cblock_6-block_7",Text,1,"327,171,809,60","1988/89:UbU11 Anslag till centrala och regionala myndigheter m.m. på\nskolområdet (prop. 1988/89:100 delvis),\n"
"https://betalab.kb.se/prot-198889--104#1-89-cblock_6-block_8",Text,1,"327,239,808,59","1988/89:UbU12 Anslag till forskning och centralt utvecklingsarbete inom\nskolväsendet, m.m. (prop. 1988/89:100 delvis),\n"
"https://betalab.kb.se/prot-198889--104#1-89-cblock_6-block_9",Text,1,"327,307,808,54","1988/89:UbU14 Anslag till utlandsskolor, m.m. (prop. 1988/89:100 delvis)\nsamt\n"
"https://betalab.kb.se/prot-198889--104#1-89-cblock_6-block_10",Text,1,"327,374,807,59","1988/89:UbU16 Anslag till fristående skolor på gymnasial nivå, m.m. (prop.\n1988/89:100 delvis).\n"
"https://betalab.kb.se/prot-198889--104#1-89-cblock_7-block_11",Text,1,"327,476,809,57","Tredje vice talmannen meddelade att utbildningsutskottets betänkanden\n11, 12, 14 och 16 skulle debatteras i ett sammanhang.\n"
"https://betalab.kb.se/prot-198889--104#1-89-cblock_8-block_12",Text,1,"325,579,325,23","Anslag till skolväsendet, m.m.\n"
"https://betalab.kb.se/prot-198889--104#1-89-cblock_5-block_5",Text,1,"76,1696,23,19","88\n"
