titel,name,party,start,end,chamber,id,loc,start_manual,end_manual
1_vice_talman,Herman Lamm,lib,1921-01-08,1928-01-01,Första kammaren,herman_lamm_1_vice_talman,,False,False
2_vice_talman,August Nilsson,s,1921-01-08,1928-01-01,Första kammaren,august_nilsson_2_vice_talman,i Kabbarp,False,False
1_vice_talman,August Nilsson,s,1929-01-01,1931-01-01,Första kammaren,august_nilsson_1_vice_talman,i Kabbarp,False,False
2_vice_talman,Petrus Nilsson,c,1929-01-01,1931-01-01,Första kammaren,petrus_nilsson_2_vice_talman,i Gränebo,False,False
1_vice_talman,Olof Olsson i Göteborg,s,1931-01-02,1939-01-03,Första kammaren,olof_olsson_1_vice_talman,i Göteborg,False,False
2_vice_talman,Petrus Nilsson i Gränebo,c,1931-01-02,1939-01-03,Första kammaren,petrus_nilsson_2_vice_talman,i Gränebo,False,False
1_vice_talman,Petrus Nilsson i Gränebo,c,1939-01-04,1950-01-03,Första kammaren,petrus_nilsson_1_vice_talman,i Gränebo,False,False
2_vice_talman,Harald Åkerberg,s,1939-01-04,1950-01-03,Första kammaren,harald_akerberg_2_vice_talman,,False,False
1_vice_talman,Petrus Nilsson i Gränebo,c,1950-01-04,1951-12-31,Första kammaren,petrus_nilsson_1_vice_talman,i Gränebo,False,False
2_vice_talman,Axel Strand,s,1950-01-04,1951-12-31,Första kammaren,axel_strand_2_vice_talman,,False,False
1_vice_talman,Axel Strand,s,1952-01-07,1952-01-06,Första kammaren,axel_strand_1_vice_talman,,False,False
2_vice_talman,Erik von Heland,c,1952-01-07,1952-01-06,Första kammaren,erik_von_heland_2_vice_talman,,False,False
1_vice_talman,Axel Strand,s,1953-01-01,1958-12-31,Första kammaren,axel_strand_1_vice_talman,,False,False
2_vice_talman,Gunnar Lodenius,c,1953-01-01,1958-12-31,Första kammaren,gunnar_lodenius_2_vice_talman,,False,False
1_vice_talman,Axel Strand,s,1959-01-07,1970-12-31,Första kammaren,axel_strand_1_vice_talman,,False,False
2_vice_talman,Ivar Johansson,c,1959-01-07,1970-12-31,Första kammaren,ivar_johansson_2_vice_talman,,False,False
1_vice_talman,Raoul Hamilton,l,1921-01-10,1923-01-09,Andra kammaren,raoul_hamilton_1_vice_talman,,False,False
2_vice_talman,Per Nilsson i Bonarp,m,1921-01-10,1923-01-09,Andra kammaren,per_nilsson_2_vice_talman,i Bonarp,False,False
1_vice_talman,Erik Nilson,lib,1923-01-10,1924-01-09,Andra kammaren,erik_nilson_1_vice_talman,,False,False
2_vice_talman,Per Nilsson i Bonarp,m,1923-01-10,1924-01-09,Andra kammaren,per_nilsson_2_vice_talman,i Bonarp,False,False
1_vice_talman,Raoul Hamilton,l,1925-01-01,1931-01-09,Andra kammaren,raoul_hamilton_1_vice_talman,,False,False
2_vice_talman,Per Nilsson i Bonarp,m,1925-01-01,1931-01-09,Andra kammaren,per_nilsson_2_vice_talman,i Bonarp,False,False
1_vice_talman,Per Nilsson i Bonarp,m,1931-01-10,1932-12-31,Andra kammaren,per_nilsson_1_vice_talman,i Bonarp,False,False
2_vice_talman,Sven Bengtsson i Norup,l,1931-01-10,1932-12-31,Andra kammaren,sven_bengtsson_2_vice_talman,i Norup,False,False
1_vice_talman,Sven Bengtsson i Norup,l,1933-01-01,1934-12-31,Andra kammaren,sven_bengtsson_1_vice_talman,i Norup,False,False
2_vice_talman,Otto Magnusson,m,1933-01-01,1934-12-31,Andra kammaren,otto_magnusson_2_vice_talman,,False,False
1_vice_talman,Otto Magnusson,m,1935-01-01,1936-12-31,Andra kammaren,otto_magnusson_1_vice_talman,,False,False
2_vice_talman,Ola Jeppsson,l,1935-01-01,1936-12-31,Andra kammaren,ola_jeppsson_2_vice_talman,,False,False
1_vice_talman,Ola Jeppsson,l,1937-01-01,1940-01-01,Andra kammaren,ola_jeppsson_1_vice_talman,,False,False
2_vice_talman,Karl Magnusson i Skövde,m,1937-01-01,1940-01-01,Andra kammaren,karl_magnusson_2_vice_talman,i Skövde,False,False
1_vice_talman,Karl Magnusson i Skövde,m,1940-01-02,1943-01-10,Andra kammaren,karl_magnusson_1_vice_talman,i Skövde,False,False
2_vice_talman,Ivar Österström,l,1940-01-02,1943-01-10,Andra kammaren,ivar_osterstrom_2_vice_talman,,False,False
1_vice_talman,Karl Magnusson i Skövde,m,1943-01-11,1948-12-31,Andra kammaren,karl_magnusson_1_vice_talman,i Skövde,False,False
2_vice_talman,Oscar Carlström,l,1943-01-11,1948-12-31,Andra kammaren,oscar_carlstrom_2_vice_talman,,False,False
1_vice_talman,Oscar Carlström,l,1949-01-10,1949-01-09,Andra kammaren,oscar_carlstrom_1_vice_talman,,False,False
2_vice_talman,Martin Skoglund,m,1949-01-10,1949-01-09,Andra kammaren,martin_skoglund_2_vice_talman,,False,False
1_vice_talman,Martin Skoglund,m,1949-01-10,1956-01-09,Andra kammaren,martin_skoglund_1_vice_talman,,False,False
2_vice_talman,Anders Olsson,l,1949-01-10,1956-01-09,Andra kammaren,anders_olsson_2_vice_talman,,False,False
1_vice_talman,Martin Skoglund,m,1957-01-01,1960-12-31,Andra kammaren,martin_skoglund_1_vice_talman,,False,False
2_vice_talman,Oscar Malmborg,l,1957-01-01,1960-12-31,Andra kammaren,oscar_malmborg_2_vice_talman,,False,False
1_vice_talman,Oscar Malmborg,l,1961-01-01,1964-12-31,Andra kammaren,oscar_malmborg_1_vice_talman,,False,False
2_vice_talman,Torgil von Seth,m,1961-01-01,1964-12-31,Andra kammaren,torgil_von_seth_2_vice_talman,,False,False
1_vice_talman,Bertil von Friesen,l,1965-01-01,1970-12-31,Andra kammaren,bertil_von_friesen_1_vice_talman,,False,False
2_vice_talman,Leif Cassel,m,1965-01-01,1970-12-31,Andra kammaren,leif_cassel_2_vice_talman,,False,False
1_vice_talman,Torsten Bengtson,c,1971-01-01,1973-12-31,Enkammarriksdagen,torsten_bengtson_1_vice_talman,,False,False
2_vice_talman,Cecilia Nettelbrandt,l,1971-01-01,1973-12-31,Enkammarriksdagen,cecilia_nettelbrandt_2_vice_talman,,False,False
3_vice_talman,Ivar Virgin,m,1971-01-01,1973-12-31,Enkammarriksdagen,ivar_virgin_3_vice_talman,,False,False
1_vice_talman,Torsten Bengtson,c,1974-01-01,1976-10-03,Enkammarriksdagen,torsten_bengtson_1_vice_talman,,False,False
2_vice_talman,Ivar Virgin,m,1974-01-01,1976-10-03,Enkammarriksdagen,ivar_virgin_2_vice_talman,,False,False
3_vice_talman,Cecilia Nettelbrandt,l,1974-01-01,1976-10-03,Enkammarriksdagen,cecilia_nettelbrandt_3_vice_talman,,False,False
1_vice_talman,Torsten Bengtson,c,1976-10-04,1979-09-30,Enkammarriksdagen,torsten_bengtson_1_vice_talman,,False,False
2_vice_talman,Tage Magnusson,m,1976-10-04,1979-09-30,Enkammarriksdagen,tage_magnusson_2_vice_talman,,False,False
3_vice_talman,Karl Erik Eriksson,l,1976-10-04,1979-09-30,Enkammarriksdagen,karl_erik_eriksson_3_vice_talman,,False,False
