,protocol_id,year,pages,number
0,prot-199091--1,1990,1.0,1
1,prot-199091--10,1990,1.0,10
2,prot-199091--100,1990,1.0,100
3,prot-199091--101,1990,1.0,101
4,prot-199091--102,1990,1.0,102
5,prot-199091--103,1990,1.0,103
6,prot-199091--104,1990,1.0,104
7,prot-199091--105,1990,1.0,105
8,prot-199091--106,1990,1.0,106
9,prot-199091--107,1990,1.0,107
10,prot-199091--108,1990,1.0,108
11,prot-199091--109,1990,1.0,109
12,prot-199091--11,1990,1.0,11
13,prot-199091--110,1990,1.0,110
14,prot-199091--111,1990,1.0,111
15,prot-199091--112,1990,1.0,112
16,prot-199091--113,1990,1.0,113
17,prot-199091--114,1990,1.0,114
18,prot-199091--115,1990,1.0,115
19,prot-199091--116,1990,1.0,116
20,prot-199091--117,1990,1.0,117
21,prot-199091--118,1990,1.0,118
22,prot-199091--119,1990,1.0,119
23,prot-199091--12,1990,1.0,12
24,prot-199091--120,1990,1.0,120
25,prot-199091--121,1990,1.0,121
26,prot-199091--122,1990,1.0,122
27,prot-199091--123,1990,1.0,123
28,prot-199091--124,1990,1.0,124
29,prot-199091--125,1990,1.0,125
30,prot-199091--126,1990,1.0,126
31,prot-199091--127,1990,1.0,127
32,prot-199091--128,1990,1.0,128
33,prot-199091--129,1990,1.0,129
34,prot-199091--13,1990,1.0,13
35,prot-199091--130,1990,1.0,130
36,prot-199091--131,1990,1.0,131
37,prot-199091--132,1990,1.0,132
38,prot-199091--14,1990,1.0,14
39,prot-199091--15,1990,1.0,15
40,prot-199091--16,1990,1.0,16
41,prot-199091--17,1990,1.0,17
42,prot-199091--18,1990,1.0,18
43,prot-199091--19,1990,1.0,19
44,prot-199091--2,1990,1.0,2
45,prot-199091--20,1990,1.0,20
46,prot-199091--21,1990,1.0,21
47,prot-199091--23,1990,1.0,23
48,prot-199091--24,1990,1.0,24
49,prot-199091--25,1990,1.0,25
50,prot-199091--26,1990,1.0,26
51,prot-199091--27,1990,1.0,27
52,prot-199091--28,1990,1.0,28
53,prot-199091--29,1990,1.0,29
54,prot-199091--3,1990,1.0,3
55,prot-199091--30,1990,1.0,30
56,prot-199091--31,1990,1.0,31
57,prot-199091--32,1990,1.0,32
58,prot-199091--33,1990,1.0,33
59,prot-199091--34,1990,1.0,34
60,prot-199091--35,1990,1.0,35
61,prot-199091--36,1990,1.0,36
62,prot-199091--37,1990,1.0,37
63,prot-199091--38,1990,1.0,38
64,prot-199091--39,1990,1.0,39
65,prot-199091--4,1990,1.0,4
66,prot-199091--40,1990,1.0,40
67,prot-199091--41,1990,1.0,41
68,prot-199091--42,1990,1.0,42
69,prot-199091--43,1990,1.0,43
70,prot-199091--44,1990,1.0,44
71,prot-199091--45,1990,1.0,45
72,prot-199091--46,1990,1.0,46
73,prot-199091--47,1990,1.0,47
74,prot-199091--48,1990,1.0,48
75,prot-199091--49,1990,1.0,49
76,prot-199091--5,1990,1.0,5
77,prot-199091--50,1990,1.0,50
78,prot-199091--51,1990,1.0,51
79,prot-199091--52,1990,1.0,52
80,prot-199091--53,1990,1.0,53
81,prot-199091--54,1990,1.0,54
82,prot-199091--55,1990,1.0,55
83,prot-199091--56,1990,1.0,56
84,prot-199091--57,1990,1.0,57
85,prot-199091--58,1990,1.0,58
86,prot-199091--59,1990,1.0,59
87,prot-199091--6,1990,1.0,6
88,prot-199091--60,1990,1.0,60
89,prot-199091--61,1990,1.0,61
90,prot-199091--62,1990,1.0,62
91,prot-199091--63,1990,1.0,63
92,prot-199091--64,1990,1.0,64
93,prot-199091--65,1990,1.0,65
94,prot-199091--66,1990,1.0,66
95,prot-199091--67,1990,1.0,67
96,prot-199091--68,1990,1.0,68
97,prot-199091--69,1990,1.0,69
98,prot-199091--7,1990,1.0,7
99,prot-199091--70,1990,1.0,70
100,prot-199091--71,1990,1.0,71
101,prot-199091--72,1990,1.0,72
102,prot-199091--73,1990,1.0,73
103,prot-199091--74,1990,1.0,74
104,prot-199091--75,1990,1.0,75
105,prot-199091--76,1990,1.0,76
106,prot-199091--77,1990,1.0,77
107,prot-199091--78,1990,1.0,78
108,prot-199091--79,1990,1.0,79
109,prot-199091--8,1990,1.0,8
110,prot-199091--80,1990,1.0,80
111,prot-199091--81,1990,1.0,81
112,prot-199091--82,1990,1.0,82
113,prot-199091--83,1990,1.0,83
114,prot-199091--84,1990,1.0,84
115,prot-199091--85,1990,1.0,85
116,prot-199091--86,1990,1.0,86
117,prot-199091--87,1990,1.0,87
118,prot-199091--89,1990,1.0,89
119,prot-199091--9,1990,1.0,9
120,prot-199091--90,1990,1.0,90
121,prot-199091--91,1990,1.0,91
122,prot-199091--92,1990,1.0,92
123,prot-199091--93,1990,1.0,93
124,prot-199091--95,1990,1.0,95
125,prot-199091--96,1990,1.0,96
126,prot-199091--97,1990,1.0,97
127,prot-199091--98,1990,1.0,98
128,prot-199091--99,1990,1.0,99
129,prot-199192--10,1991,1.0,10
130,prot-199192--100,1991,1.0,100
131,prot-199192--101,1991,1.0,101
132,prot-199192--102,1991,1.0,102
133,prot-199192--103,1991,1.0,103
134,prot-199192--104,1991,1.0,104
135,prot-199192--105,1991,1.0,105
136,prot-199192--106,1991,1.0,106
137,prot-199192--107,1991,1.0,107
138,prot-199192--108,1991,1.0,108
139,prot-199192--109,1991,1.0,109
140,prot-199192--11,1991,1.0,11
141,prot-199192--110,1991,1.0,110
142,prot-199192--111,1991,1.0,111
143,prot-199192--112,1991,1.0,112
144,prot-199192--113,1991,1.0,113
145,prot-199192--114,1991,1.0,114
146,prot-199192--115,1991,1.0,115
147,prot-199192--116,1991,1.0,116
148,prot-199192--117,1991,1.0,117
149,prot-199192--118,1991,1.0,118
150,prot-199192--119,1991,1.0,119
151,prot-199192--12,1991,1.0,12
152,prot-199192--120,1991,1.0,120
153,prot-199192--121,1991,1.0,121
154,prot-199192--122,1991,1.0,122
155,prot-199192--123,1991,1.0,123
156,prot-199192--124,1991,1.0,124
157,prot-199192--125,1991,1.0,125
158,prot-199192--126,1991,1.0,126
159,prot-199192--127,1991,1.0,127
160,prot-199192--128,1991,1.0,128
161,prot-199192--129,1991,1.0,129
162,prot-199192--13,1991,1.0,13
163,prot-199192--130,1991,1.0,130
164,prot-199192--14,1991,1.0,14
165,prot-199192--15,1991,1.0,15
166,prot-199192--16,1991,1.0,16
167,prot-199192--17,1991,1.0,17
168,prot-199192--18,1991,1.0,18
169,prot-199192--19,1991,1.0,19
170,prot-199192--20,1991,1.0,20
171,prot-199192--21,1991,1.0,21
172,prot-199192--22,1991,1.0,22
173,prot-199192--23,1991,1.0,23
174,prot-199192--24,1991,1.0,24
175,prot-199192--25,1991,1.0,25
176,prot-199192--26,1991,1.0,26
177,prot-199192--27,1991,1.0,27
178,prot-199192--28,1991,1.0,28
179,prot-199192--29,1991,1.0,29
180,prot-199192--3,1991,1.0,3
181,prot-199192--30,1991,1.0,30
182,prot-199192--31,1991,1.0,31
183,prot-199192--32,1991,1.0,32
184,prot-199192--33,1991,1.0,33
185,prot-199192--34,1991,1.0,34
186,prot-199192--35,1991,1.0,35
187,prot-199192--36,1991,1.0,36
188,prot-199192--37,1991,1.0,37
189,prot-199192--38,1991,1.0,38
190,prot-199192--39,1991,1.0,39
191,prot-199192--4,1991,1.0,4
192,prot-199192--40,1991,1.0,40
193,prot-199192--41,1991,1.0,41
194,prot-199192--42,1991,1.0,42
195,prot-199192--43,1991,1.0,43
196,prot-199192--44,1991,1.0,44
197,prot-199192--45,1991,1.0,45
198,prot-199192--46,1991,1.0,46
199,prot-199192--47,1991,1.0,47
200,prot-199192--48,1991,1.0,48
201,prot-199192--49,1991,1.0,49
202,prot-199192--5,1991,1.0,5
203,prot-199192--50,1991,1.0,50
204,prot-199192--51,1991,1.0,51
205,prot-199192--52,1991,1.0,52
206,prot-199192--53,1991,1.0,53
207,prot-199192--54,1991,1.0,54
208,prot-199192--55,1991,1.0,55
209,prot-199192--56,1991,1.0,56
210,prot-199192--57,1991,1.0,57
211,prot-199192--58,1991,1.0,58
212,prot-199192--59,1991,1.0,59
213,prot-199192--6,1991,1.0,6
