protocol_id,x,elem_id,text,segmentation,seg_type,speaker,comments,facs,github,checked
prot-1867--ak--0304,58,i-Viu3bRxX1rsU2VSTxnfVbs,Den 4 Mars. 543,note,margin,,,https://betalab.kb.se/prot-1867--ak--0304/prot_1867__ak__0304-057.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1867/prot-1867--ak--0304.xml#L4595,True
prot-1867--ak--0304,58,i-TXcttUdGopLMZH3fgRLnFV,"Den, som bifall",note,inline,,,https://betalab.kb.se/prot-1867--ak--0304/prot_1867__ak__0304-057.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1867/prot-1867--ak--0304.xml#L4598,True
prot-1867--ak--0304,58,i-UQzzRARNAda1eHYnQ3P3gW,g 13.,note,head,,,https://betalab.kb.se/prot-1867--ak--0304/prot_1867__ak__0304-057.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1867/prot-1867--ak--0304.xml#L4615,True
prot-1867--ak--0304,58,i-Xxyaif6mXcMiZR4tWgAx6X,Föredrogs ånyo ,note,inline,,,https://betalab.kb.se/prot-1867--ak--0304/prot_1867__ak__0304-057.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1867/prot-1867--ak--0304.xml#L4618,True
prot-1867--ak--0304,58,i-8EjXjtsXP9W91gN7tY3xd6,Stats-Utskottet,note,inline,,,https://betalab.kb.se/prot-1867--ak--0304/prot_1867__ak__0304-057.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1867/prot-1867--ak--0304.xml#L4621,True
prot-1867--ak--0304,58,i-TFgx91nGbcQW7DmKXSNp6t,Konstitutions-U,note,inline,,,https://betalab.kb.se/prot-1867--ak--0304/prot_1867__ak__0304-057.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1867/prot-1867--ak--0304.xml#L4624,True
prot-1867--ak--0304,58,i-W3C6KQQFnLemLyoSksaSY5,Andra Kammarens,note,inline,,,https://betalab.kb.se/prot-1867--ak--0304/prot_1867__ak__0304-057.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1867/prot-1867--ak--0304.xml#L4627,True
prot-1867--ak--0304,58,i-MzdPknFoYQmKUSztQJxUfy,Andra Kammarens,note,inline,,,https://betalab.kb.se/prot-1867--ak--0304/prot_1867__ak__0304-057.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1867/prot-1867--ak--0304.xml#L4631,True
prot-1867--ak--0304,58,i-5W4bBGPJ7oXXJJbqNPgg1T,Andra Kammarens,note,inline,,,https://betalab.kb.se/prot-1867--ak--0304/prot_1867__ak__0304-057.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1867/prot-1867--ak--0304.xml#L4635,True
prot-1867--ak--0304,58,i-KXshrsnufwiFdGZZd3Vdyt,Sammanträdet sl,note,inline,,,https://betalab.kb.se/prot-1867--ak--0304/prot_1867__ak__0304-057.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1867/prot-1867--ak--0304.xml#L4638,True
prot-1867--ak--0304,58,i-Ti7JRNoQKR8RjEbS453PxL,H. Husberg.,note,inline,,,https://betalab.kb.se/prot-1867--ak--0304/prot_1867__ak__0304-057.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1867/prot-1867--ak--0304.xml#L4641,True
prot-1867--ak--0330,28,i-Kgxs59s5dyvfywzP3pZC2A,"Den 30 Mars, f.",note,margin,,,https://betalab.kb.se/prot-1867--ak--0330/prot_1867__ak__0330-027.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1867/prot-1867--ak--0330.xml#L2089,True
prot-1867--ak--0330,28,i-QMCPDVzK5m2GEsJpv13cZg,Bland motiverna,note,inline,,,https://betalab.kb.se/prot-1867--ak--0330/prot_1867__ak__0330-027.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1867/prot-1867--ak--0330.xml#L2093,True
prot-1867--ak--0330,28,i-KdmYL7WPCvWGpBDNda6vQm,På grund af hva,note,inline,,,https://betalab.kb.se/prot-1867--ak--0330/prot_1867__ak__0330-027.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1867/prot-1867--ak--0330.xml#L2111,True
prot-1867--ak--0330,28,i-Wesuvxarp9ciCBxdAW88mg,Herr Statsrådet,note,intro,,,https://betalab.kb.se/prot-1867--ak--0330/prot_1867__ak__0330-027.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1867/prot-1867--ak--0330.xml#L2119,True
prot-1867--ak--0330,28,i-Wq6jfWaSUccc1quMkvcPDZ,Jag anhåller at,u,,Q2944347,,https://betalab.kb.se/prot-1867--ak--0330/prot_1867__ak__0330-027.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1867/prot-1867--ak--0330.xml#L2122,True
prot-1867--ak--0330,28,i-GbBrZwpWD9HFJPNMXz5XJ8,I fråga om lämp,u,,Q2944347,,https://betalab.kb.se/prot-1867--ak--0330/prot_1867__ak__0330-027.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1867/prot-1867--ak--0330.xml#L2134,True
prot-1867--ak--0330,28,i-Dzh1aK4rFufUJhNHprhTPk,Jag anser mig b,u,,Q2944347,,https://betalab.kb.se/prot-1867--ak--0330/prot_1867__ak__0330-027.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1867/prot-1867--ak--0330.xml#L2149,True
prot-1869--ak--0313,11,i-XpGqUT14A6r2cBib6QSfj7,256 Den 13 Mars,note,margin,,,https://betalab.kb.se/prot-1869--ak--0313/prot_1869__ak__0313-010.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1869/prot-1869--ak--0313.xml#L805,True
prot-1869--ak--0313,11,i-7aDyRNAi54sfVKmtdhdtwk,fande af dessa ,u,,Q5982893,,https://betalab.kb.se/prot-1869--ak--0313/prot_1869__ak__0313-010.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1869/prot-1869--ak--0313.xml#L809,True
prot-1869--ak--0313,11,i-JiYWfPskad7CwJTjmBg3Gd,Öfverläggningen,note,inline,,,https://betalab.kb.se/prot-1869--ak--0313/prot_1869__ak__0313-010.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/curation-1870s/corpus/protocols/1869/prot-1869--ak--0313.xml#L819,True
