protocol_id,elem_id,pattern,segmentation,who,id
prot-1939--ak--30,i-f9d039b91e42110d,,metadata,,
prot-1939--ak--30,i-c0f09ece94e23131,,metadata,,
prot-1939--ak--30,i-df05ae6b01d3f433,,metadata,,
prot-1939--ak--30,i-d57bba425b3cad67,,note,,
prot-1939--ak--30,i-17c47f72c8694684,8f6bb79aaba3167f,speech_start,gerhard_strindlund_962699,
prot-1939--ak--30,i-7751b258f6695f59,,note,,
prot-1939--ak--30,i-575c83b950403413,,note,,
prot-1939--ak--30,i-b60fe24804f86c54,,note,,
prot-1939--ak--30,i-430248be3816d279,,note,,
prot-1939--ak--30,i-3fb1117330da177a,,note,,
prot-1939--ak--30,i-14eadd2491b36bbd,,metadata,,
prot-1939--ak--30,i-2c4e7a63debfe00b,,metadata,,
prot-1939--ak--30,i-f1178230777892b0,,metadata,,
prot-1939--ak--30,i-59cf10eaee7206cf,,note,,
prot-1939--ak--30,i-d1fbb8f197117aec,,note,,
prot-1939--ak--30,i-9bee2aca43dc553e,,metadata,,
prot-1939--ak--30,i-5aab8e48b2d2ea23,,note,,
prot-1939--ak--30,i-f1269464735d8c2e,,note,,
prot-1939--ak--30,i-54f151cf8cfef7df,,note,,
prot-1939--ak--30,i-b5667d874f0f6e1d,,note,,
prot-1939--ak--30,i-7b8c658cb994059c,,metadata,,
prot-1939--ak--30,i-b568a0ae46cc0f4f,8f6bb79aaba3167f,speech_start,uddo_jacobson_69ca6e,
prot-1939--ak--30,i-b568a0ae46cc0f4f,560e61985149f31c,speech_start,uddo_jacobson_69ca6e,
prot-1939--ak--30,i-e96c8a79d232b8d9,,note,,
prot-1939--ak--30,i-0b00ff43b42d3374,,metadata,,
prot-1939--ak--30,i-2c2f9fb341569c4a,,note,,
prot-1939--ak--30,i-41775627f5915be4,,note,,
prot-1939--ak--30,i-04e5d73500ec4898,,metadata,,
prot-1939--ak--30,i-374ffc72936b95a0,,note,,
prot-1939--ak--30,i-997d365609bbd609,,metadata,,
prot-1939--ak--30,i-805c3c10ab140199,,note,,
prot-1939--ak--30,i-95cdfc01ff203b20,,metadata,,
prot-1939--ak--30,i-2bd32a4074f6af67,560e61985149f31c,speech_start,ernst_wigforss_881974,
prot-1939--ak--30,i-ab07408d2ccb6e3c,,note,,
prot-1939--ak--30,i-9a64c5ada56a71f5,,note,,
prot-1939--ak--30,i-75eebef66dc181c0,,note,,
prot-1939--ak--30,i-6dc996cdd1cccb68,,metadata,,
prot-1939--ak--30,i-1507351cd2871192,,note,,
prot-1939--ak--30,i-8de079fb59227508,,note,,
prot-1939--ak--30,i-ce71a681aa29a86b,,note,,
prot-1939--ak--30,i-f5524fefe31c2df0,,metadata,,
prot-1939--ak--30,i-24293e2190ab9e40,,note,,
prot-1939--ak--30,i-d468d2a67d7f44a3,,note,,
prot-1939--ak--30,i-a46b208f097a1fcf,,note,,
prot-1939--ak--30,i-fca37ce5684b1e2c,,note,,
prot-1939--ak--30,i-ad5caadaf8eb0015,,note,,
prot-1939--ak--30,i-03a830173733efe3,,note,,
prot-1939--ak--30,i-9869d2cf49bf5294,,note,,
prot-1939--ak--30,i-6636967d1e68c04f,,note,,
prot-1939--ak--30,i-ca6296b67a4cbead,,note,,
prot-1939--ak--30,i-754fc373da6cbe7e,,note,,
prot-1939--ak--30,i-f2b984e6a8e14e58,,note,,
prot-1939--ak--30,i-a7f307aa98ff9bb9,,note,,
prot-1939--ak--30,i-784f7c1535887b15,,note,,
prot-1939--ak--30,i-0a25328d4811038d,,note,,
prot-1939--ak--30,i-ea971add35446e94,,note,,
prot-1939--ak--30,i-65f38bbd993b6430,,note,,
prot-1939--ak--30,i-4c81d1c4b9338067,,note,,
prot-1939--ak--30,i-c5f126065b265cfb,,note,,
prot-1939--ak--30,i-fb06c35ad2effcf4,,note,,
prot-1939--ak--30,i-8efc013263cf0953,,metadata,,
prot-1939--ak--30,i-c0ee0a441de22ff9,,note,,
prot-1939--ak--30,i-0195a58f000dc452,,note,,
prot-1939--ak--30,i-6c30f4653d98e308,,note,,
prot-1939--ak--30,i-966e8e3597b9b913,,note,,
prot-1939--ak--30,i-40642ce3647a2441,,note,,
prot-1939--ak--30,i-9b76b4a556899cd6,,note,,
prot-1939--ak--30,i-c430dbc043322b89,,note,,
prot-1939--ak--30,i-7acade12d1e309a0,,note,,
prot-1939--ak--30,i-0bdeffe93f0bb8fb,,note,,
prot-1939--ak--30,i-804f9a7590b01332,,note,,
prot-1939--ak--30,i-0bc05c5970d8cc2d,,note,,
prot-1939--ak--30,i-16f14f8918fb82c7,,note,,
prot-1939--ak--30,i-e413130dc0672571,8f6bb79aaba3167f,speech_start,_carl_evald_magnusson_ef241d,
prot-1939--ak--30,i-e413130dc0672571,560e61985149f31c,speech_start,_carl_evald_magnusson_ef241d,
prot-1939--ak--30,i-8078884db3e317e3,,metadata,,
prot-1939--ak--30,i-2adc7a5c6901771d,,metadata,,
prot-1939--ak--30,i-ad217a73b690e7d3,,note,,
prot-1939--ak--30,i-a6efd1c6bcbb1c23,,metadata,,
prot-1939--ak--30,i-313ef0bb54605536,,note,,
prot-1939--ak--30,i-5a7d0714b3316bda,,metadata,,
prot-1939--ak--30,i-cf21436e948fc31b,,note,,
prot-1939--ak--30,i-2ec2d839b982c374,,note,,
prot-1939--ak--30,i-3108d294927e43b5,8f6bb79aaba3167f,speech_start,per_edvin_skold_7a875a,
prot-1939--ak--30,i-c5fccbe36e346f7b,,metadata,,
prot-1939--ak--30,i-810261c011f50743,,metadata,,
prot-1939--ak--30,i-d570b284bb839de0,,metadata,,
prot-1939--ak--30,i-3a2415270afc442a,,metadata,,
prot-1939--ak--30,i-3cf92087f6a75a93,,metadata,,
prot-1939--ak--30,i-645b0e1fb7fca923,,note,,
prot-1939--ak--30,i-1a1c5fb39254fb3f,,metadata,,
prot-1939--ak--30,i-5fc55003dcae95d6,,metadata,,
prot-1939--ak--30,i-8a8e71f716aaf79e,,note,,
prot-1939--ak--30,i-e0504736b3bd1628,,metadata,,
prot-1939--ak--30,i-5725f17ba48de26a,,metadata,,
prot-1939--ak--30,i-e68f570a926ff31c,,metadata,,
prot-1939--ak--30,i-1ed81bb180ee7d55,,metadata,,
prot-1939--ak--30,i-c09c1710ad9f1123,8f6bb79aaba3167f,speech_start,_carl_evald_magnusson_ef241d,
prot-1939--ak--30,i-4aa19f47f8b678ee,,note,,
prot-1939--ak--30,i-37aaef3661131b6c,8f6bb79aaba3167f,speech_start,john_bergvall_1d86dc,
prot-1939--ak--30,i-37aaef3661131b6c,560e61985149f31c,speech_start,john_bergvall_1d86dc,
prot-1939--ak--30,i-7b87cf15b1bcc8f1,,metadata,,
prot-1939--ak--30,i-a3ba723ebb906a74,,metadata,,
prot-1939--ak--30,i-ae59d26d967faf89,,note,,
prot-1939--ak--30,i-ddf6cde6c8d2f00e,8f6bb79aaba3167f,speech_start,gosta_bagge_a91c6f,
prot-1939--ak--30,i-ddf6cde6c8d2f00e,560e61985149f31c,speech_start,gosta_bagge_a91c6f,
prot-1939--ak--30,i-e78a277dd5c72ce1,,metadata,,
prot-1939--ak--30,i-58a47e1556b3405c,,note,,
prot-1939--ak--30,i-e7482f716d5d90b4,,metadata,,
prot-1939--ak--30,i-232f4268d053a8a0,,metadata,,
prot-1939--ak--30,i-dbfc1fc114865906,,metadata,,
prot-1939--ak--30,i-218abbea893db0af,,metadata,,
prot-1939--ak--30,i-376d2d47a3cbbe07,,note,,
prot-1939--ak--30,i-57e3095a0c9d68e9,,metadata,,
prot-1939--ak--30,i-86c5d222c7d0c5d2,,note,,
prot-1939--ak--30,i-cc3dbab2c0b3b194,,metadata,,
prot-1939--ak--30,i-b79c1c4dd8c126a4,,metadata,,
prot-1939--ak--30,i-f4317730eaf34451,,note,,
prot-1939--ak--30,i-97eee831a864dd69,8f6bb79aaba3167f,speech_start,per_edvin_skold_7a875a,
prot-1939--ak--30,i-1387406773c28373,8f6bb79aaba3167f,speech_start,gosta_bagge_a91c6f,
prot-1939--ak--30,i-421fa9e052d53247,,note,,
prot-1939--ak--30,i-786c9b298955a429,8f6bb79aaba3167f,speech_start,per_edvin_skold_7a875a,
prot-1939--ak--30,i-9de96d777010197c,8f6bb79aaba3167f,speech_start,sven_andersson_07005f,
prot-1939--ak--30,i-9de96d777010197c,560e61985149f31c,speech_start,sven_andersson_07005f,
prot-1939--ak--30,i-93addf6a196fa803,,note,,
prot-1939--ak--30,i-03496a36f84ccc9b,,metadata,,
prot-1939--ak--30,i-40a6a5d92bbc7e82,,note,,
prot-1939--ak--30,i-0dc1fe8ce3282196,,metadata,,
prot-1939--ak--30,i-a4495cb5dc487009,,metadata,,
prot-1939--ak--30,i-6cd3d8ecdf6c401d,,note,,
prot-1939--ak--30,i-6855a743ac63f27c,,note,,
prot-1939--ak--30,i-c1bdd2157dc263e6,8f6bb79aaba3167f,speech_start,uddo_jacobson_69ca6e,
prot-1939--ak--30,i-c1bdd2157dc263e6,560e61985149f31c,speech_start,uddo_jacobson_69ca6e,
prot-1939--ak--30,i-f9a949b9b7a88ba2,,metadata,,
prot-1939--ak--30,i-bdfc46c6a166085a,,metadata,,
prot-1939--ak--30,i-f6de9cb87b908fa6,8f6bb79aaba3167f,speech_start,torgil_von_seth_08de4d,
prot-1939--ak--30,i-f6de9cb87b908fa6,560e61985149f31c,speech_start,torgil_von_seth_08de4d,
prot-1939--ak--30,i-88ca50bf448f649e,,metadata,,
prot-1939--ak--30,i-63d1e49a71d2f66f,,metadata,,
prot-1939--ak--30,i-b505b04c1c402dc6,,note,,
prot-1939--ak--30,i-998980e588780f8c,,metadata,,
prot-1939--ak--30,i-c733079ebdc0f1ab,,metadata,,
prot-1939--ak--30,i-9dbd2ddb6d2d89ad,,note,,
prot-1939--ak--30,i-33e48de3e9a3b1b8,8f6bb79aaba3167f,speech_start,sven_andersson_07005f,
prot-1939--ak--30,i-33e48de3e9a3b1b8,560e61985149f31c,speech_start,sven_andersson_07005f,
prot-1939--ak--30,i-0c5525820970f3d0,,metadata,,
prot-1939--ak--30,i-638d08336aaf5e17,,note,,
prot-1939--ak--30,i-7316f3af46033e34,,metadata,,
prot-1939--ak--30,i-b54e2d49e5c6c707,,note,,
prot-1939--ak--30,i-487dcd7085c436e2,,metadata,,
prot-1939--ak--30,i-d6e8e65ebf8af384,,note,,
