protocol_id,elem_id,pattern,segmentation,who,id
prot-1939-urtima-fk--5,i-c2c499133365e17d,,metadata,,
prot-1939-urtima-fk--5,i-252f64b60215cc4e,,metadata,,
prot-1939-urtima-fk--5,i-a0fb61648fd11be5,,metadata,,
prot-1939-urtima-fk--5,i-84f96eb122f57f36,,metadata,,
prot-1939-urtima-fk--5,i-8dd810bed9f78de7,,note,,
prot-1939-urtima-fk--5,i-b95bf3cd87275301,,note,,
prot-1939-urtima-fk--5,i-57421360c8159a4e,,note,,
prot-1939-urtima-fk--5,i-c667fc930005ecd1,,note,,
prot-1939-urtima-fk--5,i-02bcd08e0e7db214,,note,,
prot-1939-urtima-fk--5,i-b1dae79aa0d3ea90,,note,,
prot-1939-urtima-fk--5,i-7f717d91c3d7c814,,note,,
prot-1939-urtima-fk--5,i-350114dab8cc5540,,note,,
prot-1939-urtima-fk--5,i-ee082dc11b0648d6,,note,,
prot-1939-urtima-fk--5,i-5559dd6836af71f7,,note,,
prot-1939-urtima-fk--5,i-06d262948f2514de,,note,,
prot-1939-urtima-fk--5,i-490d81b19bb834e5,,note,,
prot-1939-urtima-fk--5,i-0bb763d33fc00bb4,,metadata,,
prot-1939-urtima-fk--5,i-cd99640aad426f10,,metadata,,
prot-1939-urtima-fk--5,i-092b24366de3d36c,,note,,
prot-1939-urtima-fk--5,i-af51133592c74d36,,metadata,,
prot-1939-urtima-fk--5,i-988ee73d78403fe9,,metadata,,
prot-1939-urtima-fk--5,i-a98bec2d863dd308,,metadata,,
prot-1939-urtima-fk--5,i-e6b71e234c9400c0,,metadata,,
prot-1939-urtima-fk--5,i-2549ad29c1a17e6c,560e61985149f31c,speech_start,kg_westman_243659,
prot-1939-urtima-fk--5,i-782688958bab6414,,note,,
prot-1939-urtima-fk--5,i-07082e5b8e34f4bf,,note,,
prot-1939-urtima-fk--5,i-8e1456ac96a6882c,,note,,
prot-1939-urtima-fk--5,i-4c5fc1d333d67b7c,,note,,
prot-1939-urtima-fk--5,i-12e7b04b92c44f89,,note,,
prot-1939-urtima-fk--5,i-71781614e3f55d44,,note,,
prot-1939-urtima-fk--5,i-f28f3543912cd4d6,,note,,
prot-1939-urtima-fk--5,i-f9041627f45221f6,,note,,
prot-1939-urtima-fk--5,i-4585504ad2f1c022,,note,,
prot-1939-urtima-fk--5,i-707b57d93cc10c85,,metadata,,
prot-1939-urtima-fk--5,i-5a54e07e511a2126,,note,,
prot-1939-urtima-fk--5,i-cdeda9cdeb5df14e,,note,,
prot-1939-urtima-fk--5,i-78f52c460b5ed0e0,,metadata,,
prot-1939-urtima-fk--5,i-eeae23b439ad4e8d,,metadata,,
