protocol_id,elem_id,pattern,segmentation,who,id
prot-1940-urtima-ak--3,i-c64a276274d7d52a,,metadata,,
prot-1940-urtima-ak--3,i-bc86da5199870f70,,metadata,,
prot-1940-urtima-ak--3,i-5133d9858410ab6c,,metadata,,
prot-1940-urtima-ak--3,i-5f68c8370585e5d8,,note,,
prot-1940-urtima-ak--3,i-2575924f3b3674bc,,metadata,,
prot-1940-urtima-ak--3,i-1740fb0c71b96e7e,,note,,
prot-1940-urtima-ak--3,i-eb7cbab3eba591b9,,note,,
prot-1940-urtima-ak--3,i-ff2042022ff6491a,,note,,
prot-1940-urtima-ak--3,i-d24298021783e750,,metadata,,
prot-1940-urtima-ak--3,i-16fab8071be8de3b,,metadata,,
prot-1940-urtima-ak--3,i-fb94a9da2ca000fc,,metadata,,
prot-1940-urtima-ak--3,i-50a143b15c608039,,metadata,,
prot-1940-urtima-ak--3,i-d16551a3de0cc372,,note,,
prot-1940-urtima-ak--3,i-9b592782457814a2,8f6bb79aaba3167f,speech_start,nils_flyg_09bbf8,
prot-1940-urtima-ak--3,i-9b592782457814a2,560e61985149f31c,speech_start,nils_flyg_09bbf8,
prot-1940-urtima-ak--3,i-fff379582c460691,,metadata,,
prot-1940-urtima-ak--3,i-c1b5fcec08fb2276,,note,,
prot-1940-urtima-ak--3,i-e60f6b5312611744,8f6bb79aaba3167f,speech_start,per_edvin_skold_7a875a,
prot-1940-urtima-ak--3,i-114945b99b1830e5,,metadata,,
prot-1940-urtima-ak--3,i-8093f5b098d01e04,,note,,
prot-1940-urtima-ak--3,i-b015b33d1a27e63b,,metadata,,
prot-1940-urtima-ak--3,i-a073ebcad35c6db8,8f6bb79aaba3167f,speech_start,nils_flyg_09bbf8,
prot-1940-urtima-ak--3,i-a073ebcad35c6db8,560e61985149f31c,speech_start,nils_flyg_09bbf8,
prot-1940-urtima-ak--3,i-dfe8ae8fa0404bab,,metadata,,
prot-1940-urtima-ak--3,i-8d54173162622e09,8f6bb79aaba3167f,speech_start,per_edvin_skold_7a875a,
prot-1940-urtima-ak--3,i-c8314f5e17de71e7,8f6bb79aaba3167f,speech_start,hilding_hagberg_50faf1,
prot-1940-urtima-ak--3,i-c8314f5e17de71e7,560e61985149f31c,speech_start,hilding_hagberg_50faf1,
prot-1940-urtima-ak--3,i-4396b7559339efac,560e61985149f31c,speech_start,,
prot-1940-urtima-ak--3,i-4a5ab69e617dd49c,8f6bb79aaba3167f,speech_start,per_edvin_skold_7a875a,
prot-1940-urtima-ak--3,i-e6cc966ee79a6b49,,metadata,,
prot-1940-urtima-ak--3,i-37184a5af3914a50,8f6bb79aaba3167f,speech_start,nils_flyg_09bbf8,
prot-1940-urtima-ak--3,i-37184a5af3914a50,560e61985149f31c,speech_start,nils_flyg_09bbf8,
prot-1940-urtima-ak--3,i-0373bbbb6773b967,,note,,
prot-1940-urtima-ak--3,i-7d2e0be8d180fb5d,,metadata,,
prot-1940-urtima-ak--3,i-3d9d8d5fc551d268,,note,,
prot-1940-urtima-ak--3,i-caeff8886ea7dcf3,,note,,
prot-1940-urtima-ak--3,i-b58f173e81226cbc,,metadata,,
prot-1940-urtima-ak--3,i-c9059b37b3ad8622,,note,,
prot-1940-urtima-ak--3,i-1c305234b3add75f,,note,,
prot-1940-urtima-ak--3,i-4604960c56267a5f,,note,,
prot-1940-urtima-ak--3,i-cdf28d2ee96e6423,,metadata,,
prot-1940-urtima-ak--3,i-2fdfe4f4db85079c,,note,,
prot-1940-urtima-ak--3,i-d78ca5ecde803240,,note,,
prot-1940-urtima-ak--3,i-7d14b884ddf40d88,,note,,
prot-1940-urtima-ak--3,i-1d70dbcce316a237,,metadata,,
prot-1940-urtima-ak--3,i-b04d2628fdc3665a,,metadata,,
prot-1940-urtima-ak--3,i-19cd1a1e6d3c2547,,metadata,,
prot-1940-urtima-ak--3,i-447c25a4154cc09c,,note,,
prot-1940-urtima-ak--3,i-0bd551f342ad75fd,,metadata,,
prot-1940-urtima-ak--3,i-eaf4122b13ef3ee7,8f6bb79aaba3167f,speech_start,sven_olsson_f90f38,
prot-1940-urtima-ak--3,i-eaf4122b13ef3ee7,560e61985149f31c,speech_start,sven_olsson_f90f38,
prot-1940-urtima-ak--3,i-4da38db3017f7b61,,note,,
prot-1940-urtima-ak--3,i-6e8f33dd6b84ec17,,note,,
prot-1940-urtima-ak--3,i-4cc1bfcbfcad620b,,note,,
prot-1940-urtima-ak--3,i-010db8484c946aca,,note,,
prot-1940-urtima-ak--3,i-af48b048cb5244af,,metadata,,
prot-1940-urtima-ak--3,i-d6c0f68875ce7f6a,,note,,
prot-1940-urtima-ak--3,i-7ae5c0801da152cd,,note,,
prot-1940-urtima-ak--3,i-6e73b3c1ae5a6d48,,metadata,,
