protocol_id,elem_id,pattern,segmentation,who,id
prot-1946-höst-fk--31,i-59427cbbc0a0458c,,metadata,,
prot-1946-höst-fk--31,i-f948a8b1498e2827,,metadata,,
prot-1946-höst-fk--31,i-7951b37d47143edc,,metadata,,
prot-1946-höst-fk--31,i-efc6ae37128944b3,,metadata,,
prot-1946-höst-fk--31,i-f246f086d5de436b,560e61985149f31c,speech_start,,
prot-1946-höst-fk--31,i-31a310cd96ace66e,,note,,
prot-1946-höst-fk--31,i-52ed42e5e2d5cc98,,metadata,,
prot-1946-höst-fk--31,i-5a59f92b3ee5d8c2,,note,,
prot-1946-höst-fk--31,i-03a746ff3206a8c0,,note,,
prot-1946-höst-fk--31,i-6a89011290681193,,note,,
prot-1946-höst-fk--31,i-f043a7f85b7679d3,,metadata,,
prot-1946-höst-fk--31,i-a35a18166dc8ff79,,metadata,,
prot-1946-höst-fk--31,i-d790b0823cdc9851,,metadata,,
prot-1946-höst-fk--31,i-7f944ec103032077,,metadata,,
prot-1946-höst-fk--31,i-98dbfbddba1ad8e6,,metadata,,
prot-1946-höst-fk--31,i-0d6a0f258b67e8f9,8f6bb79aaba3167f,speech_start,,
prot-1946-höst-fk--31,i-8b90a32a375a5ee8,,note,,
prot-1946-höst-fk--31,i-c447a740157c8169,560e61985149f31c,speech_start,,
prot-1946-höst-fk--31,i-527c4b39fee45010,,note,,
prot-1946-höst-fk--31,i-cdedaf4884ea5381,,note,,
prot-1946-höst-fk--31,i-394e4fb400f1630a,,note,,
prot-1946-höst-fk--31,i-48306c7d3a319128,,note,,
prot-1946-höst-fk--31,i-131fb56ba81ef64e,,note,,
prot-1946-höst-fk--31,i-58475fcd8176e7d8,,note,,
prot-1946-höst-fk--31,i-7c6190030e6b9039,,note,,
prot-1946-höst-fk--31,i-f62d61bb2f2ada92,,note,,
prot-1946-höst-fk--31,i-c3ac99d1f12f901a,,note,,
prot-1946-höst-fk--31,i-ce806070aa6fab94,,note,,
prot-1946-höst-fk--31,i-8b2700706f2568cf,,note,,
prot-1946-höst-fk--31,i-0035e73433c74cf4,,note,,
prot-1946-höst-fk--31,i-f56f2039feb8d7d5,,note,,
prot-1946-höst-fk--31,i-89f8a30bd83af487,,note,,
prot-1946-höst-fk--31,i-4b6da5022be6ce52,,note,,
prot-1946-höst-fk--31,i-68df414bc19a5eb7,,note,,
prot-1946-höst-fk--31,i-97fb557eda63427e,,note,,
prot-1946-höst-fk--31,i-c5bd118fa0a5d43f,,note,,
prot-1946-höst-fk--31,i-b129dc1a5e17ce5f,,note,,
prot-1946-höst-fk--31,i-de78540aa3e520c6,,note,,
prot-1946-höst-fk--31,i-297b6b3f70d9efc0,,note,,
prot-1946-höst-fk--31,i-d4f3bd5ccfe2565a,,metadata,,
prot-1946-höst-fk--31,i-80a7346bf56b22da,,note,,
prot-1946-höst-fk--31,i-c8b5e088ae4cf433,,note,,
prot-1946-höst-fk--31,i-b521cee7015236fb,,note,,
prot-1946-höst-fk--31,i-d2c9fa1df7dc9310,,note,,
prot-1946-höst-fk--31,i-7bbac2a8bf27a6d4,,note,,
prot-1946-höst-fk--31,i-1a747a45645cd893,,note,,
prot-1946-höst-fk--31,i-5dad81d06e354989,,note,,
prot-1946-höst-fk--31,i-246288d81d9c6f6c,,note,,
prot-1946-höst-fk--31,i-af363a2cfdc718fd,,note,,
prot-1946-höst-fk--31,i-40df2cbe559b586e,,note,,
prot-1946-höst-fk--31,i-556e7ba6c427dd4c,,note,,
prot-1946-höst-fk--31,i-d38b32a288e0ead6,,note,,
prot-1946-höst-fk--31,i-bf9224b7df2ffd4f,,note,,
prot-1946-höst-fk--31,i-551993c003a11c90,,note,,
prot-1946-höst-fk--31,i-ddbf08dcfaa5efbe,,note,,
prot-1946-höst-fk--31,i-7f491076f94f5021,,metadata,,
prot-1946-höst-fk--31,i-76ea931fc17cd5d7,,note,,
prot-1946-höst-fk--31,i-b929d10f00eae7b8,,note,,
prot-1946-höst-fk--31,i-022e7f8d8f2f166a,,note,,
prot-1946-höst-fk--31,i-0f00c5027c1a8112,,note,,
prot-1946-höst-fk--31,i-6efc395b53ad7dc3,,metadata,,
prot-1946-höst-fk--31,i-4ac17a7965850b49,,note,,
prot-1946-höst-fk--31,i-5114109d19f89501,,note,,
prot-1946-höst-fk--31,i-5311f4b3412ee8f7,,note,,
prot-1946-höst-fk--31,i-6b534710de02e9e4,,metadata,,
prot-1946-höst-fk--31,i-4b079ff26f44d812,,note,,
prot-1946-höst-fk--31,i-015bb14d18ef58d8,,note,,
prot-1946-höst-fk--31,i-cd9ed56eb8995a75,,metadata,,
prot-1946-höst-fk--31,i-d0c75e574bef5efe,8f6bb79aaba3167f,speech_start,karl_wistrand_ca0ba6,
prot-1946-höst-fk--31,i-18a6a7531fe81e8b,,metadata,,
prot-1946-höst-fk--31,i-649cdee3968beddb,,note,,
prot-1946-höst-fk--31,i-2587e58e7bae55f2,,note,,
prot-1946-höst-fk--31,i-379570e5ba798f33,,note,,
prot-1946-höst-fk--31,i-521aeded8cc83c39,,metadata,,
prot-1946-höst-fk--31,i-b9fc8c157ffcd56f,,note,,
prot-1946-höst-fk--31,i-03c10bd25de88f93,,note,,
prot-1946-höst-fk--31,i-8ccae4653bcf5e2b,,note,,
prot-1946-höst-fk--31,i-f9a9830b96cd4635,,note,,
prot-1946-höst-fk--31,i-8f239c89ad2751d6,,note,,
prot-1946-höst-fk--31,i-1fea83841c4da0c6,,note,,
prot-1946-höst-fk--31,i-0fd1272cba6473fa,,note,,
prot-1946-höst-fk--31,i-cb7497c96bf3bfe7,,note,,
prot-1946-höst-fk--31,i-105aaeb574f9f69b,,metadata,,
prot-1946-höst-fk--31,i-068c5d90328d9a18,,metadata,,
prot-1946-höst-fk--31,i-edeb146b8865a997,,metadata,,
prot-1946-höst-fk--31,i-dd5bc8bac336cd67,,metadata,,
prot-1946-höst-fk--31,i-f046fba1e6a16153,,metadata,,
prot-1946-höst-fk--31,i-0c0632dd877b117e,560e61985149f31c,speech_start,ernst_wigforss_dc2db7,
prot-1946-höst-fk--31,i-65884e1d53d69ecf,,note,,
prot-1946-höst-fk--31,i-e533dbf28c8b25ee,,metadata,,
prot-1946-höst-fk--31,i-b4930336884795d7,,note,,
prot-1946-höst-fk--31,i-e3453ebe30da5394,,metadata,,
