protocol_id,elem_id,pattern,segmentation,who,id
prot-1951-extrahöst-ak--34,i-638838ba987532a1,,note,,
prot-1951-extrahöst-ak--34,i-257627179ee221ee,,metadata,,
prot-1951-extrahöst-ak--34,i-ad2aba08f05dbc2d,,metadata,,
prot-1951-extrahöst-ak--34,i-757fc52391cbf64e,,metadata,,
prot-1951-extrahöst-ak--34,i-0981f20cb70055d1,,note,,
prot-1951-extrahöst-ak--34,i-9206565a36cb0d4e,,metadata,,
prot-1951-extrahöst-ak--34,i-34fcfb22a2151736,,note,,
prot-1951-extrahöst-ak--34,i-3e43194369ba7ce4,,note,,
prot-1951-extrahöst-ak--34,i-cccf3ab3e0dad0cd,,note,,
prot-1951-extrahöst-ak--34,i-8499f2cea64b431a,,note,,
prot-1951-extrahöst-ak--34,i-e4a097bbca40add0,,note,,
prot-1951-extrahöst-ak--34,i-48dc7fd44fe323b7,,metadata,,
prot-1951-extrahöst-ak--34,i-94e57734601a8dec,,metadata,,
prot-1951-extrahöst-ak--34,i-306f9dcd27e51308,,note,,
prot-1951-extrahöst-ak--34,i-8806de7f0b9c59fe,,note,,
prot-1951-extrahöst-ak--34,i-0daa5177d250ad8b,,metadata,,
prot-1951-extrahöst-ak--34,i-4065aa838a12e8f4,,note,,
prot-1951-extrahöst-ak--34,i-d7c20ed0b5bd79a3,,note,,
prot-1951-extrahöst-ak--34,i-f9d28de3f9edc99f,,note,,
prot-1951-extrahöst-ak--34,i-81f7ad1a8e1a9298,,note,,
prot-1951-extrahöst-ak--34,i-a846eaf061e69687,,note,,
prot-1951-extrahöst-ak--34,i-4c11cf45d570fdc6,,note,,
prot-1951-extrahöst-ak--34,i-5812ad212c7fed5b,,note,,
prot-1951-extrahöst-ak--34,i-411d493c170a0312,,note,,
prot-1951-extrahöst-ak--34,i-b7aec2b8932a7324,,note,,
prot-1951-extrahöst-ak--34,i-fb6f75b434bb637a,,note,,
prot-1951-extrahöst-ak--34,i-b36f75b6bc34297f,,note,,
prot-1951-extrahöst-ak--34,i-9ddcaeedad5710f5,,note,,
prot-1951-extrahöst-ak--34,i-40a86279865dd139,,note,,
prot-1951-extrahöst-ak--34,i-e5845e404b681f1b,,metadata,,
prot-1951-extrahöst-ak--34,i-d531b6803fcddde2,,note,,
prot-1951-extrahöst-ak--34,i-faabe87601d4c12b,,note,,
prot-1951-extrahöst-ak--34,i-92f7e8573b21c01d,,note,,
prot-1951-extrahöst-ak--34,i-9e09b46975a8d944,,note,,
prot-1951-extrahöst-ak--34,i-5592f1e21e7f301a,,note,,
prot-1951-extrahöst-ak--34,i-829dc07168bd9d70,,note,,
prot-1951-extrahöst-ak--34,i-ee6cd7c293bc0ce1,,note,,
prot-1951-extrahöst-ak--34,i-23d7b5f716f45f26,,metadata,,
prot-1951-extrahöst-ak--34,i-ea0997a316ee9763,,metadata,,
prot-1951-extrahöst-ak--34,i-745b08d7b23ea0f1,,metadata,,
prot-1951-extrahöst-ak--34,i-d38fe3cca519bf5b,,metadata,,
prot-1951-extrahöst-ak--34,i-5226fa8fbf58e5a6,,metadata,,
