protocol_id,elem_id,pattern,segmentation,who,id
prot-1958-a-ak--1,i-3ef54c9c4553f2d4,,metadata,,
prot-1958-a-ak--1,i-cad967769133e858,,metadata,,
prot-1958-a-ak--1,i-43937f9c316c54fd,,metadata,,
prot-1958-a-ak--1,i-89408ea83b939573,,metadata,,
prot-1958-a-ak--1,i-d23494e23b92b218,,metadata,,
prot-1958-a-ak--1,i-6760e6f7f3d829c1,,metadata,,
prot-1958-a-ak--1,i-1036204a7848b5e7,,metadata,,
prot-1958-a-ak--1,i-55575eea79d48253,,metadata,,
prot-1958-a-ak--1,i-9cb3e6a7849d8aa6,,metadata,,
prot-1958-a-ak--1,i-acb9c89f54afe1a1,,metadata,,
prot-1958-a-ak--1,i-fb222289f923a733,,metadata,,
prot-1958-a-ak--1,i-d3ea1f4f7dd85f79,,metadata,,
prot-1958-a-ak--1,i-5a20af53ba2ce99f,,note,,
prot-1958-a-ak--1,i-04cf418b2c16eefd,,note,,
prot-1958-a-ak--1,i-59ea6cf171ed3629,,metadata,,
prot-1958-a-ak--1,i-d1c70d7c7fc1817a,,note,,
prot-1958-a-ak--1,i-5eb3ffa6a807ee75,,note,,
prot-1958-a-ak--1,i-2ccbccc38a7c4679,,metadata,,
prot-1958-a-ak--1,i-8c3f80d8a2eabffb,,metadata,,
prot-1958-a-ak--1,i-b417114e0134ed52,,metadata,,
prot-1958-a-ak--1,i-f3979659e6bc62f5,,metadata,,
prot-1958-a-ak--1,i-d9d485f37db77d22,,metadata,,
prot-1958-a-ak--1,i-bb6bda81eec9b093,,metadata,,
prot-1958-a-ak--1,i-9fa2869964205bbd,,metadata,,
prot-1958-a-ak--1,i-a91bb767ae5d7f09,,metadata,,
prot-1958-a-ak--1,i-1b4f9f35701c990e,,metadata,,
prot-1958-a-ak--1,i-d559a4fd3bf2e405,,note,,
prot-1958-a-ak--1,i-f458eed6fa9664ad,,note,,
prot-1958-a-ak--1,i-fc762ab73496349b,,metadata,,
prot-1958-a-ak--1,i-8f2719e1791f0126,,note,,
prot-1958-a-ak--1,i-77f7b66e9bcfda79,,metadata,,
prot-1958-a-ak--1,i-1044528985a07077,,note,,
prot-1958-a-ak--1,i-27fcd3c6ecdbcba3,,note,,
prot-1958-a-ak--1,i-b3947bd18b060526,,metadata,,
prot-1958-a-ak--1,i-24b2d284d849cfe7,,metadata,,
prot-1958-a-ak--1,i-af36f6c654201a87,,metadata,,
prot-1958-a-ak--1,i-9ae3504a79873555,,metadata,,
prot-1958-a-ak--1,i-dd4c279472d562d9,,metadata,,
prot-1958-a-ak--1,i-7f6b8f41b221c34c,,metadata,,
prot-1958-a-ak--1,i-e541aa7ceaaadf1f,,metadata,,
prot-1958-a-ak--1,i-004606b98058185d,,note,,
prot-1958-a-ak--1,i-c60264ddac225252,,metadata,,
prot-1958-a-ak--1,i-9ae1a02407a56690,,metadata,,
prot-1958-a-ak--1,i-ff2681bac2d1d378,,metadata,,
prot-1958-a-ak--1,i-930d4835b36aad05,,note,,
prot-1958-a-ak--1,i-b8dd40024b10fc11,,note,,
prot-1958-a-ak--1,i-7368415334394a4c,,metadata,,
prot-1958-a-ak--1,i-851406de48b08bcf,,metadata,,
prot-1958-a-ak--1,i-11401cc4edce04d9,,metadata,,
prot-1958-a-ak--1,i-2046d5a04bcee8ae,,note,,
prot-1958-a-ak--1,i-d7ccb82c0c7b843c,,metadata,,
prot-1958-a-ak--1,i-3d7889a0ff25966f,,note,,
prot-1958-a-ak--1,i-e02e9a80b397ac8b,,note,,
prot-1958-a-ak--1,i-3610fdd09dfec961,,note,,
prot-1958-a-ak--1,i-d04bcba63da669a5,,metadata,,
prot-1958-a-ak--1,i-7ae69e66660379bf,,note,,
prot-1958-a-ak--1,i-e3a35bf4ba14e47d,,note,,
prot-1958-a-ak--1,i-77b04cd6f44da57d,,note,,
prot-1958-a-ak--1,i-eaa3c81363bf561a,,metadata,,
prot-1958-a-ak--1,i-6c445687671a22e7,,note,,
prot-1958-a-ak--1,i-a2f9b82e1872a647,,note,,
prot-1958-a-ak--1,i-f5556ff62369d99d,,note,,
prot-1958-a-ak--1,i-2e80ab016f6a7c99,,note,,
prot-1958-a-ak--1,i-ca1b10b73d46149f,,note,,
prot-1958-a-ak--1,i-ca3d61d16929e0de,,note,,
prot-1958-a-ak--1,i-8384ff1f01b400df,,metadata,,
prot-1958-a-ak--1,i-3eb0917f7867faf1,,note,,
prot-1958-a-ak--1,i-2072b539c48b0bd3,,metadata,,
prot-1958-a-ak--1,i-64a19d5fd4d22447,,note,,
prot-1958-a-ak--1,i-cc6eb04144095f21,,note,,
prot-1958-a-ak--1,i-b56021354e11d5aa,,note,,
prot-1958-a-ak--1,i-a252a500405d5ff5,,note,,
prot-1958-a-ak--1,i-8b2b4227f5a79df8,,note,,
prot-1958-a-ak--1,i-6af1e1e9cf4fd5cf,,metadata,,
prot-1958-a-ak--1,i-f5aae4dab3b04c64,,note,,
prot-1958-a-ak--1,i-b0f8890da58faf11,,metadata,,
prot-1958-a-ak--1,i-949ea92760f05ac1,,note,,
prot-1958-a-ak--1,i-3f87c95dac0c4b81,,metadata,,
prot-1958-a-ak--1,i-573c3ba460aef6e6,,note,,
prot-1958-a-ak--1,i-d81a025415b00336,,metadata,,
prot-1958-a-ak--1,i-885b374dce1deffe,,metadata,,
prot-1958-a-ak--1,i-01aa444e4a85d473,,note,,
prot-1958-a-ak--1,i-9694268e7ebc7933,,note,,
prot-1958-a-ak--1,i-a0707eb4b7f46ff9,,note,,
prot-1958-a-ak--1,i-a401a72564ddc647,,note,,
prot-1958-a-ak--1,i-48fba811e32ba973,,note,,
prot-1958-a-ak--1,i-c688133d54746f78,,note,,
prot-1958-a-ak--1,i-53a4e5b44cc2074a,,note,,
prot-1958-a-ak--1,i-8fe00cdb1a68fa65,,metadata,,
prot-1958-a-ak--1,i-d3b9c6dc465d9ca9,,metadata,,
prot-1958-a-ak--1,i-d9e156af22d6e038,,metadata,,
prot-1958-a-ak--1,i-1d7396d94c5cfe11,,metadata,,
prot-1958-a-ak--1,i-57a51121cdd7b2ac,,note,,
prot-1958-a-ak--1,i-ffde9e3b0aca8df4,,note,,
prot-1958-a-ak--1,i-0e96e076f8579531,,note,,
prot-1958-a-ak--1,i-2269baa0a5a7dc2e,,note,,
prot-1958-a-ak--1,i-257ca5acb73a6a0d,,metadata,,
prot-1958-a-ak--1,i-4f7a819740f0745e,,note,,
prot-1958-a-ak--1,i-0919e983a4f25a47,,metadata,,
prot-1958-a-ak--1,i-1e7e17d907c5c25e,,note,,
prot-1958-a-ak--1,i-2fa1311780c90ef2,,note,,
prot-1958-a-ak--1,i-76be2e630ba873c5,,note,,
prot-1958-a-ak--1,i-8b5a197870a03a63,,note,,
prot-1958-a-ak--1,i-1901cd4a5e255c31,,metadata,,
prot-1958-a-ak--1,i-472fe535070964bf,,metadata,,
prot-1958-a-ak--1,i-8e6c4f908ad10d8b,,note,,
prot-1958-a-ak--1,i-67e20cbc0ec01836,,metadata,,
prot-1958-a-ak--1,i-f02020d49b1081a9,,note,,
prot-1958-a-ak--1,i-ecda44c8b8aeff3a,,metadata,,
prot-1958-a-ak--1,i-9448ac826c764fc6,,note,,
prot-1958-a-ak--1,i-e2abb96ae092db6d,,note,,
prot-1958-a-ak--1,i-4fb6b9f6f42b7794,,note,,
prot-1958-a-ak--1,i-3aa8b6e18c8466b1,,metadata,,
prot-1958-a-ak--1,i-98a611d924e000d1,,metadata,,
prot-1958-a-ak--1,i-e5577b4c560c7cba,,note,,
prot-1958-a-ak--1,i-787723cc30834d1d,,note,,
prot-1958-a-ak--1,i-d00c1bdc6b51c6b7,,note,,
prot-1958-a-ak--1,i-004ac12586077ecb,,note,,
prot-1958-a-ak--1,i-621bdf1934060b32,,note,,
prot-1958-a-ak--1,i-28808e05e3db045d,,note,,
prot-1958-a-ak--1,i-b414be7f8d34a481,,metadata,,
prot-1958-a-ak--1,i-e854934052b006a4,,note,,
prot-1958-a-ak--1,i-c9275ad5e64b2bdc,,note,,
prot-1958-a-ak--1,i-7e502a23b71cdde2,,metadata,,
prot-1958-a-ak--1,i-d9187e604326e1df,,note,,
prot-1958-a-ak--1,i-8359bc8a90f33a0f,,metadata,,
prot-1958-a-ak--1,i-36491c490bbc07cd,,note,,
prot-1958-a-ak--1,i-a63270f59eb71490,,metadata,,
prot-1958-a-ak--1,i-7972c4857b70bded,,note,,
prot-1958-a-ak--1,i-c4bd6b47068ad921,,metadata,,
prot-1958-a-ak--1,i-e02e90f73d5af507,,metadata,,
prot-1958-a-ak--1,i-15262fc7f478bbbd,,note,,
prot-1958-a-ak--1,i-52ab2d3220d712c5,,note,,
prot-1958-a-ak--1,i-03dd94f9b7b6723f,,note,,
prot-1958-a-ak--1,i-60db684ca0180738,,metadata,,
prot-1958-a-ak--1,i-5598c2926e9f709a,,metadata,,
prot-1958-a-ak--1,i-aa3feac3b0c8d424,,metadata,,
prot-1958-a-ak--1,i-022861fb7f62ce00,,metadata,,
prot-1958-a-ak--1,i-391958b4d9cd983a,,note,,
prot-1958-a-ak--1,i-12bf61b675e09f89,,note,,
prot-1958-a-ak--1,i-0a2f42d36919add6,,metadata,,
prot-1958-a-ak--1,i-c3b43785e293bfc7,,metadata,,
prot-1958-a-ak--1,i-887c0aca0ab50d46,,note,,
prot-1958-a-ak--1,i-e81d18fe769246a0,560e61985149f31c,speech_start,,
prot-1958-a-ak--1,i-dcec917fe61a6300,,note,,
prot-1958-a-ak--1,i-64a78f99efa192da,,note,,
prot-1958-a-ak--1,i-731c9d32570f79b1,,note,,
prot-1958-a-ak--1,i-3273237825a2b4bd,,metadata,,
prot-1958-a-ak--1,i-024309f0f4549d99,,note,,
prot-1958-a-ak--1,i-0fd94f028e13b193,,note,,
prot-1958-a-ak--1,i-9dc7e0645087a5a5,,note,,
prot-1958-a-ak--1,i-5b67b47b9812d5e4,,note,,
