protocol_id,elem_id,pattern,segmentation,who,id
prot-1958-a-ak--17-01,i-882f8e473608840b,,note,,
prot-1958-a-ak--17-01,i-c245bc16e190de0f,,metadata,,
prot-1958-a-ak--17-01,i-ef865125975d9f85,,metadata,,
prot-1958-a-ak--17-01,i-a0056c613e99a648,,metadata,,
prot-1958-a-ak--17-01,i-afff7d758dd32868,,metadata,,
prot-1958-a-ak--17-01,i-840bb95e727cf3c0,,note,,
prot-1958-a-ak--17-01,i-2e3c01fd6ebbe789,,note,,
prot-1958-a-ak--17-01,i-4cbeff298c1e8a11,,note,,
prot-1958-a-ak--17-01,i-80c599a227852b89,,note,,
prot-1958-a-ak--17-01,i-426a1319be937aa3,,note,,
prot-1958-a-ak--17-01,i-ccc3770b33b0cf83,,note,,
prot-1958-a-ak--17-01,i-bc8c5b16af12efee,,note,,
prot-1958-a-ak--17-01,i-7e613e57bd211255,,note,,
prot-1958-a-ak--17-01,i-5b68c5c43de5dccf,,note,,
prot-1958-a-ak--17-01,i-0936cc40bf59a395,,note,,
prot-1958-a-ak--17-01,i-77af34a7c43223fb,,note,,
prot-1958-a-ak--17-01,i-e6385f20007a854f,,note,,
prot-1958-a-ak--17-01,i-168a44b029c72e13,,note,,
prot-1958-a-ak--17-01,i-d77ec1447cad95d6,,note,,
prot-1958-a-ak--17-01,i-f0d0f13b8172f217,,metadata,,
prot-1958-a-ak--17-01,i-acb56159434112ae,,note,,
prot-1958-a-ak--17-01,i-5bea4f2ca51e4a16,,metadata,,
prot-1958-a-ak--17-01,i-1c9a0999bdd9f5d0,,note,,
prot-1958-a-ak--17-01,i-866c84b919453efd,,note,,
prot-1958-a-ak--17-01,i-0d66ad08e69d672f,,note,,
prot-1958-a-ak--17-01,i-2d1d7518e2f825ea,,note,,
prot-1958-a-ak--17-01,i-5d98df01c2e02e72,,metadata,,
prot-1958-a-ak--17-01,i-548029445eb38e13,,metadata,,
prot-1958-a-ak--17-01,i-04f1cd1e747ece27,,note,,
prot-1958-a-ak--17-01,i-2663a583f21c8e53,,metadata,,
prot-1958-a-ak--17-01,i-64486e22cdf8bc08,,metadata,,
prot-1958-a-ak--17-01,i-c633c8845b860611,,metadata,,
prot-1958-a-ak--17-01,i-b41199537616bd6c,,metadata,,
prot-1958-a-ak--17-01,i-4a65258e2050c564,,metadata,,
prot-1958-a-ak--17-01,i-93af9df6ab5c779e,,metadata,,
prot-1958-a-ak--17-01,i-7192918d7718d01e,,metadata,,
prot-1958-a-ak--17-01,i-0f9f51eb334a8c10,,metadata,,
prot-1958-a-ak--17-01,i-1d90c24947d8e31c,,metadata,,
prot-1958-a-ak--17-01,i-c78761b410b9a3f5,,metadata,,
prot-1958-a-ak--17-01,i-d610a491134245f8,,metadata,,
prot-1958-a-ak--17-01,i-a35e783d590180c5,,metadata,,
prot-1958-a-ak--17-01,i-b9371957bd0ffc8b,,metadata,,
prot-1958-a-ak--17-01,i-b9a4bb9d7ee4cef1,,metadata,,
prot-1958-a-ak--17-01,i-105fdd4798a8ddaa,,metadata,,
prot-1958-a-ak--17-01,i-94b6a6e0aa0a0d3b,,metadata,,
prot-1958-a-ak--17-01,i-f6ae60e440f1a678,,metadata,,
prot-1958-a-ak--17-01,i-fe5e52d03f50fa19,,metadata,,
prot-1958-a-ak--17-01,i-9ae0399f430f3a8d,,note,,
prot-1958-a-ak--17-01,i-d90a2dd99132b508,,note,,
prot-1958-a-ak--17-01,i-af9c3af63c2fd33b,,note,,
prot-1958-a-ak--17-01,i-c236df36c1eb8efe,,note,,
prot-1958-a-ak--17-01,i-16947b56ce568518,,note,,
prot-1958-a-ak--17-01,i-5c5fe76220e1f8ee,,note,,
prot-1958-a-ak--17-01,i-c8e229737e0a8725,,note,,
prot-1958-a-ak--17-01,i-277e4a3ec0650132,,note,,
prot-1958-a-ak--17-01,i-cfd833ea2f17eada,,note,,
prot-1958-a-ak--17-01,i-23c80f4276756dce,,note,,
prot-1958-a-ak--17-01,i-4593050e17253b37,,note,,
prot-1958-a-ak--17-01,i-79ec29231ef1f10a,,note,,
prot-1958-a-ak--17-01,i-be99cbaed18267a4,,note,,
prot-1958-a-ak--17-01,i-2a49f2bf790046c0,,note,,
prot-1958-a-ak--17-01,i-0dce9fa1baa00e7a,,metadata,,
prot-1958-a-ak--17-01,i-1c57546bd49abf8a,,metadata,,
prot-1958-a-ak--17-01,i-c8d17878e00b29e4,,note,,
prot-1958-a-ak--17-01,i-390d6e882b4da34a,,metadata,,
prot-1958-a-ak--17-01,i-2683b414756b4690,,metadata,,
prot-1958-a-ak--17-01,i-c1079cce93e37e8b,,metadata,,
prot-1958-a-ak--17-01,i-a0bdf2e263f75e8a,,metadata,,
prot-1958-a-ak--17-01,i-f3ea64255479e1e7,,note,,
prot-1958-a-ak--17-01,i-e430558f0a0eec62,,note,,
prot-1958-a-ak--17-01,i-e588e3d87e2d0826,,note,,
prot-1958-a-ak--17-01,i-3e6e0846785bf4a0,,note,,
prot-1958-a-ak--17-01,i-c82f7316e642bd5a,,metadata,,
prot-1958-a-ak--17-01,i-b96516da1d0b5d52,,note,,
prot-1958-a-ak--17-01,i-d2f8622c098a6449,,note,,
prot-1958-a-ak--17-01,i-a01ca0cf2e9d3a88,,note,,
prot-1958-a-ak--17-01,i-f7f6acbf4690240a,,note,,
prot-1958-a-ak--17-01,i-eb88085eb9d6e150,,metadata,,
prot-1958-a-ak--17-01,i-fcbb4f36b197dc15,,note,,
prot-1958-a-ak--17-01,i-01d6e8c98766b041,,note,,
prot-1958-a-ak--17-01,i-0d6fe6b395ae8cc8,,metadata,,
prot-1958-a-ak--17-01,i-0c9edf9dbd8f1865,,note,,
prot-1958-a-ak--17-01,i-adf74bc8359285d4,,metadata,,
prot-1958-a-ak--17-01,i-1dc79ebbce826c74,,note,,
prot-1958-a-ak--17-01,i-9d8e0604cf43ed66,,note,,
prot-1958-a-ak--17-01,i-47b9318fa6f07cd2,,metadata,,
prot-1958-a-ak--17-01,i-a513d9e90cb20755,,metadata,,
prot-1958-a-ak--17-01,i-2234326e6ca6f7b6,,note,,
prot-1958-a-ak--17-01,i-9f6e7e2b9e138d0a,,metadata,,
prot-1958-a-ak--17-01,i-a6508514b3f7d664,,note,,
prot-1958-a-ak--17-01,i-c0053681d3bf3b25,,metadata,,
prot-1958-a-ak--17-01,i-b5685ac8bb681805,,metadata,,
prot-1958-a-ak--17-01,i-4f8b94608e721d9f,,metadata,,
prot-1958-a-ak--17-01,i-84c2c81cc3cc81b2,,note,,
prot-1958-a-ak--17-01,i-e40194f0a7860d20,,metadata,,
prot-1958-a-ak--17-01,i-74213b1643fba29b,,note,,
prot-1958-a-ak--17-01,i-9a8c179f3259739a,,metadata,,
prot-1958-a-ak--17-01,i-eeec78ecf2301b04,,metadata,,
prot-1958-a-ak--17-01,i-0f85a7e57e8e5a97,,note,,
prot-1958-a-ak--17-01,i-23344c63d9dd63aa,,note,,
prot-1958-a-ak--17-01,i-72580a62a3f505e8,,metadata,,
prot-1958-a-ak--17-01,i-adf69be495ea96b9,,note,,
prot-1958-a-ak--17-01,i-b34f14a4b31e7e31,,note,,
prot-1958-a-ak--17-01,i-912cf938206f3d61,,metadata,,
prot-1958-a-ak--17-01,i-29ef0c3ee64abd4a,,note,,
prot-1958-a-ak--17-01,i-8cdf63ec20e330e1,,metadata,,
prot-1958-a-ak--17-01,i-e50c68f27b773bf6,,metadata,,
prot-1958-a-ak--17-01,i-1d830db805ad4cf4,,metadata,,
prot-1958-a-ak--17-01,i-7537973ec4c9e37d,,note,,
prot-1958-a-ak--17-01,i-5b6fa977c673426d,,metadata,,
prot-1958-a-ak--17-01,i-44f74bb592be4155,,note,,
prot-1958-a-ak--17-01,i-c3e625b738ea6438,,metadata,,
prot-1958-a-ak--17-01,i-50b801feb7563961,,note,,
prot-1958-a-ak--17-01,i-d38470fe06fa0901,,metadata,,
prot-1958-a-ak--17-01,i-269873c1b81ffbee,,note,,
prot-1958-a-ak--17-01,i-0397a21a934af00e,,note,,
prot-1958-a-ak--17-01,i-4f12414a5ec91901,,note,,
prot-1958-a-ak--17-01,i-289550f3d4d5eb6a,,note,,
prot-1958-a-ak--17-01,i-2cebf056e0ab0649,,note,,
prot-1958-a-ak--17-01,i-d6a71972d09b89ee,,note,,
prot-1958-a-ak--17-01,i-b8d7ea70b8e6a7e7,,note,,
prot-1958-a-ak--17-01,i-5f6d31cc91c8f2b9,,note,,
prot-1958-a-ak--17-01,i-569c7309062f10be,,note,,
prot-1958-a-ak--17-01,i-dd5fed05962271bc,,note,,
prot-1958-a-ak--17-01,i-32dd37e88c4874f1,,note,,
prot-1958-a-ak--17-01,i-bf17de7eaa7d8c52,,note,,
prot-1958-a-ak--17-01,i-1990dbfbb6eaf0ca,,metadata,,
prot-1958-a-ak--17-01,i-fe8198dac80908e9,,note,,
prot-1958-a-ak--17-01,i-e2f770f6f806601e,,metadata,,
prot-1958-a-ak--17-01,i-987d835a0917e766,,note,,
prot-1958-a-ak--17-01,i-d0f20768f9e84448,,note,,
prot-1958-a-ak--17-01,i-6426adc829c8e02f,,metadata,,
prot-1958-a-ak--17-01,i-221afc1ba00aab17,,metadata,,
prot-1958-a-ak--17-01,i-2769e99311d467cc,,note,,
prot-1958-a-ak--17-01,i-0a529cb125b8ba66,,note,,
prot-1958-a-ak--17-01,i-4c780f415f9ba789,,note,,
prot-1958-a-ak--17-01,i-b9919c44c8459ebc,,note,,
prot-1958-a-ak--17-01,i-eea03c5417133d9b,,note,,
prot-1958-a-ak--17-01,i-88272af7da3bedc6,,note,,
prot-1958-a-ak--17-01,i-b739dbba2b5a1cdc,,note,,
prot-1958-a-ak--17-01,i-ee9bbe9d29b24f6e,,note,,
prot-1958-a-ak--17-01,i-28311fe20e90525e,,note,,
prot-1958-a-ak--17-01,i-acc82b2b01828f69,,note,,
prot-1958-a-ak--17-01,i-a30ec4a30a59994e,,note,,
prot-1958-a-ak--17-01,i-5f903f1c39c9e5a4,,metadata,,
prot-1958-a-ak--17-01,i-a964485362026a3b,,note,,
prot-1958-a-ak--17-01,i-c02e172f65ceb2ee,,metadata,,
prot-1958-a-ak--17-01,i-a57aadbf040d7f97,,note,,
prot-1958-a-ak--17-01,i-e7eb1f8fe87e4847,,note,,
prot-1958-a-ak--17-01,i-389af090a5f39be2,,note,,
prot-1958-a-ak--17-01,i-ccae4d8a3235c0aa,,metadata,,
prot-1958-a-ak--17-01,i-69df1c1c3a0ccd0f,,note,,
prot-1958-a-ak--17-01,i-4aed85ca39ec79c1,,note,,
prot-1958-a-ak--17-01,i-6e3c3076ee7e80a8,,note,,
prot-1958-a-ak--17-01,i-7d5ae375115dcf7f,,note,,
prot-1958-a-ak--17-01,i-0cae6dd36ea77800,,note,,
prot-1958-a-ak--17-01,i-f20d29aa03befbce,,note,,
prot-1958-a-ak--17-01,i-eeecbbcd05b0c026,,note,,
prot-1958-a-ak--17-01,i-a7c8e829ee3559c6,,note,,
prot-1958-a-ak--17-01,i-6af53443338e3795,,note,,
prot-1958-a-ak--17-01,i-f7cf87c272bbab17,,note,,
prot-1958-a-ak--17-01,i-b839a7d7a94b910a,,note,,
prot-1958-a-ak--17-01,i-d3018c00200442cf,,note,,
prot-1958-a-ak--17-01,i-5364d29fd40efd78,,note,,
prot-1958-a-ak--17-01,i-f4ec3cc53c02b454,,note,,
prot-1958-a-ak--17-01,i-32bd972440d8f8bc,,note,,
prot-1958-a-ak--17-01,i-86f5e9030b75760c,,note,,
prot-1958-a-ak--17-01,i-2f0542adc0ffbe49,,metadata,,
prot-1958-a-ak--17-01,i-4e3b030795e7a5d6,,metadata,,
prot-1958-a-ak--17-01,i-bf1312412d86ec67,,note,,
prot-1958-a-ak--17-01,i-43f72297527db98d,,note,,
prot-1958-a-ak--17-01,i-57ab7ba385d1fa0d,,note,,
prot-1958-a-ak--17-01,i-5269b5b9911b29e6,,note,,
prot-1958-a-ak--17-01,i-6b61b14c7d979700,,note,,
prot-1958-a-ak--17-01,i-b34eda4c8e132583,,note,,
prot-1958-a-ak--17-01,i-c1a9895bb6e3bca2,,note,,
prot-1958-a-ak--17-01,i-79bc8be52464ede9,,note,,
prot-1958-a-ak--17-01,i-d667c87887338be5,,note,,
prot-1958-a-ak--17-01,i-9a9825ac209ffee1,,note,,
prot-1958-a-ak--17-01,i-f692b6261e49adae,,note,,
prot-1958-a-ak--17-01,i-b5b3d92ffd21f533,,note,,
prot-1958-a-ak--17-01,i-17808a88756ea6c4,,note,,
prot-1958-a-ak--17-01,i-1e573aad4c8841e7,,note,,
prot-1958-a-ak--17-01,i-cee570140c2328b1,,note,,
prot-1958-a-ak--17-01,i-2806486c00671f53,,note,,
prot-1958-a-ak--17-01,i-2b43721a165a061a,,note,,
prot-1958-a-ak--17-01,i-7bc13b35ce4acc09,,note,,
prot-1958-a-ak--17-01,i-78731fe7a5659393,,note,,
prot-1958-a-ak--17-01,i-35deed5d073c409f,,metadata,,
prot-1958-a-ak--17-01,i-9a2c3ff1aad1a8bf,,note,,
prot-1958-a-ak--17-01,i-924fe36bc6a7270a,,note,,
prot-1958-a-ak--17-01,i-948cf31fe87b9529,,note,,
prot-1958-a-ak--17-01,i-b1095700e7218da7,,note,,
prot-1958-a-ak--17-01,i-7552a3f4c4e60004,,note,,
prot-1958-a-ak--17-01,i-7cd0ebbe2fc4784a,,note,,
prot-1958-a-ak--17-01,i-dbd5a7997d06ff09,,metadata,,
prot-1958-a-ak--17-01,i-cac3c2491b3c03ac,,note,,
prot-1958-a-ak--17-01,i-2a89e807e26218fd,,note,,
prot-1958-a-ak--17-01,i-600bc054f1d6de95,,note,,
prot-1958-a-ak--17-01,i-1efeff86a609fa1c,,note,,
prot-1958-a-ak--17-01,i-7dde13fd6134cb61,,note,,
prot-1958-a-ak--17-01,i-03616f5d97a4214f,,note,,
prot-1958-a-ak--17-01,i-88c6344ef87d0484,,metadata,,
prot-1958-a-ak--17-01,i-4e1cf1f9c39eb006,,note,,
prot-1958-a-ak--17-01,i-9bf4c69837efe43f,,note,,
prot-1958-a-ak--17-01,i-986536e3460a4f01,,metadata,,
prot-1958-a-ak--17-01,i-bba70da005f549a2,,metadata,,
prot-1958-a-ak--17-01,i-b6879c2e91ac9d30,,note,,
prot-1958-a-ak--17-01,i-b3b6b6c637ba780c,,note,,
prot-1958-a-ak--17-01,i-a0b3a58f19841829,,note,,
prot-1958-a-ak--17-01,i-033f1f725f573e44,,note,,
prot-1958-a-ak--17-01,i-6f9be3a48862d279,,note,,
prot-1958-a-ak--17-01,i-a1908fa6ca028351,,note,,
prot-1958-a-ak--17-01,i-5d383ea32492fec2,,note,,
prot-1958-a-ak--17-01,i-f0a99c8c2f0550da,,note,,
prot-1958-a-ak--17-01,i-c2231399f35382ab,,note,,
prot-1958-a-ak--17-01,i-3e597de8588e768c,,note,,
prot-1958-a-ak--17-01,i-a0e03e003c3459de,,note,,
prot-1958-a-ak--17-01,i-266f8417175cea2a,,note,,
prot-1958-a-ak--17-01,i-b8f0818db1e7cff6,,note,,
prot-1958-a-ak--17-01,i-f325f477ecc14a73,,note,,
prot-1958-a-ak--17-01,i-dad6697f71947cb9,,metadata,,
prot-1958-a-ak--17-01,i-779516bca95d2d02,,note,,
prot-1958-a-ak--17-01,i-f6ef0993df8ef78c,,note,,
prot-1958-a-ak--17-01,i-a89387d84dd5b042,,note,,
prot-1958-a-ak--17-01,i-09929e44c0fa9cd6,,note,,
prot-1958-a-ak--17-01,i-b5c6f386ca86a191,,note,,
prot-1958-a-ak--17-01,i-1dc1797899326711,,note,,
prot-1958-a-ak--17-01,i-7c35abd9aef38a35,,note,,
prot-1958-a-ak--17-01,i-21737eff7b89c9d4,,note,,
prot-1958-a-ak--17-01,i-52ba9da211ee1275,,note,,
prot-1958-a-ak--17-01,i-03151d1ab8eb9ef6,,note,,
prot-1958-a-ak--17-01,i-c63b6b2df9efdb28,,note,,
prot-1958-a-ak--17-01,i-78634cd78b966b78,,metadata,,
prot-1958-a-ak--17-01,i-4b91d1d11fce2509,,note,,
prot-1958-a-ak--17-01,i-58c1c3895fe74eae,,note,,
prot-1958-a-ak--17-01,i-fb1653090fd48300,,note,,
prot-1958-a-ak--17-01,i-9ec012e4b749dc7e,,note,,
prot-1958-a-ak--17-01,i-7c209bcc13593b43,,note,,
prot-1958-a-ak--17-01,i-cf3e61c3927132d3,,note,,
prot-1958-a-ak--17-01,i-e22d94b5f8ad5569,,note,,
prot-1958-a-ak--17-01,i-03c8250940928dd9,,note,,
prot-1958-a-ak--17-01,i-2b5977648e06f291,,note,,
prot-1958-a-ak--17-01,i-a646ad2c299f3584,,note,,
prot-1958-a-ak--17-01,i-44beeca605e3cc9e,,note,,
prot-1958-a-ak--17-01,i-a5af8a7355653f6e,,note,,
prot-1958-a-ak--17-01,i-23f34d6da6e3197d,,note,,
prot-1958-a-ak--17-01,i-05fb233a4712a9f4,,metadata,,
prot-1958-a-ak--17-01,i-ebe66991d55467f8,,metadata,,
prot-1958-a-ak--17-01,i-684829ecbd53072e,,note,,
prot-1958-a-ak--17-01,i-5f3f327fd06c62a0,,note,,
prot-1958-a-ak--17-01,i-318d34766cbe7ab9,,note,,
prot-1958-a-ak--17-01,i-409e198738e2716b,,note,,
prot-1958-a-ak--17-01,i-34b9c51d4f4ea9fa,,note,,
prot-1958-a-ak--17-01,i-b809c58a26810665,,note,,
prot-1958-a-ak--17-01,i-24feadc59c309244,,note,,
prot-1958-a-ak--17-01,i-306bc0a0286aa0d9,,note,,
prot-1958-a-ak--17-01,i-cfe159146ed81f26,,note,,
prot-1958-a-ak--17-01,i-1284355f39949430,,note,,
prot-1958-a-ak--17-01,i-385d95a9c4098c5d,,note,,
prot-1958-a-ak--17-01,i-39f218acafab746c,,note,,
prot-1958-a-ak--17-01,i-365f6f63966e08dd,,note,,
prot-1958-a-ak--17-01,i-cae988667e2c915d,,note,,
prot-1958-a-ak--17-01,i-62dd4005f3f57290,,note,,
prot-1958-a-ak--17-01,i-f60c19bb59f772c2,,note,,
prot-1958-a-ak--17-01,i-81686724f3b121d7,,note,,
prot-1958-a-ak--17-01,i-5cf0a30fbc1001e3,,note,,
prot-1958-a-ak--17-01,i-519fd371ba8f3926,,note,,
prot-1958-a-ak--17-01,i-2b3a942d02fd137d,,note,,
prot-1958-a-ak--17-01,i-ff8036f47d53bab5,,note,,
prot-1958-a-ak--17-01,i-b4316b448687c35f,,note,,
prot-1958-a-ak--17-01,i-4006ab3c94a84c76,,metadata,,
prot-1958-a-ak--17-01,i-7220c3263cdff040,,note,,
prot-1958-a-ak--17-01,i-c8f0bc4e6a745546,,note,,
prot-1958-a-ak--17-01,i-903e511c640b81b1,,note,,
prot-1958-a-ak--17-01,i-5fe53c916da133a4,,note,,
prot-1958-a-ak--17-01,i-b5755c6a1c0bcc2e,,note,,
prot-1958-a-ak--17-01,i-8f5c538f21d40a32,,note,,
prot-1958-a-ak--17-01,i-59b93bfb3074ea44,,note,,
prot-1958-a-ak--17-01,i-9adf0e420f67095f,,note,,
prot-1958-a-ak--17-01,i-5be8bcb8c4c1bb98,,note,,
prot-1958-a-ak--17-01,i-ea6bcc62e476d1b7,,note,,
prot-1958-a-ak--17-01,i-66b70c36b3b5cd25,,note,,
prot-1958-a-ak--17-01,i-201c6f359bda578b,,note,,
prot-1958-a-ak--17-01,i-8c4ddca0bf5313cf,,metadata,,
prot-1958-a-ak--17-01,i-2487835988ff4d16,,metadata,,
prot-1958-a-ak--17-01,i-55c56d3d747ed629,,note,,
prot-1958-a-ak--17-01,i-e5d1c66acb72e2f5,,note,,
prot-1958-a-ak--17-01,i-1b8ed162cc9c831c,,metadata,,
prot-1958-a-ak--17-01,i-b56def10232b49d3,,metadata,,
prot-1958-a-ak--17-01,i-2a4943ba3042b8a9,,note,,
prot-1958-a-ak--17-01,i-bb880f773c5e8c1d,,note,,
prot-1958-a-ak--17-01,i-47d7f2807b4fe3a9,,metadata,,
prot-1958-a-ak--17-01,i-9bafd33d6c873ecf,,note,,
prot-1958-a-ak--17-01,i-de80519823657f63,,note,,
prot-1958-a-ak--17-01,i-ab0b5d19b36be9ae,,note,,
prot-1958-a-ak--17-01,i-e8b5bc3312c02b6b,,note,,
prot-1958-a-ak--17-01,i-5a276f7ddd188103,,note,,
prot-1958-a-ak--17-01,i-a96430ac54ee0896,,metadata,,
prot-1958-a-ak--17-01,i-5396b260a749683e,,note,,
prot-1958-a-ak--17-01,i-0fba20a83f7f931f,,metadata,,
prot-1958-a-ak--17-01,i-b801de1814f07a66,,metadata,,
prot-1958-a-ak--17-01,i-35a639654768175c,,note,,
prot-1958-a-ak--17-01,i-5708fe30c3398f1a,,note,,
prot-1958-a-ak--17-01,i-29e940aa72dc55ae,,metadata,,
prot-1958-a-ak--17-01,i-2275fd8090ac9691,,metadata,,
prot-1958-a-ak--17-01,i-302309851f476a60,,note,,
prot-1958-a-ak--17-01,i-87fb89411d29f2f3,,note,,
prot-1958-a-ak--17-01,i-35d371e79ad4cc0d,,note,,
prot-1958-a-ak--17-01,i-6b6da22a1a4ada05,,note,,
prot-1958-a-ak--17-01,i-2402ac2731d4efb1,,note,,
prot-1958-a-ak--17-01,i-d237483d8915118a,,metadata,,
prot-1958-a-ak--17-01,i-d784560f3a5b89df,,metadata,,
prot-1958-a-ak--17-01,i-706d258029bc0418,,note,,
prot-1958-a-ak--17-01,i-462bec3c82184073,,note,,
prot-1958-a-ak--17-01,i-45f4392a00ee8914,,note,,
