protocol_id,elem_id,pattern,segmentation,who,id
prot-1958-a-fk--4,i-c23b450721c4e219,,note,,
prot-1958-a-fk--4,i-5a24c44860b8960e,,metadata,,
prot-1958-a-fk--4,i-34fc3689b388adec,,metadata,,
prot-1958-a-fk--4,i-4f4a18b1c3376098,,metadata,,
prot-1958-a-fk--4,i-594ad6693e861d8a,,note,,
prot-1958-a-fk--4,i-e3ac5e33bea028f4,,metadata,,
prot-1958-a-fk--4,i-b417897cacf82b47,,note,,
prot-1958-a-fk--4,i-fc65bb57ca692554,,metadata,,
prot-1958-a-fk--4,i-ec4bdbfd2cde059b,,metadata,,
prot-1958-a-fk--4,i-6cc7f1ba98e13fe1,,metadata,,
prot-1958-a-fk--4,i-01ff0552fe6ceb01,,metadata,,
prot-1958-a-fk--4,i-724fadde4a3a0a7f,,metadata,,
prot-1958-a-fk--4,i-a1f58958702b9e25,,metadata,,
prot-1958-a-fk--4,i-ec1c622899ad9b34,,note,,
prot-1958-a-fk--4,i-1b5ece33b214bb79,,note,,
prot-1958-a-fk--4,i-717c22251c32fb7f,,note,,
prot-1958-a-fk--4,i-6ee664cca79f44e0,,note,,
prot-1958-a-fk--4,i-c54c80cfb65fcc17,,note,,
prot-1958-a-fk--4,i-afae95b902113648,,note,,
prot-1958-a-fk--4,i-21c994c5f853438d,,note,,
prot-1958-a-fk--4,i-7275b436ee6e2381,,note,,
prot-1958-a-fk--4,i-1c78a922b2d4d468,,note,,
prot-1958-a-fk--4,i-73cc9b8d971cd6bc,,note,,
prot-1958-a-fk--4,i-75ebc350a6be2a19,,note,,
prot-1958-a-fk--4,i-3ff22e88a534b7f8,,note,,
prot-1958-a-fk--4,i-d98657c484572161,,note,,
prot-1958-a-fk--4,i-5a3149917f3ed3a9,,note,,
prot-1958-a-fk--4,i-1ff3e13bcba30868,,note,,
prot-1958-a-fk--4,i-b5fe5d342715f270,,note,,
prot-1958-a-fk--4,i-6b499123140aa1b6,,note,,
prot-1958-a-fk--4,i-c7b1bbf96a9e6e28,,note,,
prot-1958-a-fk--4,i-9dea1ec8c6ba2515,,note,,
prot-1958-a-fk--4,i-9119378f381ed50b,,note,,
prot-1958-a-fk--4,i-668e18a051de5a46,,note,,
prot-1958-a-fk--4,i-bd2fc1699ffa3787,,note,,
prot-1958-a-fk--4,i-9fdf2b8dd93c46a7,,note,,
prot-1958-a-fk--4,i-c9b33b8590083869,,note,,
prot-1958-a-fk--4,i-2faaec2670d77ff4,,note,,
prot-1958-a-fk--4,i-9a03425fbf86f633,,note,,
prot-1958-a-fk--4,i-c51547a86ace4544,,note,,
prot-1958-a-fk--4,i-04711af0f14ab6d5,,note,,
prot-1958-a-fk--4,i-cdcaafc795ee86bf,,note,,
prot-1958-a-fk--4,i-176193ffe6f82bf2,,note,,
prot-1958-a-fk--4,i-ecba56074daf535b,,note,,
prot-1958-a-fk--4,i-b5877e6f65beb626,,note,,
prot-1958-a-fk--4,i-96977c2442342ab4,,note,,
prot-1958-a-fk--4,i-7ebb30ff6ce900d0,,note,,
prot-1958-a-fk--4,i-f50c79550329953e,,note,,
prot-1958-a-fk--4,i-42f099939ade23ed,,note,,
prot-1958-a-fk--4,i-f1235feed9ceb185,,note,,
prot-1958-a-fk--4,i-8a27aad27f7762a1,,note,,
prot-1958-a-fk--4,i-31548750b2ebff35,,note,,
prot-1958-a-fk--4,i-ed1ba0e291c5a1c5,,metadata,,
prot-1958-a-fk--4,i-1c70b639bb800fb1,,note,,
prot-1958-a-fk--4,i-00a442bf0c5053b7,,note,,
prot-1958-a-fk--4,i-3019af2c776ddd62,,note,,
prot-1958-a-fk--4,i-c0ed421000362ca1,,metadata,,
prot-1958-a-fk--4,i-ed16f137153254ad,,note,,
prot-1958-a-fk--4,i-695f8fe9be44e748,,note,,
prot-1958-a-fk--4,i-81994ce86a5ab2d1,,note,,
prot-1958-a-fk--4,i-8b5e8cd34939ee4c,,metadata,,
