protocol_id,elem_id,pattern,segmentation,who,id
prot-1958-b-ak--1,i-543d02542922d251,,note,,
prot-1958-b-ak--1,i-050574cc712b14b7,,metadata,,
prot-1958-b-ak--1,i-938f7cca7b1d0d47,,metadata,,
prot-1958-b-ak--1,i-2b2b06b3ce8f5507,,metadata,,
prot-1958-b-ak--1,i-41223d12abafd5b2,,metadata,,
prot-1958-b-ak--1,i-280d14fe955cb5cd,,note,,
prot-1958-b-ak--1,i-4b2fa21e988ebf56,,note,,
prot-1958-b-ak--1,i-09291c08f9a0ecbc,,note,,
prot-1958-b-ak--1,i-501f28f5ec442a6c,,metadata,,
prot-1958-b-ak--1,i-7585826accaef5fc,,note,,
prot-1958-b-ak--1,i-b2dd28f04af50a65,,note,,
prot-1958-b-ak--1,i-6d43a5f2d1801911,,metadata,,
prot-1958-b-ak--1,i-d5c999faa19040f9,,note,,
prot-1958-b-ak--1,i-0fe90d3a1c15eabe,,note,,
prot-1958-b-ak--1,i-7496b3c0b3f790d4,,metadata,,
prot-1958-b-ak--1,i-301e05725a8b5fce,,metadata,,
prot-1958-b-ak--1,i-9e3e0a98a6dfd6fe,,note,,
prot-1958-b-ak--1,i-f9fe34fa4c1a19bb,,note,,
prot-1958-b-ak--1,i-7669feac8b3467ad,,metadata,,
prot-1958-b-ak--1,i-43962ceb48a81f94,,metadata,,
prot-1958-b-ak--1,i-879086d7bd69b7c3,,note,,
prot-1958-b-ak--1,i-bfb33b21168d7a8f,,metadata,,
prot-1958-b-ak--1,i-9bab5ca9a62c9f63,,note,,
prot-1958-b-ak--1,i-35d2b6bba55a8c81,,metadata,,
prot-1958-b-ak--1,i-88590c771f3f320f,,metadata,,
prot-1958-b-ak--1,i-20173411b6f745e1,,note,,
prot-1958-b-ak--1,i-e01834405cae588f,,metadata,,
prot-1958-b-ak--1,i-b5d6a96e6638dd41,,note,,
prot-1958-b-ak--1,i-bf03c2d6ad779a70,,note,,
prot-1958-b-ak--1,i-9187d71375443ef9,,note,,
prot-1958-b-ak--1,i-20f79dfdba7a18ad,,note,,
prot-1958-b-ak--1,i-0d78dd36aa38d9fe,,note,,
prot-1958-b-ak--1,i-207665b183ea146f,,note,,
prot-1958-b-ak--1,i-367220fb655bb91b,,note,,
prot-1958-b-ak--1,i-3116368ddeadbbc1,,metadata,,
prot-1958-b-ak--1,i-efb338bfc0b65f8b,,note,,
prot-1958-b-ak--1,i-a82d21c0dcc9779c,,metadata,,
prot-1958-b-ak--1,i-7b7aa1d25748c0ab,,note,,
prot-1958-b-ak--1,i-0d1ae50c3de9c151,,note,,
prot-1958-b-ak--1,i-d1882bf7d4a0d098,,note,,
prot-1958-b-ak--1,i-7f2e74ceb5dc2501,,note,,
prot-1958-b-ak--1,i-2cb82390203e4a9e,,note,,
prot-1958-b-ak--1,i-aa6ef0e91517bfed,,note,,
prot-1958-b-ak--1,i-7721ab69f36e2a46,,note,,
prot-1958-b-ak--1,i-e84bad156bc51949,,note,,
prot-1958-b-ak--1,i-f8d4e5a0813bc8e5,,note,,
prot-1958-b-ak--1,i-fa205bd620fcdd87,,note,,
prot-1958-b-ak--1,i-6ab2fcc0e8d3ba66,,note,,
prot-1958-b-ak--1,i-995fb5b3204e5786,,note,,
prot-1958-b-ak--1,i-d73086294f39ba46,,note,,
prot-1958-b-ak--1,i-da80806b04451dac,,note,,
prot-1958-b-ak--1,i-5f5f3be19e04091b,,note,,
prot-1958-b-ak--1,i-7b1a3a0d6ba5036e,,note,,
prot-1958-b-ak--1,i-5683492852a4c4d0,,note,,
prot-1958-b-ak--1,i-e5aec586a921f411,,note,,
prot-1958-b-ak--1,i-51256e43d229e45e,,note,,
prot-1958-b-ak--1,i-1862754d53644484,,note,,
prot-1958-b-ak--1,i-100d4a997c3356ea,,note,,
prot-1958-b-ak--1,i-d5bd1bcc0c7b92cb,,note,,
prot-1958-b-ak--1,i-0077a30fc3a0ec09,,metadata,,
prot-1958-b-ak--1,i-e5564631bcd0acdd,,metadata,,
prot-1958-b-ak--1,i-ec4adbe123f563a8,,note,,
prot-1958-b-ak--1,i-c0dac88b75c8a021,,note,,
prot-1958-b-ak--1,i-fd4c138be51f6989,,note,,
prot-1958-b-ak--1,i-222c7113b44b3668,,note,,
prot-1958-b-ak--1,i-df291dcc37e6b429,,note,,
prot-1958-b-ak--1,i-26b666f2acb6f02c,,note,,
prot-1958-b-ak--1,i-f627f28452d68f6a,,note,,
prot-1958-b-ak--1,i-1e834532243d63fe,,metadata,,
prot-1958-b-ak--1,i-a283d50e781b1a68,,metadata,,
prot-1958-b-ak--1,i-aca64b25016176a7,,metadata,,
