protocol_id,elem_id,pattern,segmentation,who,id
prot-1958-b-fk--3,i-9b6edcb04406947a,,note,,
prot-1958-b-fk--3,i-0711bc7bb419c405,,metadata,,
prot-1958-b-fk--3,i-98f40ab79355e2d6,,metadata,,
prot-1958-b-fk--3,i-bb2d7d6d3f7db0ba,,metadata,,
prot-1958-b-fk--3,i-4e74bac2f5b83b44,,note,,
prot-1958-b-fk--3,i-66a343559a139a91,,note,,
prot-1958-b-fk--3,i-a45c3476f3e0ea36,,note,,
prot-1958-b-fk--3,i-6f92336deb09adc1,,note,,
prot-1958-b-fk--3,i-125c5ac3f558be1f,,note,,
prot-1958-b-fk--3,i-459530c5bb66b085,,metadata,,
prot-1958-b-fk--3,i-c11e9dc1e60016c5,,metadata,,
prot-1958-b-fk--3,i-ac4a838e39b926a3,,note,,
prot-1958-b-fk--3,i-77f8e884827908eb,,metadata,,
prot-1958-b-fk--3,i-e0941590abaf9b22,,metadata,,
prot-1958-b-fk--3,i-d39dcc4ab84c3366,,metadata,,
prot-1958-b-fk--3,i-bf978623e495972d,,metadata,,
prot-1958-b-fk--3,i-bde3d3f8cea2736a,,metadata,,
prot-1958-b-fk--3,i-ce6a7ac16b402b49,,metadata,,
prot-1958-b-fk--3,i-caf862c91c6df5d5,,metadata,,
prot-1958-b-fk--3,i-ff2bebb9f04c6c6e,,metadata,,
prot-1958-b-fk--3,i-5a6a14737b7e92ee,,note,,
prot-1958-b-fk--3,i-54010ad8f69e86e4,,note,,
prot-1958-b-fk--3,i-38283393371825c7,,note,,
prot-1958-b-fk--3,i-fd4dbbc5df68c790,,note,,
prot-1958-b-fk--3,i-666d8543b35b4b99,,metadata,,
prot-1958-b-fk--3,i-986106cae88b42a4,,note,,
prot-1958-b-fk--3,i-74f221b0b50cf985,,note,,
prot-1958-b-fk--3,i-5c46d8d3f1ef65db,,note,,
prot-1958-b-fk--3,i-a902446897e06bd1,,note,,
prot-1958-b-fk--3,i-bacbd948e9531057,,note,,
prot-1958-b-fk--3,i-bed4ce0e51a9ed19,,note,,
prot-1958-b-fk--3,i-1794bd7414cd333a,,note,,
