protocol_id,elem_id,pattern,segmentation,who,id
prot-1962-höst-ak--27,i-0da5e5187f786ad7,,metadata,,
prot-1962-höst-ak--27,i-ca1a68a5e35ee3b9,,note,,
prot-1962-höst-ak--27,i-ac5726ba4d8b0a69,,metadata,,
prot-1962-höst-ak--27,i-bd2d5e4de855545c,,metadata,,
prot-1962-höst-ak--27,i-f190bf303086d70e,,metadata,,
prot-1962-höst-ak--27,i-11014767bb08f5a8,,metadata,,
prot-1962-höst-ak--27,i-014dd5d32113a174,,note,,
prot-1962-höst-ak--27,i-56ae07a5f583d54a,,note,,
prot-1962-höst-ak--27,i-c11132af5abe5669,,note,,
prot-1962-höst-ak--27,i-77d89234a766a037,,note,,
prot-1962-höst-ak--27,i-c99e6d12d17a0994,,note,,
prot-1962-höst-ak--27,i-2feab6552600c085,,note,,
prot-1962-höst-ak--27,i-167b5723f92844f9,,note,,
prot-1962-höst-ak--27,i-ea7ab76ded8744e2,,note,,
prot-1962-höst-ak--27,i-543b885905f3a147,,note,,
prot-1962-höst-ak--27,i-721cae95ced7f35a,,note,,
prot-1962-höst-ak--27,i-e487775ddfe78ca0,,note,,
prot-1962-höst-ak--27,i-a473bf32ee3d108a,,metadata,,
prot-1962-höst-ak--27,i-612ec94c553f4557,,metadata,,
prot-1962-höst-ak--27,i-ec51950971d25a79,,metadata,,
prot-1962-höst-ak--27,i-42250b0625a42519,,metadata,,
prot-1962-höst-ak--27,i-083d34246d111c87,,metadata,,
prot-1962-höst-ak--27,i-02d2cd4ca3b28b88,,metadata,,
prot-1962-höst-ak--27,i-bd1874c9aae21aa3,,metadata,,
prot-1962-höst-ak--27,i-0cbf35b86f43c297,,metadata,,
prot-1962-höst-ak--27,i-54b3d8bad642e207,,metadata,,
prot-1962-höst-ak--27,i-28ea769ff41c0ef4,,metadata,,
prot-1962-höst-ak--27,i-d10d4b55c354ffea,,metadata,,
prot-1962-höst-ak--27,i-c7d108bf150e0883,,metadata,,
prot-1962-höst-ak--27,i-70868cda79a930e3,,metadata,,
prot-1962-höst-ak--27,i-1cd8a5f140667900,,metadata,,
prot-1962-höst-ak--27,i-9e37d503a8c695d7,,note,,
prot-1962-höst-ak--27,i-6cacaf0947c2df3c,,note,,
prot-1962-höst-ak--27,i-5149d051a3275eb3,,metadata,,
prot-1962-höst-ak--27,i-a3b4397b3995ef20,,note,,
prot-1962-höst-ak--27,i-f6ce94635c892bf0,560e61985149f31c,speech_start,,
prot-1962-höst-ak--27,i-a3547ac97bd26c97,,note,,
prot-1962-höst-ak--27,i-77860ef95931647d,,note,,
prot-1962-höst-ak--27,i-f733ef62682aa57a,,metadata,,
prot-1962-höst-ak--27,i-d453e9de6db5e49a,,note,,
prot-1962-höst-ak--27,i-435f067d32d88e3c,,note,,
prot-1962-höst-ak--27,i-65a9c493b37f302f,,note,,
prot-1962-höst-ak--27,i-1ebbad5e75000f3e,,metadata,,
prot-1962-höst-ak--27,i-6f8ac3e0e7e7e430,,metadata,,
prot-1962-höst-ak--27,i-718d31cfc8e3210a,,note,,
prot-1962-höst-ak--27,i-90ae9be51973d92b,,note,,
prot-1962-höst-ak--27,i-e44f877b3fb4cd32,,note,,
prot-1962-höst-ak--27,i-102eac73c6198873,,note,,
prot-1962-höst-ak--27,i-8ce72a2039097cf5,,note,,
prot-1962-höst-ak--27,i-51ac65346c243581,,note,,
prot-1962-höst-ak--27,i-2f29465583d73322,,metadata,,
prot-1962-höst-ak--27,i-a329371d8413e944,,note,,
prot-1962-höst-ak--27,i-a9f2750a49812f48,,note,,
prot-1962-höst-ak--27,i-3ea678bb01443fe1,,note,,
prot-1962-höst-ak--27,i-416721ac3aba9310,,note,,
prot-1962-höst-ak--27,i-7d79197764db9e9f,,note,,
prot-1962-höst-ak--27,i-961c699df52abd22,,metadata,,
prot-1962-höst-ak--27,i-638a2f5610f8267c,,note,,
prot-1962-höst-ak--27,i-17e6091d20e518e4,,metadata,,
prot-1962-höst-ak--27,i-8f2eb6fc1c0e51da,,note,,
