protocol_id,elem_id,pattern,segmentation,who,id
prot-1963--fk--17,i-166cfde29fcfd3d8,,note,,
prot-1963--fk--17,i-4ce220243909aded,,metadata,,
prot-1963--fk--17,i-58415b965cbe415b,,metadata,,
prot-1963--fk--17,i-8300622ff80211d1,,metadata,,
prot-1963--fk--17,i-1dab1d7887299bef,,note,,
prot-1963--fk--17,i-0e776ecd0acbd864,,note,,
prot-1963--fk--17,i-2f219bf763abaa53,,note,,
prot-1963--fk--17,i-cd70c789ee2f9462,,note,,
prot-1963--fk--17,i-4606cd5ba5c6cc38,,note,,
prot-1963--fk--17,i-30cdbd19d11c8518,,note,,
prot-1963--fk--17,i-fa492efb3fd6d1f7,,note,,
prot-1963--fk--17,i-91b5d94787be42c0,,note,,
prot-1963--fk--17,i-af13b77fe2af88a5,,metadata,,
prot-1963--fk--17,i-b3350cdecbd66591,,metadata,,
prot-1963--fk--17,i-ddc1e11ada4840ad,,note,,
prot-1963--fk--17,i-b2529a36568309f6,,note,,
prot-1963--fk--17,i-a8700064f89c9536,,note,,
prot-1963--fk--17,i-741ccb160e3e49f7,,note,,
prot-1963--fk--17,i-11fc65d1f23db3e9,,note,,
prot-1963--fk--17,i-dbf605c18bcbc4f9,,note,,
prot-1963--fk--17,i-c341fe5c55bd9def,,metadata,,
prot-1963--fk--17,i-32657551c2263e69,,metadata,,
prot-1963--fk--17,i-5f8c2013484c1e81,,metadata,,
prot-1963--fk--17,i-a55bb9010fe1c384,,metadata,,
prot-1963--fk--17,i-24018614348f730c,,metadata,,
prot-1963--fk--17,i-3e660c05709d6d82,,metadata,,
prot-1963--fk--17,i-517f271330c58cdd,,metadata,,
prot-1963--fk--17,i-0e7bf1412a51b72d,,metadata,,
prot-1963--fk--17,i-b9f7423307f168ac,,note,,
prot-1963--fk--17,i-f511ec1f4262b2ee,,metadata,,
prot-1963--fk--17,i-acef2e694382acae,,note,,
prot-1963--fk--17,i-6c3fb0c4fd2a74b3,,note,,
prot-1963--fk--17,i-15f2528811e67bec,,note,,
prot-1963--fk--17,i-a6c11874e04650e6,,note,,
prot-1963--fk--17,i-ac7abfdd5ab823ea,,note,,
prot-1963--fk--17,i-6d566f4af42164f0,,note,,
prot-1963--fk--17,i-3b7b380066a49fd6,,note,,
prot-1963--fk--17,i-13f264d336cc7876,,note,,
prot-1963--fk--17,i-891b082f672fba5f,,note,,
prot-1963--fk--17,i-0e14c1066159105e,,metadata,,
prot-1963--fk--17,i-54e8aff9ca073376,,note,,
prot-1963--fk--17,i-7740814b8414ed04,,metadata,,
prot-1963--fk--17,i-dafded83cc798524,,metadata,,
prot-1963--fk--17,i-4a2f1c1bde7412e7,,metadata,,
prot-1963--fk--17,i-69a9949d7094e814,,note,,
prot-1963--fk--17,i-27fcc220c349a236,,metadata,,
prot-1963--fk--17,i-d28ada20d313e131,,note,,
prot-1963--fk--17,i-b722e1ae654fdd86,,metadata,,
prot-1963--fk--17,i-920064e44ddc31b5,,metadata,,
