protocol_id,elem_id,pattern,segmentation,who,id
prot-1980-urtima-1,i-7e55c7bd458a99a5,,note,,
prot-1980-urtima-1,i-c3a013b81391831c,,metadata,,
prot-1980-urtima-1,i-3e1260595af7d645,,metadata,,
prot-1980-urtima-1,i-d7410d335d181314,,metadata,,
prot-1980-urtima-1,i-56f30fb9c0776a6f,,note,,
prot-1980-urtima-1,i-34917d59fd3682f7,,note,,
prot-1980-urtima-1,i-911d6d9bb5d3c786,,metadata,,
prot-1980-urtima-1,i-1bf6b0176da60ec6,,metadata,,
prot-1980-urtima-1,i-3b9bff210610789c,,metadata,,
prot-1980-urtima-1,i-b34efc7a347e36a1,,metadata,,
prot-1980-urtima-1,i-216d3f4449bc5b91,,note,,
prot-1980-urtima-1,i-ff35fccfce043944,,note,,
prot-1980-urtima-1,i-6da91e0336cc09a4,,note,,
prot-1980-urtima-1,i-2262c359e1da1ce7,,note,,
prot-1980-urtima-1,i-18e906279f4e1520,,note,,
prot-1980-urtima-1,i-2e224b5317e61f99,,note,,
prot-1980-urtima-1,i-e7f33ea5f7d9c2b5,,note,,
prot-1980-urtima-1,i-261d2cfa28c12afc,,note,,
prot-1980-urtima-1,i-0f28d5f0da4c862c,,note,,
prot-1980-urtima-1,i-316fe896f1bfe402,,metadata,,
prot-1980-urtima-1,i-87bc3ee9a9fb4a9f,,metadata,,
prot-1980-urtima-1,i-77a55f8e8ec5406e,,metadata,,
prot-1980-urtima-1,i-7a74d9a8043e92cd,,metadata,,
prot-1980-urtima-1,i-e8a5797655fc1ed6,,metadata,,
prot-1980-urtima-1,i-1ca80dd125399f17,,metadata,,
prot-1980-urtima-1,i-8fd80c458067fd3d,,note,,
prot-1980-urtima-1,i-3502ed93fa7a8ce3,,metadata,,
prot-1980-urtima-1,i-91ee740858ac3f3e,,note,,
prot-1980-urtima-1,i-f389b3908b356232,,note,,
prot-1980-urtima-1,i-4094c183b801253a,,note,,
prot-1980-urtima-1,i-0316ce09b07782b6,,note,,
prot-1980-urtima-1,i-51e3e0e061c571ee,,note,,
prot-1980-urtima-1,i-a45ac9c85e98fd94,,note,,
prot-1980-urtima-1,i-aa6f9a6fb2fa1246,,note,,
prot-1980-urtima-1,i-af36ffcee6864139,,note,,
prot-1980-urtima-1,i-99c0086a9567b418,,note,,
prot-1980-urtima-1,i-1d84c533eb0324b5,,note,,
prot-1980-urtima-1,i-08d527e98a0d21d5,f0d538d10bda4e34,speech_start,olof_palme_b636d5,
prot-1980-urtima-1,i-c6ec3aff0fa5aded,,metadata,,
prot-1980-urtima-1,i-71c0343a28e3c783,,metadata,,
prot-1980-urtima-1,i-303e2694e4e9243a,,metadata,,
prot-1980-urtima-1,i-6e70c9c3f31497ff,,metadata,,
prot-1980-urtima-1,i-61503b258cc66504,,metadata,,
prot-1980-urtima-1,i-abd6468e541aa4ea,f0d538d10bda4e34,speech_start,lars_werner_60d059,
prot-1980-urtima-1,i-ec92aa8e13346879,,note,,
prot-1980-urtima-1,i-b696b67a88ca640d,,metadata,,
prot-1980-urtima-1,i-630e47e8a3e4a7d0,,metadata,,
prot-1980-urtima-1,i-979c7d648cc905f3,,metadata,,
prot-1980-urtima-1,i-f63b42f60d33f3d2,,metadata,,
prot-1980-urtima-1,i-83c541c0e9964ccc,,note,,
prot-1980-urtima-1,i-919480a56d5b9ad1,,note,,
prot-1980-urtima-1,i-4c62e1891e141f82,,note,,
prot-1980-urtima-1,i-1d422f7ab272a19a,,note,,
prot-1980-urtima-1,i-51aa0f1bd8ee16cc,,note,,
prot-1980-urtima-1,i-67811daea0b72334,,note,,
prot-1980-urtima-1,i-8a88c0d5c36bcbdb,,note,,
prot-1980-urtima-1,i-b139f6336423d6c5,,note,,
prot-1980-urtima-1,i-fee86dfe89e3109a,,note,,
prot-1980-urtima-1,i-118c0850b322366f,,note,,
prot-1980-urtima-1,i-e10008d0d49550c7,,note,,
prot-1980-urtima-1,i-fb3ed4da5a855488,,note,,
prot-1980-urtima-1,i-05a0e0b977834a6d,,note,,
prot-1980-urtima-1,i-d3348b560e2fb961,,metadata,,
prot-1980-urtima-1,i-e0af3608db9e2861,,note,,
prot-1980-urtima-1,i-cbbd0c5448b9ed20,,metadata,,
prot-1980-urtima-1,i-67ad94d3da803071,,metadata,,
prot-1980-urtima-1,i-e95d9b046b799314,,note,,
prot-1980-urtima-1,i-6429a9351cdc4252,,metadata,,
prot-1980-urtima-1,i-ede174b1036b634d,,metadata,,
prot-1980-urtima-1,i-0b9cc695107bea28,,note,,
prot-1980-urtima-1,i-8b8984508e74dbb1,,metadata,,
prot-1980-urtima-1,i-8e643eebbcf1c26f,,note,,
prot-1980-urtima-1,i-e1078c6169958c29,,metadata,,
prot-1980-urtima-1,i-d4c373e637484b56,,metadata,,
prot-1980-urtima-1,i-065fcd4f989c450c,,metadata,,
prot-1980-urtima-1,i-f9986d12105abd26,,note,,
prot-1980-urtima-1,i-f71c7d08a44b87a3,,metadata,,
prot-1980-urtima-1,i-b29e8e8b7e32c484,,note,,
prot-1980-urtima-1,i-93494e9914ea3e8e,,note,,
prot-1980-urtima-1,i-79e7b83e72c5ead1,,note,,
prot-1980-urtima-1,i-f7205fdd0cad39a3,,note,,
prot-1980-urtima-1,i-beeff5b0f2cd7cb7,,note,,
prot-1980-urtima-1,i-2cc170ce3d9b92fc,,note,,
prot-1980-urtima-1,i-e223f7cf32f8a32c,,note,,
prot-1980-urtima-1,i-04cc5ad2ad571f5e,,note,,
prot-1980-urtima-1,i-b6c98cb4040f0724,,metadata,,
prot-1980-urtima-1,i-ccdfa5d57afe68d8,,metadata,,
