name
A.C. Lindblad
En vakant plats
G.O. Erikson
H.G. Andersson
I. Pettersson
J. Johansson
K.G. Westman
en vakant plats
A. Östlund
J. Axel Träff
J. P. Johansson
J.G. Carlsson
Adolv Olsson
C. O. Larsson
C.A. Carlsson
C.J. Ericsson
C.J. Jonsson
E. Eriksson
En vakant plats (s)
Eskils Hans Hansson
F.V. Thorsson
Hj. Carlsson
Jones Erik Andersson
K. Bergström
O.E. Eriksson
C.A. Sundling
Janne Nilsson
J. Erik Forssberg
Herman Smedh
Karl Wirsell
A.W. Rydberg
Fr. Julin
G.A. Larsén
Hj. Halvarsson
P. Sandström
P.E.A. Jonsson
Gustaf Malmqvist
Per Westin
Carl Evald Magnusson
Frans Hansson
Gustaf Edvard Lundgren
Herbert Hermansson
Manfred Fredberg
Märta Öberg
Åke Olofsson
Andreas Nilsson
K.J. Olsson
Hanna Rydh (1943–1944)
ersatt av Carl Östlund
Carl Johansson
Elsa Ewerlöf
Fritjof Lager
Gunnar Sundqvist
Gustaf Friberg
Hildur Ericsson
Jarl Hjalmarson
Knut Stenvall
Lisa Johansson
Seth Molander
Sonja Branting-Westerståhl
Sven Antby
Yngve Larsson
K.A. Johanson
John Anderson
C.W. Carlsson
H. Nordqvist
Lena Renström-Ingenäs
Sigfrid Larsson
Sigvard Larsson
Filip Fridolfsson
C.-H. Hermansson
LiseLotte Olsson
Esabelle Dingizian
Jabar Amin
Penilla Gunther
Rossana Dinamarca
Tuve Skånberg
Amineh Kakabaveh
Arman Teimouri
Ciczie Weidby
Jamal El-Haj
Momodou Malcolm Jallow
Vasiliki Tsouplaki
