year,Bondeförbundet,Högerpartiet,Liberalerna,MP Not Detected,Socialdemokraterna,Unknown f,Unknown k,Unknown v-s,Unknown b,Unknown j,Unknown n,Unknown kk,Folkpartiet Liberalerna,Unknown lib,Unknown sp,Unknown s k,ersatt av: John Anderson i Sundsvall,Centerpartiet,Unknown mbs,Vänsterpartiet kommunisterna,Folkpartiet,Moderata samlingspartiet,Centern,Centern [1],Miljöpartiet de Gröna,Folkpartiet liberalerna,Kristdemokraterna,Ny demokrati,Vänsterpartiet,oberoende[1],oberoende[2],Miljöpartiet de gröna,Sverigedemokraterna,Miljöpartiet,Moderaterna
1920,594.0,639.0,558.0,17343,1233.0,486.0,198.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1921,1260.0,5922.0,5166.0,3267,5535.0,567.0,108.0,243.0,18.0,9.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1922,603.0,4968.0,657.0,2358,5085.0,2466.0,594.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1923,585.0,5022.0,756.0,1998,4086.0,1863.0,927.0,9.0,0.0,9.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1924,531.0,5175.0,540.0,2268,5256.0,1962.0,918.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1925,1125.0,6669.0,1053.0,1755,5769.0,1611.0,567.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1926,1584.0,8586.0,1206.0,1953,6273.0,2520.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1927,1791.0,6984.0,819.0,2007,6381.0,1926.0,675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1928,1665.0,9369.0,1098.0,2997,8721.0,2943.0,828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1929,1998.0,7497.0,630.0,3384,7857.0,4329.0,855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
